1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
,,,,,,,,,,4.17543454470000E-01,5.88718477520000E-01,6.49908388110000E-01,6.33882484940000E-01,1.70998485070000E+00,2.17474008800000E+00,2.56904374680000E+00,2.80121015590000E+00,3.04418747660000E+00,6.41042464200000E+00,7.19606579560000E+00,7.08122311330000E+00,6.27972482270000E+00,4.43716009000000E+00,5.55554631810000E+00,4.44529032560000E+00,1.87519573760000E+00,2.13152624110000E+00,1.60201470700000E+00,3.37923355610000E+00,2.62389764630000E+00,1.68348723910000E+00,1.42304861490000E+00,1.35245568990000E+00,1.27744203430000E+00,1.50084519460000E+00,2.00130116100000E+00,1.82877801330000E+00,1.14116989070000E+00,1.48657608320000E+00,3.06355088290000E+00,2.83619208200000E+00,6.86949985720000E+00,7.61207482240000E+00,8.41798758910000E+00,1.04194493570000E+01,9.48965751870000E+00,7.86516022000000E+00,8.93217317040000E+00,4.68432806710000E+00,4.42283776680000E+00,4.34152668980000E+00,,ARG,Argentina,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
,,,,,,,,,,1.26917836190000E+08,1.98013106160000E+08,2.22265420620000E+08,3.34196922390000E+08,1.24281511050000E+09,1.15583324200000E+09,1.31496511430000E+09,1.57817948240000E+09,1.75699767690000E+09,4.39922860100000E+09,5.48963205850000E+09,5.44136107890000E+09,4.97629441860000E+09,4.35161937450000E+09,4.16648206630000E+09,3.71948564160000E+09,1.98624896610000E+09,2.25819981850000E+09,1.93388660220000E+09,2.37287964120000E+09,3.54619837870000E+09,3.09521536020000E+09,3.19505034400000E+09,3.16043867790000E+09,3.24318524770000E+09,3.80307887940000E+09,5.33718390100000E+09,5.24337175590000E+09,3.32701052360000E+09,4.10342164100000E+09,8.47549637920000E+09,7.40160957250000E+09,6.49585260930000E+09,9.25826979010000E+09,1.21397035050000E+10,1.84408134790000E+10,1.98223912700000E+10,2.00962768440000E+10,2.85308180690000E+10,1.39456987580000E+10,1.58611361530000E+10,1.88953122720000E+10,,ARG,Argentina,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
,,,,,,,,,,1.55453488560000E-02,9.85144763360000E-03,1.48107219260000E-02,3.42653375100000E-02,4.15945728740000E-02,1.85082977410000E-02,2.43475565670000E-02,2.71588671660000E-02,1.96136320160000E-02,3.73655600620000E-02,4.15831889980000E-02,1.93567689610000E-02,1.26290442850000E-02,1.46990899260000E-02,1.84961908670000E-02,1.49258057060000E-02,7.23722711280000E-03,7.96404734210000E-03,1.22723272060000E-01,2.02454239090000E-01,3.93023459000000E-02,4.87309707230000E-03,5.31389137860000E-03,1.46495746180000E-03,1.45273617500000E-03,1.29082249700000E-03,1.40899057500000E-03,1.38255416080000E-02,3.48849811920000E-02,4.25153931250000E-02,3.88618768240000E-02,4.27417900680000E-02,1.20459272170000E-01,1.21810818760000E-01,1.79476781780000E-01,2.16645458390000E-01,4.34240292030000E-01,3.93142864940000E-01,3.11861095590000E-01,3.27265492930000E-01,4.79359673320000E-01,5.39433611380000E-01,,ARG,Argentina,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
,,,,,,,,,,4.72521367190000E+06,3.31349502450000E+06,5.06519287770000E+06,1.80654468500000E+07,3.02308898600000E+07,9.83681033840000E+06,1.24622975160000E+07,1.53010893660000E+07,1.13202968460000E+07,2.56425509540000E+07,3.17223902480000E+07,1.48741492180000E+07,1.00077382940000E+07,1.44157170830000E+07,1.38715516230000E+07,1.24887950950000E+07,7.66583166890000E+06,8.43733936540000E+06,1.48146512380000E+08,1.42162278580000E+08,5.31171311160000E+07,8.95954810890000E+06,1.19308295580000E+07,3.42333450050000E+06,3.68822412670000E+06,3.27089015780000E+06,3.75757630090000E+06,3.96398326360000E+07,1.01705013850000E+08,1.17355974040000E+08,1.07513701880000E+08,1.11543235920000E+08,1.13907226680000E+08,1.48153749110000E+08,2.58826102290000E+08,3.83428946440000E+08,9.07059180680000E+08,1.00451963240000E+09,9.96135208220000E+08,9.74301097770000E+08,1.71907482160000E+09,2.34773785020000E+09,,ARG,Argentina,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
,,,,,,,,,,4.33088803326000E-01,5.98569925153600E-01,6.64719110036000E-01,6.68147822450000E-01,1.75157942357400E+00,2.19324838574100E+00,2.59339130336700E+00,2.82836902306600E+00,3.06380110861600E+00,6.44779020206200E+00,7.23764898459800E+00,7.10057988226100E+00,6.29235386698500E+00,4.45185917992600E+00,5.57404250896700E+00,4.46021613130600E+00,1.88243296471280E+00,2.13949028844210E+00,1.72473797906000E+00,3.58168779519000E+00,2.66319999220000E+00,1.68836033617230E+00,1.42836250627860E+00,1.35392064736180E+00,1.27889477047500E+00,1.50213601709700E+00,2.00271015157500E+00,1.84260355490800E+00,1.17605487189200E+00,1.52909147632500E+00,3.10241275972400E+00,2.87893387206800E+00,6.98995912937000E+00,7.73388564116000E+00,8.59746437088000E+00,1.06360948153900E+01,9.92389781073000E+00,8.25830308494000E+00,9.24403426599000E+00,5.01159356003000E+00,4.90219744012000E+00,4.88096030118000E+00,,ARG,Argentina,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,ARG,Argentina,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,ARG,Argentina,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
6.13780000000000E+01,6.12380000000000E+01,6.10980000000000E+01,6.09582000000000E+01,6.08184000000000E+01,6.06786000000000E+01,6.05388000000000E+01,6.03990000000000E+01,6.19796000000000E+01,6.35602000000000E+01,6.51408000000000E+01,6.67214000000000E+01,6.83020000000000E+01,7.14412000000000E+01,7.45804000000000E+01,7.77196000000000E+01,8.08588000000000E+01,8.39980000000000E+01,8.20386000000000E+01,8.00792000000000E+01,7.81198000000000E+01,7.61604100000000E+01,7.42010000000000E+01,7.40408000000000E+01,7.38806000000000E+01,7.37204000000000E+01,7.35602000000000E+01,7.34000000000000E+01,7.33604000000000E+01,7.33208000000000E+01,7.32812000000000E+01,7.32416100000000E+01,7.32020000000000E+01,7.25218000000000E+01,7.18416000000000E+01,7.11614000000000E+01,7.04812000000000E+01,6.98010000000000E+01,6.79810000000000E+01,6.61610000000000E+01,6.43410000000000E+01,6.25210000000000E+01,6.07010000000000E+01,5.99408000000000E+01,5.91806000000000E+01,5.84204000000000E+01,5.76602000000000E+01,5.69000000000000E+01,5.63908000000000E+01,5.58816000000000E+01,5.53724000000000E+01,5.48632000000000E+01,,ARG,Argentina,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
5.70996753598543E+01,5.72669729068093E+01,5.73685142749703E+01,5.74123420218644E+01,5.74102440836353E+01,5.73746919971981E+01,5.73151227599036E+01,5.72430347658723E+01,5.71763581510769E+01,5.71353821123747E+01,5.71390021160152E+01,5.71771983890154E+01,5.72592567619127E+01,5.74408890956518E+01,5.77910752249996E+01,5.83483528102537E+01,5.91339617574377E+01,6.01094498192123E+01,6.11792588793274E+01,6.22109358476491E+01,6.31060767502728E+01,6.38244391048125E+01,6.43845452532535E+01,6.48174564652492E+01,6.51770588499936E+01,6.54980364217643E+01,6.57940864391632E+01,6.60406251150007E+01,6.61910771323647E+01,6.61840657707040E+01,6.59854432846760E+01,6.55805317799377E+01,6.50064918302770E+01,6.43424334457498E+01,6.36890329532297E+01,6.31118178725738E+01,6.26359481950380E+01,6.22352183560278E+01,6.18604421055491E+01,6.14420737334483E+01,6.09356166065536E+01,6.03357359881764E+01,5.96701971757551E+01,5.89692414935263E+01,5.82741177940228E+01,5.76155658477164E+01,5.70002593872616E+01,5.64257655803535E+01,5.59013704885252E+01,5.54354970361334E+01,5.50337577978470E+01,5.46962481508610E+01,5.44220894319623E+01,ARG,Argentina,SP.POP.DPND,Age dependency ratio (% of working-age population)
8.77064830824674E+00,8.99742898782852E+00,9.21572937347459E+00,9.42977600940304E+00,9.64552671459798E+00,9.86696025938392E+00,1.00955021791477E+01,1.03293456230641E+01,1.05653503143239E+01,1.07988094122025E+01,1.10265446011641E+01,1.12459713242045E+01,1.14585527954454E+01,1.16699119511995E+01,1.18883379099712E+01,1.21193829220159E+01,1.23667286988705E+01,1.26272384686798E+01,1.28911738017770E+01,1.31442068733963E+01,1.33757072472957E+01,1.35811434526934E+01,1.37638798075901E+01,1.39305559659757E+01,1.40913265038008E+01,1.42532373551149E+01,1.44176952849462E+01,1.45816890142053E+01,1.47425412163614E+01,1.48960132539486E+01,1.50390259929722E+01,1.51706323950790E+01,1.52917616165428E+01,1.54035775622787E+01,1.55080644990077E+01,1.56065835838244E+01,1.57011518348904E+01,1.57912154193268E+01,1.58731510501566E+01,1.59419117950004E+01,1.59948292533190E+01,1.60319136287093E+01,1.60570939904397E+01,1.60765719833586E+01,1.60983002304521E+01,1.61284711992524E+01,1.61691499009226E+01,1.62209066934632E+01,1.62862835058825E+01,1.63677120938039E+01,1.64670476391216E+01,1.65843091153851E+01,1.67198560775598E+01,ARG,Argentina,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
