1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
,,,,,,,,,,9.64153572170000E-02,1.18221744080000E-01,1.05044142260000E-01,1.27511419330000E-01,4.20306061670000E-01,3.28819593350000E-01,2.89808218700000E-01,2.63497498210000E-01,2.44099473160000E-01,5.62804299220000E-01,7.17920832680000E-01,7.18882038790000E-01,7.46134551850000E-01,1.22341751030000E+00,1.67773341080000E+00,1.72744476090000E+00,6.60039502690000E-01,8.14034924250000E-01,5.15057266340000E-01,5.14035871350000E-01,6.82023720650000E-01,6.00218614520000E-01,5.99152931570000E-01,4.89632235480000E-01,3.29739044810000E-01,2.90515230320000E-01,3.86846364270000E-01,3.72820536530000E-01,2.56693814360000E-01,6.06181269200000E-01,1.21995896990000E+00,1.23191807770000E+00,1.51307567020000E+00,1.74440034230000E+00,1.90373529040000E+00,2.37611591260000E+00,2.42401581430000E+00,2.12646376810000E+00,2.58411835010000E+00,1.54462225620000E+00,1.60192089260000E+00,1.88881150440000E+00,,BRA,Brazil,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
,,,,,,,,,,4.02327468750000E+07,5.75552599010000E+07,6.10047503910000E+07,9.99444806570000E+07,4.38486780510000E+08,4.01214649490000E+08,4.35749655010000E+08,4.56518410290000E+08,4.78632177650000E+08,1.23223306900000E+09,1.63183335790000E+09,1.81632068740000E+09,1.99388985260000E+09,2.34218965000000E+09,3.30756284430000E+09,3.64601159810000E+09,1.69084871820000E+09,2.30335653300000E+09,1.63364510100000E+09,2.30549714620000E+09,3.06686834110000E+09,2.39012729640000E+09,2.29594763740000E+09,2.09381058270000E+09,1.99607225430000E+09,2.20177588380000E+09,3.20121905220000E+09,3.18771110340000E+09,2.11906922340000E+09,3.44352327930000E+09,7.64778574920000E+09,6.58136599650000E+09,7.36111907250000E+09,9.32466736870000E+09,1.22556229840000E+10,2.03605409100000E+10,2.57429031310000E+10,2.84489047440000E+10,4.16997737180000E+10,2.45530643380000E+10,3.37102797390000E+10,4.58971273460000E+10,,BRA,Brazil,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
,,,,,,,,,,3.10321005450000E-01,2.49196501240000E-01,2.88312170940000E-01,2.53403776850000E-01,3.71085951680000E-01,4.29140348080000E-01,5.51723652060000E-01,3.87504622540000E-01,3.15291224180000E-01,3.58297216100000E-01,4.62171776230000E-01,4.13535623540000E-01,4.32143502570000E-01,6.09093486100000E-01,5.92488567440000E-01,5.77959388420000E-01,4.51350361470000E-01,4.20799425400000E-01,4.30098244520000E-01,3.64493847480000E-01,4.17330348780000E-01,4.96897043350000E-01,4.61720994440000E-01,3.49541797690000E-01,2.21270300980000E-01,2.05453504500000E-01,2.02085572990000E-01,2.21083466800000E-01,3.70491592100000E-01,4.59767093420000E-01,4.98301953010000E-01,5.77187159740000E-01,6.51990351870000E-01,7.20658204500000E-01,8.51987590460000E-01,1.27540159200000E+00,1.49829150170000E+00,1.47217406140000E+00,1.98681467160000E+00,1.24723613130000E+00,1.64624926080000E+00,1.75571130350000E+00,,BRA,Brazil,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
,,,,,,,,,,1.29492508480000E+08,1.21319216760000E+08,1.67438294450000E+08,1.98619927590000E+08,3.87137610140000E+08,5.23622672790000E+08,8.29560293760000E+08,6.71364986230000E+08,6.18225526110000E+08,7.84474601240000E+08,1.05051600010000E+09,1.04483526850000E+09,1.15481389050000E+09,1.16608798470000E+09,1.16805993050000E+09,1.21986339660000E+09,1.15624167500000E+09,1.19067508860000E+09,1.36417430840000E+09,1.63478771040000E+09,1.87661689130000E+09,1.97869102710000E+09,1.76930992150000E+09,1.49474291530000E+09,1.33945771800000E+09,1.55710449650000E+09,1.67229227460000E+09,1.89032028240000E+09,3.05849726970000E+09,2.61179084490000E+09,3.12379897130000E+09,3.08354915440000E+09,3.17193562010000E+09,3.85226824410000E+09,5.48481648070000E+09,1.09287035010000E+10,1.59117662370000E+10,1.96954870660000E+10,3.20611175660000E+10,1.98258628310000E+10,3.46431108790000E+10,4.26628623820000E+10,,BRA,Brazil,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
,,,,,,,,,,4.06736362667000E-01,3.67418245320000E-01,3.93356313200000E-01,3.80915196180000E-01,7.91392013350000E-01,7.57959941430000E-01,8.41531870760000E-01,6.51002120750000E-01,5.59390697340000E-01,9.21101515320000E-01,1.18009260891000E+00,1.13241766233000E+00,1.17827805442000E+00,1.83251099640000E+00,2.27022197824000E+00,2.30540414932000E+00,1.11138986416000E+00,1.23483434965000E+00,9.45155510860000E-01,8.78529718830000E-01,1.09935406943000E+00,1.09711565787000E+00,1.06087392601000E+00,8.39174033170000E-01,5.51009345790000E-01,4.95968734820000E-01,5.88931937260000E-01,5.93904003330000E-01,6.27185406460000E-01,1.06594836262000E+00,1.71826092291000E+00,1.80910523744000E+00,2.16506602207000E+00,2.46505854680000E+00,2.75572288086000E+00,3.65151750460000E+00,3.92230731600000E+00,3.59863782950000E+00,4.57093302170000E+00,2.79185838750000E+00,3.24817015340000E+00,3.64452280790000E+00,,BRA,Brazil,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,BRA,Brazil,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,BRA,Brazil,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
8.25030000000000E+01,8.25030000000000E+01,8.25030000000000E+01,8.09224000000000E+01,7.93418000000000E+01,7.77612100000000E+01,7.61806100000000E+01,7.46000000000000E+01,7.33398000000000E+01,7.20796000000000E+01,7.08194000000000E+01,6.95592000000000E+01,6.82990000000000E+01,6.76988000000000E+01,6.70986000000000E+01,6.64984100000000E+01,6.58982100000000E+01,6.52980000000000E+01,6.72380000000000E+01,6.91780000000000E+01,7.11180000000000E+01,7.30580100000000E+01,7.49980000000000E+01,7.60786000000000E+01,7.71591900000000E+01,7.82397900000000E+01,7.93203900000000E+01,8.04010000000000E+01,8.10808000000000E+01,8.17606000000000E+01,8.24404100000000E+01,8.31202100000000E+01,8.38000000000000E+01,8.49798000000000E+01,8.61596000000000E+01,8.73394000000000E+01,8.85192000000000E+01,8.96990000000000E+01,8.89568000000000E+01,8.82146000000000E+01,8.74724000000000E+01,8.67301900000000E+01,8.59880000000000E+01,8.39060000000000E+01,8.18240000000000E+01,7.97420000000000E+01,7.76600000000000E+01,7.55780000000000E+01,7.46212000000000E+01,7.36644000000000E+01,7.27076000000000E+01,7.17507900000000E+01,,BRA,Brazil,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
8.71095355137606E+01,8.79425389908141E+01,8.86656356871292E+01,8.92016985309630E+01,8.94659474963144E+01,8.94119538331491E+01,8.90307818402277E+01,8.83640432795250E+01,8.74810029444094E+01,8.64685236732245E+01,8.53888074683094E+01,8.42714984537076E+01,8.31163566086088E+01,8.19192029008640E+01,8.06688454193213E+01,7.93688073066187E+01,7.80176282226494E+01,7.66488413922606E+01,7.53351970300353E+01,7.41593876584437E+01,7.31653882917303E+01,7.23571988142816E+01,7.16938942906004E+01,7.11162358853615E+01,7.05493625315660E+01,6.99395987518505E+01,6.92807770511097E+01,6.85774143986220E+01,6.78055401355994E+01,6.69412907891514E+01,6.59730529946397E+01,6.49054917020097E+01,6.37543572524069E+01,6.25370653746902E+01,6.12764587271388E+01,5.99962906744106E+01,5.86963417460969E+01,5.73944301389588E+01,5.61476871146700E+01,5.50210457049051E+01,5.40511545550056E+01,5.32495583049714E+01,5.25897804647544E+01,5.20223053104463E+01,5.14817591043400E+01,5.09230973524898E+01,5.03383406924244E+01,4.97404130816304E+01,4.91331886322349E+01,4.85263345523179E+01,4.79287427591411E+01,4.73443074895114E+01,4.67754326516877E+01,BRA,Brazil,SP.POP.DPND,Age dependency ratio (% of working-age population)
6.17388932083643E+00,6.29152046089741E+00,6.41301212036244E+00,6.52949163664620E+00,6.63040097809017E+00,6.70968899529309E+00,6.76525224449886E+00,6.80159404970123E+00,6.82739695460660E+00,6.85365276837946E+00,6.88735756240988E+00,6.92880149079517E+00,6.97480270969520E+00,7.02384960451533E+00,7.07357358625025E+00,7.12172824897276E+00,7.17087988081816E+00,7.22015427123628E+00,7.26101212492526E+00,7.28330860454776E+00,7.28226092522572E+00,7.25664385941670E+00,7.21365073971533E+00,7.16694071566280E+00,7.13347638814839E+00,7.12446589189119E+00,7.14120112741062E+00,7.17985731265565E+00,7.23925277424782E+00,7.31689722689621E+00,7.41001176938291E+00,7.52036203293531E+00,7.64603315590946E+00,7.77683085466131E+00,7.90023424534700E+00,8.00884897689141E+00,8.09898752865787E+00,8.17586049712802E+00,8.25159540553701E+00,8.34208174110094E+00,8.45747961735911E+00,8.60204210364103E+00,8.77095196201833E+00,8.95446626396314E+00,9.13908733142032E+00,9.31638966189689E+00,9.48487308779479E+00,9.65050166326184E+00,9.82137655789869E+00,1.00083180053739E+01,1.02190645497615E+01,1.04553225983958E+01,1.07157054704284E+01,BRA,Brazil,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
