1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
,,,,,,,,,,6.40918477220000E-01,1.54602652330000E-01,1.57598752310000E-01,1.45369900050000E-01,4.98263521340000E-01,1.01783445940000E+00,8.78104525760000E-01,6.17210223340000E-01,6.19591437370000E-01,8.49137866390000E-01,1.11115557390000E+00,1.13438726240000E+00,1.48977474770000E+00,1.73993912440000E+00,1.72709701430000E+00,1.77493322850000E+00,7.76537661600000E-01,6.60856964110000E-01,3.78409863420000E-01,3.88373505910000E-01,4.48426944220000E-01,3.09526836490000E-01,2.20647129780000E-01,2.02574317460000E-01,1.69741745010000E-01,1.18157705460000E-01,1.44336552520000E-01,1.11308019150000E-01,7.32226855090000E-02,8.40827437490000E-02,2.11335251570000E-01,2.25370280110000E-01,1.65048490490000E-01,2.14068945390000E-01,1.91230069990000E-01,2.88916052590000E-01,2.40363703460000E-01,1.98813901160000E-01,2.78203714270000E-01,1.31258476210000E-01,1.11491638730000E-01,1.02006340640000E-01,,CHL,Chile,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
,,,,,,,,,,5.45607621910000E+07,1.58920736850000E+07,1.75185373210000E+07,2.30223457840000E+07,7.61048922260000E+07,7.06016445030000E+07,8.37059023410000E+07,8.48162618400000E+07,9.22733290290000E+07,1.70101124430000E+08,2.94940575780000E+08,3.52212714870000E+08,3.32280328960000E+08,3.12765041140000E+08,2.96366891150000E+08,2.55640361270000E+08,1.22575179780000E+08,1.26554966560000E+08,8.57597590490000E+07,1.02505262170000E+08,1.33629302910000E+08,1.06676427150000E+08,9.38795909050000E+07,9.31589900770000E+07,8.92880159060000E+07,8.11001434260000E+07,1.05745722560000E+08,8.92410922020000E+07,5.67360941420000E+07,5.95046742220000E+07,1.61567686550000E+08,1.57389480090000E+08,1.12451248380000E+08,1.57080364260000E+08,1.77447570020000E+08,3.29203116480000E+08,3.26892686170000E+08,3.06558921910000E+08,4.63807126610000E+08,2.11933361620000E+08,2.24773178200000E+08,2.39271816710000E+08,,CHL,Chile,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
,,,,,,,,,,6.43043893900000E+00,4.01474968950000E+00,3.49694307110000E+00,4.52177728330000E+00,6.56745345300000E+00,7.13552645850000E+00,7.40269032670000E+00,4.65194193220000E+00,4.07917584380000E+00,5.14065614250000E+00,4.69797755120000E+00,2.79512372680000E+00,3.50578019400000E+00,4.99898087560000E+00,4.29032871220000E+00,5.54127959560000E+00,4.53738030750000E+00,5.44188522270000E+00,7.82981762970000E+00,8.37618462860000E+00,6.62757593060000E+00,5.42944522310000E+00,4.44321055710000E+00,3.27810745140000E+00,4.12356275140000E+00,4.79752396410000E+00,3.98761567000000E+00,4.05621371660000E+00,2.93473386070000E+00,3.71155936970000E+00,4.72873912710000E+00,4.00590773890000E+00,3.87299166090000E+00,4.60895795970000E+00,7.81725306240000E+00,8.70222945660000E+00,1.49985483840000E+01,1.45410983110000E+01,1.27004075280000E+01,9.51269254640000E+00,1.18628923600000E+01,1.23326905450000E+01,,CHL,Chile,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
,,,,,,,,,,5.47416968310000E+08,4.12688249090000E+08,3.88717085650000E+08,7.16117436570000E+08,1.00311444820000E+09,4.94952688740000E+08,7.05666415970000E+08,6.39264079020000E+08,6.07495701370000E+08,1.02978729930000E+09,1.24701188250000E+09,8.67850115080000E+08,7.81931495290000E+08,8.98598368940000E+08,7.36213062700000E+08,7.98100286200000E+08,7.16217943340000E+08,1.04212808490000E+09,1.77448670930000E+09,2.21076615230000E+09,1.97498915480000E+09,1.87122326580000E+09,1.89047004520000E+09,1.50752170050000E+09,2.16908773100000E+09,3.29288623270000E+09,2.92145886100000E+09,3.25206526020000E+09,2.27395834280000E+09,2.62664039370000E+09,3.61516327910000E+09,2.79756379580000E+09,2.63875631920000E+09,3.38197954800000E+09,7.25384119900000E+09,9.91568669090000E+09,2.03979040900000E+10,2.24214876090000E+10,2.11734754800000E+10,1.53594416730000E+10,2.39162330800000E+10,2.89282534130000E+10,,CHL,Chile,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
,,,,,,,,,,7.07135741622000E+00,4.16935234183000E+00,3.65454182341000E+00,4.66714718335000E+00,7.06571697434000E+00,8.15336091790000E+00,8.28079485246000E+00,5.26915215554000E+00,4.69876728117000E+00,5.98979400889000E+00,5.80913312510000E+00,3.92951098920000E+00,4.99555494170000E+00,6.73892000000000E+00,6.01742572650000E+00,7.31621282410000E+00,5.31391796910000E+00,6.10274218681000E+00,8.20822749312000E+00,8.76455813451000E+00,7.07600287482000E+00,5.73897205959000E+00,4.66385768688000E+00,3.48068176886000E+00,4.29330449641000E+00,4.91568166956000E+00,4.13195222252000E+00,4.16752173575000E+00,3.00795654620900E+00,3.79564211344900E+00,4.94007437867000E+00,4.23127801901000E+00,4.03804015139000E+00,4.82302690509000E+00,8.00848313239000E+00,8.99114550919000E+00,1.52389120874600E+01,1.47399122121600E+01,1.29786112422700E+01,9.64395102261000E+00,1.19743839987300E+01,1.24346968856400E+01,,CHL,Chile,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,CHL,Chile,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,CHL,Chile,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
8.78174100000000E+01,8.78572100000000E+01,8.78970000000000E+01,8.68772000000000E+01,8.58574000000000E+01,8.48376000000000E+01,8.38178000000000E+01,8.27980000000000E+01,8.30584000000000E+01,8.33188000000000E+01,8.35792000000000E+01,8.38396000000000E+01,8.41000000000000E+01,8.15204000000000E+01,7.89408000000000E+01,7.63612100000000E+01,7.37816100000000E+01,7.12020000000000E+01,6.98218000000000E+01,6.84416000000000E+01,6.70613900000000E+01,6.56811900000000E+01,6.43010000000000E+01,6.42404000000000E+01,6.41798000000000E+01,6.41192000000000E+01,6.40586000000000E+01,6.39980000000000E+01,6.48184000000000E+01,6.56387900000000E+01,6.64591900000000E+01,6.72795900000000E+01,6.81000000000000E+01,6.78604000000000E+01,6.76208000000000E+01,6.73812000000000E+01,6.71415900000000E+01,6.69020000000000E+01,6.58416000000000E+01,6.47812000000000E+01,6.37208000000000E+01,6.26604000000000E+01,6.16000000000000E+01,6.09840000000000E+01,6.03680000000000E+01,5.97520000000000E+01,5.91360000000000E+01,5.85200000000000E+01,5.78730000000000E+01,5.72260000000000E+01,5.65790000000000E+01,5.59320000000000E+01,,CHL,Chile,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
7.95863850814730E+01,8.06101639528816E+01,8.15927853897853E+01,8.24543902257044E+01,8.30982540483003E+01,8.34584889686892E+01,8.35192562369783E+01,8.32977025551093E+01,8.28064243273489E+01,8.20689534765891E+01,8.11074398276362E+01,7.99591191952747E+01,7.86388980544371E+01,7.71285849848821E+01,7.54022517708573E+01,7.34665133147447E+01,7.13280325205951E+01,6.90624774075614E+01,6.68186390446315E+01,6.47679648678814E+01,6.30176441803296E+01,6.15936293163184E+01,6.04536647378734E+01,5.95454322894205E+01,5.87942765340277E+01,5.81481809044208E+01,5.75824564559966E+01,5.71067128126766E+01,5.67422308593011E+01,5.65203695506045E+01,5.64500587917160E+01,5.65339792526061E+01,5.67260229501463E+01,5.69296164897260E+01,5.70247279004593E+01,5.69303158361551E+01,5.66292056486032E+01,5.61484044204560E+01,5.55110194970143E+01,5.47550661226218E+01,5.39141886296645E+01,5.29983376120141E+01,5.20192144203024E+01,5.10142802366465E+01,5.00256878077201E+01,4.90864626851055E+01,4.82069083132554E+01,4.73950634367167E+01,4.66755647570938E+01,4.60741936202876E+01,4.56075180190302E+01,4.52846571802461E+01,4.51003318758941E+01,CHL,Chile,SP.POP.DPND,Age dependency ratio (% of working-age population)
8.62889750414774E+00,8.75152168339850E+00,8.86384131470762E+00,8.96235492750238E+00,9.04315078730918E+00,9.10431227246060E+00,9.14424919252150E+00,9.16558111923610E+00,9.17581295115139E+00,9.18410778588758E+00,9.19635784360664E+00,9.21593711919128E+00,9.24025068489473E+00,9.26191197572051E+00,9.27149926157407E+00,9.26388629071007E+00,9.23837965233495E+00,9.20073974536270E+00,9.15999737564108E+00,9.12701307224954E+00,9.10920119027061E+00,9.10899678401847E+00,9.12434164442972E+00,9.15230496822955E+00,9.18829095310596E+00,9.22976062701350E+00,9.27537784583631E+00,9.32748729108874E+00,9.39156043998358E+00,9.47439742005037E+00,9.58002984286838E+00,9.70964982040127E+00,9.85972801443001E+00,1.00232898994819E+01,1.01911170496145E+01,1.03566862645982E+01,1.05196916362573E+01,1.06818510242831E+01,1.08418743259453E+01,1.09986881973656E+01,1.11526424233500E+01,1.13029499142805E+01,1.14524407491198E+01,1.16094301788721E+01,1.17842853684514E+01,1.19843148241229E+01,1.22126153287052E+01,1.24678973317366E+01,1.27480042662491E+01,1.30492186259295E+01,1.33697089216043E+01,1.37115500915677E+01,1.40780253744079E+01,CHL,Chile,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
