1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
,,,,,,,,,,3.27924165700000E-01,7.53614424360000E-01,7.09542325260000E-01,7.17634860880000E-01,3.94003839770000E+00,5.07731016710000E+00,6.15082492820000E+00,6.51545438180000E+00,9.03975166900000E+00,1.27896981650000E+01,1.46386353510000E+01,1.58137694410000E+01,1.44031295330000E+01,1.01936044930000E+01,9.34656373940000E+00,8.04767457350000E+00,4.85995300370000E+00,4.97206692600000E+00,4.13125107180000E+00,5.15082095400000E+00,6.23733511080000E+00,5.28118981050000E+00,4.49948348190000E+00,3.32349391090000E+00,2.54409419200000E+00,2.50061181100000E+00,2.52313734860000E+00,2.16763886700000E+00,1.21559037250000E+00,1.32236026210000E+00,2.18623182150000E+00,2.39706724010000E+00,1.85965785030000E+00,1.99146483670000E+00,3.88001430080000E+00,4.02669699730000E+00,3.92760178540000E+00,3.99244477380000E+00,6.00323241790000E+00,2.79311624370000E+00,3.69017789050000E+00,4.16997245930000E+00,,CHN,China,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
,,,,,,,,,,3.00070987670000E+08,7.42777612950000E+08,7.95821365480000E+08,9.81508346150000E+08,5.60489138060000E+09,8.18271987940000E+09,9.32635310180000E+09,1.12321968210000E+10,1.34036732060000E+10,2.25502568820000E+10,2.77109356170000E+10,3.06766747290000E+10,2.93188974100000E+10,2.34059377080000E+10,2.42044360150000E+10,2.47472158220000E+10,1.44733716060000E+10,1.34323965380000E+10,1.27805054560000E+10,1.77292637810000E+10,2.23291545420000E+10,2.00848220020000E+10,1.90287619290000E+10,1.45973469010000E+10,1.42008439390000E+10,1.79102119880000E+10,2.12863909570000E+10,2.04115430620000E+10,1.21901199850000E+10,1.40871690690000E+10,2.58808176600000E+10,3.12968878630000E+10,2.67582896150000E+10,3.25230179660000E+10,7.48113962270000E+10,9.02303306400000E+10,1.06341816970000E+11,1.39809664650000E+11,2.72518373790000E+11,1.39615490950000E+11,2.17851841740000E+11,3.04634839170000E+11,,CHN,China,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
,,,,,,,,,,1.53768253750000E-01,1.22896848640000E-01,1.11238459280000E-01,1.55809738750000E-01,2.57716574210000E-01,1.80127852720000E-01,3.23526290630000E-01,2.82350779260000E-01,3.14567168620000E-01,3.63591291830000E-01,3.53506870250000E-01,4.80255742990000E-01,3.83614702010000E-01,3.49288518800000E-01,2.80239242650000E-01,2.26470345470000E-01,2.06614132360000E-01,2.98505660170000E-01,8.15371923790000E-01,3.74136624590000E-01,3.50016613120000E-01,3.46959415050000E-01,2.93454149210000E-01,2.49526481780000E-01,2.30606259050000E-01,1.75904772330000E-01,1.39143478570000E-01,1.22839737550000E-01,2.01641966080000E-01,1.48973147150000E-01,1.59030611010000E-01,1.48546296910000E-01,1.52736771360000E-01,1.79985387440000E-01,2.76222205340000E-01,5.91465282740000E-01,1.11273149720000E+00,1.13667991910000E+00,1.68713026420000E+00,1.05632655800000E+00,1.74837092400000E+00,1.88221352740000E+00,,CHN,China,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
,,,,,,,,,,1.40707506790000E+08,1.21129618700000E+08,1.24764851100000E+08,2.13100794470000E+08,3.66614042720000E+08,2.90298546440000E+08,4.90555406690000E+08,4.86753392700000E+08,4.66423822670000E+08,6.41068845010000E+08,6.69188478780000E+08,9.31634248830000E+08,7.80883075970000E+08,8.02015157520000E+08,7.25724769740000E+08,6.96413661530000E+08,6.15315233390000E+08,8.06434518220000E+08,2.52244783470000E+09,1.28778828980000E+09,1.25303112760000E+09,1.31951668910000E+09,1.24104670340000E+09,1.09596247600000E+09,1.28721786580000E+09,1.25988837950000E+09,1.17388079790000E+09,1.15671878320000E+09,2.02209544930000E+09,1.58701828150000E+09,1.88261931120000E+09,1.93946866360000E+09,2.19770253020000E+09,2.93937803030000E+09,5.32590017680000E+09,1.32535693790000E+10,3.01277715190000E+10,3.98048933200000E+10,7.65877387300000E+10,5.28010788410000E+10,1.03216115090000E+11,1.37503981340000E+11,,CHN,China,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
,,,,,,,,,,1.45474038557000E+00,1.83469007333000E+00,1.74736647777000E+00,1.78836171411000E+00,5.37336413731000E+00,6.42240274672000E+00,7.84750968473000E+00,8.10951805146000E+00,1.09755309778200E+01,1.49470863810300E+01,1.68753764955500E+01,1.79043147667900E+01,1.62434858029100E+01,1.17553762854000E+01,1.06223438546200E+01,9.05340180244000E+00,5.87538879469000E+00,6.32600879507000E+00,5.85110186827000E+00,6.30456985960000E+00,7.35400199722000E+00,6.28499201162000E+00,5.37174747292000E+00,4.25523409218000E+00,3.25226437537000E+00,3.03110489504000E+00,2.95931543407000E+00,2.50722965948000E+00,1.56676791458000E+00,1.58205416419000E+00,2.42674247873800E+00,2.59234664275600E+00,2.03849652658100E+00,2.18703834739700E+00,4.15897313475340E+00,4.61816228004000E+00,5.04033328260000E+00,5.12912469290000E+00,7.69036268210000E+00,3.84944280170000E+00,5.43854881450000E+00,6.05218598670000E+00,,CHN,China,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
,,,,,,,,,,9.73047966120000E-01,9.58178800330000E-01,9.26585693230000E-01,9.14917114480000E-01,1.17560916540000E+00,1.16496472690000E+00,1.37315846590000E+00,1.31171289040000E+00,1.62121214020000E+00,1.79379692420000E+00,1.88323427430000E+00,1.61028958280000E+00,1.45674156790000E+00,1.21248327360000E+00,9.95540872570000E-01,7.79256883470000E-01,8.08821658630000E-01,1.05543620890000E+00,9.04478872680000E-01,7.79612281010000E-01,7.66650273300000E-01,6.56842786070000E-01,5.78809841810000E-01,6.82213699500000E-01,4.77563924320000E-01,3.54588311710000E-01,2.97034606900000E-01,2.16751054930000E-01,1.49535576000000E-01,1.10720754940000E-01,8.14800462280000E-02,4.67331057460000E-02,2.61019049210000E-02,1.55881232570000E-02,2.73662861340000E-03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,CHN,China,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
,,,,,,,,,,8.90399350750000E+08,9.44400397720000E+08,1.03925680730000E+09,1.25133104990000E+09,1.67235976220000E+09,1.87748625070000E+09,2.08208831610000E+09,2.26130312560000E+09,2.40384896850000E+09,3.16274715100000E+09,3.56496233950000E+09,3.12375426590000E+09,2.96533170000000E+09,2.78403071200000E+09,2.57811384190000E+09,2.39627461320000E+09,2.40874272230000E+09,2.85133685630000E+09,2.79811053990000E+09,2.68344636710000E+09,2.74454588830000E+09,2.49802997330000E+09,2.44784423060000E+09,2.99639785700000E+09,2.66570741820000E+09,2.53967921110000E+09,2.50592571730000E+09,2.04103347600000E+09,1.49956486550000E+09,1.17951366140000E+09,9.64568440830000E+08,6.10162596010000E+08,3.75575717470000E+08,2.54572816640000E+08,5.27655291070000E+07,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,CHN,China,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
6.77889900000000E+01,6.62799900000000E+01,6.47710000000000E+01,6.15582000000000E+01,5.83454000000000E+01,5.51326000000000E+01,5.19198000000000E+01,4.87070000000000E+01,4.48646000000000E+01,4.10222000000000E+01,3.71798000000000E+01,3.33374000000000E+01,2.94950000000000E+01,2.66786000000000E+01,2.38622000000000E+01,2.10458000000000E+01,1.82294000000000E+01,1.54130000000000E+01,1.62344000000000E+01,1.70558000000000E+01,1.78772000000000E+01,1.86986000000000E+01,1.95200000000000E+01,2.05586000000000E+01,2.15972000000000E+01,2.26358000000000E+01,2.36744000000000E+01,2.47130000000000E+01,2.08724000000000E+01,1.70318000000000E+01,1.31912000000000E+01,9.35060100000000E+00,5.51000000000000E+00,5.59040000000000E+00,5.67080000000000E+00,5.75120000000000E+00,5.83160000000000E+00,5.91200000000000E+00,6.22560000000000E+00,6.53920000000000E+00,6.85280000000000E+00,7.16640000000000E+00,7.48000000000000E+00,7.65960000000000E+00,7.83920000000000E+00,8.01880000000000E+00,8.19840000000000E+00,8.37800000000000E+00,8.41260000000000E+00,8.44720000000000E+00,8.48180000000000E+00,8.51640000000000E+00,,CHN,China,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
7.74841233041551E+01,7.84197159621134E+01,7.93428103849217E+01,8.01586962802613E+01,8.07372497345414E+01,8.09995387910252E+01,8.08830100526058E+01,8.04548879474441E+01,7.99078705160807E+01,7.94760137118298E+01,7.92826788892631E+01,7.93863858047273E+01,7.96683553982410E+01,7.98644851483355E+01,7.96365273322738E+01,7.87786150372116E+01,7.72784479249628E+01,7.52799001332999E+01,7.29400050032691E+01,7.04617533649655E+01,6.79997388782783E+01,6.55797343576625E+01,6.32165957749376E+01,6.10202041216588E+01,5.91054895654090E+01,5.75385248058698E+01,5.63219778107756E+01,5.54142602052855E+01,5.47700136701388E+01,5.43266268542138E+01,5.40260738944888E+01,5.38566251129814E+01,5.37870179665365E+01,5.37198159260542E+01,5.35378936566870E+01,5.31568494958649E+01,5.25731091589377E+01,5.18008302939658E+01,5.08072681219667E+01,4.95631489300811E+01,4.80726991749086E+01,4.63345931291557E+01,4.44193395827781E+01,4.24848675325134E+01,4.07167736296052E+01,3.92366417403561E+01,3.80698084064447E+01,3.71858064308151E+01,3.65714400925008E+01,3.61978648736664E+01,3.60407665619867E+01,3.60952868989696E+01,3.63586805899443E+01,CHN,China,SP.POP.DPND,Age dependency ratio (% of working-age population)
7.04071021476850E+00,6.94850678374553E+00,6.82184957805415E+00,6.68931567817883E+00,6.58969374900934E+00,6.54961494513859E+00,6.57288425685603E+00,6.64781051204240E+00,6.76512286653489E+00,6.91238710005166E+00,7.08009815806166E+00,7.26873219267943E+00,7.47579339290567E+00,7.68671033463313E+00,7.88310790711424E+00,8.05208615860369E+00,8.18857093528543E+00,8.29641633818622E+00,8.38259938307526E+00,8.45728399793373E+00,8.52735536022750E+00,8.59583306830916E+00,8.66067835153631E+00,8.71804161044036E+00,8.76269330029480E+00,8.79277713638463E+00,8.80721424401015E+00,8.81173567221479E+00,8.81889637215273E+00,8.84412064774515E+00,8.89722841317607E+00,8.98112476670071E+00,9.09140414428984E+00,9.22114985641543E+00,9.36000643099248E+00,9.49993465197106E+00,9.63987339547213E+00,9.78081158292018E+00,9.91906342484110E+00,1.00505214376283E+01,1.01725209300455E+01,1.02852939603597E+01,1.03905748235994E+01,1.04898989424082E+01,1.05858967918848E+01,1.06823532386180E+01,1.07826374943920E+01,1.08918788852104E+01,1.10182153957339E+01,1.11711883936712E+01,1.13594175007387E+01,1.15796056525980E+01,1.18354293292674E+01,CHN,China,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
