1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
,,,,,,,,,,1.04707031640000E+00,1.29749643060000E+00,9.49117880890000E-01,1.09320934070000E+00,4.14345465570000E+00,4.87054987810000E+00,6.59987482900000E+00,8.47929044560000E+00,1.13509086600000E+01,2.45843717730000E+01,2.72711409490000E+01,2.67545786660000E+01,2.26338671990000E+01,2.00414601840000E+01,2.09383630510000E+01,1.97655987980000E+01,8.10341830260000E+00,9.72312156360000E+00,8.32581342970000E+00,9.43643602330000E+00,1.27971505040000E+01,1.21756458470000E+01,1.05150964510000E+01,8.94522051680000E+00,7.06662932740000E+00,6.70270481180000E+00,7.08311420930000E+00,5.48341641640000E+00,3.08303234170000E+00,3.83291777470000E+00,5.64739608070000E+00,5.13560005810000E+00,5.51008349390000E+00,7.91693546490000E+00,1.03692594580000E+01,1.62906340670000E+01,1.48156163090000E+01,1.31443715100000E+01,1.57948633210000E+01,6.94996157770000E+00,7.08035306790000E+00,8.68560656030000E+00,,EGY,"Egypt, Arab Rep.",NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
,,,,,,,,,,7.97704032490000E+07,1.06301393330000E+08,8.25300696230000E+07,1.03774786570000E+08,3.68606489320000E+08,5.45209026170000E+08,8.59202814000000E+08,1.20499328330000E+09,1.61034560230000E+09,4.19925667020000E+09,5.85041688740000E+09,5.81655384930000E+09,5.38875574570000E+09,5.26271470200000E+09,5.98415815840000E+09,6.20750716490000E+09,2.59856688650000E+09,3.88789503150000E+09,2.90039857970000E+09,3.69330886730000E+09,5.37804089930000E+09,4.45724252130000E+09,4.36693885180000E+09,4.11538567200000E+09,3.65881684980000E+09,4.04173398320000E+09,4.82843980290000E+09,4.35404515610000E+09,2.65270599360000E+09,3.51536452100000E+09,5.69090028800000E+09,5.06901741840000E+09,4.84592450950000E+09,6.55652732260000E+09,8.15422861720000E+09,1.45690276230000E+10,1.60030486430000E+10,1.73051982830000E+10,2.59316720360000E+10,1.31455735010000E+10,1.51894517640000E+10,1.94109132830000E+10,,EGY,"Egypt, Arab Rep.",NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
,,,,,,,,,,9.31197644060000E-03,9.47612614410000E-03,7.38833489310000E-03,8.26092606870000E-03,1.52296324950000E-01,1.59265756170000E-01,6.58899059010000E-02,4.67897394180000E-02,3.21300063990000E-02,2.66249977650000E-02,4.92847154100000E-02,5.38251108480000E-02,4.89873040550000E-02,3.10313393630000E-02,3.32974386910000E-02,2.67959551880000E-02,2.22448488350000E-02,1.69623840830000E-02,1.72160151150000E-02,2.25671111720000E-02,2.93372014370000E-02,3.22817409080000E-02,2.83673997980000E-02,1.72378014780000E-02,1.18308639080000E-02,1.05405258970000E-02,1.26056365680000E-02,1.40665667100000E-02,3.15390243870000E-02,2.10088047640000E-02,1.52322004120000E-02,2.46366783620000E-02,2.34352293620000E-02,3.48707804730000E-02,3.75359720220000E-02,5.24866388260000E-02,5.48052159590000E-02,5.27333175580000E-02,6.40336969870000E-01,2.09208757700000E-01,1.72176409540000E-01,2.81048418570000E-01,,EGY,"Egypt, Arab Rep.",NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
,,,,,,,,,,7.09427155050000E+05,7.76360835140000E+05,6.42448957510000E+05,7.84182688270000E+05,1.35484561410000E+07,1.78281980470000E+07,8.57785852480000E+06,6.64929714190000E+06,4.55826190260000E+06,4.54781600660000E+06,1.05729397920000E+07,1.17017972740000E+07,1.16630805450000E+07,8.14856224980000E+06,9.51636662860000E+06,8.41543357840000E+06,7.13337574580000E+06,6.78259223330000E+06,5.99740868680000E+06,8.83249900660000E+06,1.23290469350000E+07,1.18176522250000E+07,1.17810331910000E+07,7.93051452300000E+06,6.12554617020000E+06,6.35594180470000E+06,8.59305039380000E+06,1.11693991480000E+07,2.71368411850000E+07,1.92682471250000E+07,1.53495402970000E+07,2.43172658190000E+07,2.06104594380000E+07,2.88787531420000E+07,2.95177199940000E+07,4.69398114120000E+07,5.91977085920000E+07,6.94259528320000E+07,1.05129167360000E+09,3.95709971990000E+08,3.69369329830000E+08,6.28097352010000E+08,,EGY,"Egypt, Arab Rep.",NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
,,,,,,,,,,1.62867998212060E+00,1.86628790223410E+00,1.53653473401310E+00,1.68979301694870E+00,5.09864438243000E+00,5.73726737274000E+00,7.23651905317100E+00,9.10255566538800E+00,1.20468172493890E+01,2.52025458678750E+01,2.78993086237000E+01,2.73688064885680E+01,2.31496837055850E+01,2.04690076108530E+01,2.13373456490910E+01,2.01176171914780E+01,8.46275614473500E+00,1.00688177809430E+01,8.74309926591500E+00,9.82499376685200E+00,1.32400083232570E+01,1.26721884202080E+01,1.09749480993080E+01,9.35376960360800E+00,7.43104917445800E+00,7.05288270717700E+00,7.40024991983800E+00,5.74535875634000E+00,3.32896403891700E+00,4.05145246350400E+00,5.84509581995200E+00,5.33964439036200E+00,5.73039887204200E+00,8.18330585129300E+00,1.06686122469020E+01,1.65850031299860E+01,1.50768462954890E+01,1.33805060137680E+01,1.66039025671100E+01,7.29599334391000E+00,7.37767046103000E+00,9.09618986962000E+00,,EGY,"Egypt, Arab Rep.",NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
,,,,,,,,,,5.72297689280000E-01,5.59315345490000E-01,5.80028518230000E-01,5.88322750180000E-01,8.02893401780000E-01,7.07451738470000E-01,5.70754318270000E-01,5.76475480370000E-01,6.63778582990000E-01,5.91549097110000E-01,5.78882959290000E-01,5.60402711720000E-01,4.66829202530000E-01,3.96516087490000E-01,3.65685159400000E-01,3.25222438290000E-01,3.37092993300000E-01,3.28733833260000E-01,4.00069821100000E-01,3.65990632380000E-01,4.13520617820000E-01,4.64260832300000E-01,4.31484248510000E-01,3.91311285330000E-01,3.52588983150000E-01,3.39637369480000E-01,3.04530073970000E-01,2.47875773230000E-01,2.14392672830000E-01,1.97525884040000E-01,1.82467538840000E-01,1.79407653900000E-01,1.96880148780000E-01,2.31499605920000E-01,2.61816816880000E-01,2.41882424160000E-01,2.06424770530000E-01,1.83401186210000E-01,1.68702276240000E-01,1.36823008510000E-01,1.25140983590000E-01,1.29534890750000E-01,,EGY,"Egypt, Arab Rep.",NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
,,,,,,,,,,4.36001448390000E+07,4.58236332150000E+07,5.04360890860000E+07,5.58475541330000E+07,7.14263199950000E+07,7.91921000800000E+07,7.43034874240000E+07,8.19230201250000E+07,9.41698108940000E+07,1.01042504350000E+08,1.24186466830000E+08,1.21833821070000E+08,1.11144442320000E+08,1.04121706900000E+08,1.04512364440000E+08,1.02138095410000E+08,1.08097429670000E+08,1.31447768980000E+08,1.39369198060000E+08,1.43244382160000E+08,1.73783280480000E+08,1.69955922560000E+08,1.79196200200000E+08,1.80028748750000E+08,1.82556414500000E+08,2.04801484890000E+08,2.07593028560000E+08,1.96822970890000E+08,1.84467973470000E+08,1.81161069860000E+08,1.83873161090000E+08,1.77081648170000E+08,1.73149161800000E+08,1.91719826200000E+08,2.05888780120000E+08,2.16320107890000E+08,2.22969168140000E+08,2.41456496440000E+08,2.76971823710000E+08,2.58795231440000E+08,2.68464427660000E+08,2.89489342410000E+08,,EGY,"Egypt, Arab Rep.",NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
1.48011400000000E+02,1.47562200000000E+02,1.47113000000000E+02,1.45540800000000E+02,1.43968600000000E+02,1.42396400000000E+02,1.40824200000000E+02,1.39252000000000E+02,1.37006000000000E+02,1.34760000000000E+02,1.32514000000000E+02,1.30268000000000E+02,1.28022000000000E+02,1.27123600000000E+02,1.26225200000000E+02,1.25326800000000E+02,1.24428400000000E+02,1.23530000000000E+02,1.21121600000000E+02,1.18713200000000E+02,1.16304800000000E+02,1.13896400000000E+02,1.11488000000000E+02,1.05241600000000E+02,9.89952000000000E+01,9.27488000000000E+01,8.65024000000000E+01,8.02560000000000E+01,7.93228000000000E+01,7.83896000000000E+01,7.74564100000000E+01,7.65232100000000E+01,7.55900000000000E+01,7.22332000000000E+01,6.88764000000000E+01,6.55196100000000E+01,6.21628100000000E+01,5.88060000000000E+01,5.75416000000000E+01,5.62772000000000E+01,5.50128000000000E+01,5.37484000000000E+01,5.24840000000000E+01,5.17300000000000E+01,5.09760000000000E+01,5.02220000000000E+01,4.94679900000000E+01,4.87140000000000E+01,4.75642000000000E+01,4.64144000000000E+01,4.52646000000000E+01,4.41148000000000E+01,,EGY,"Egypt, Arab Rep.",SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
8.39114113031742E+01,8.45579389330498E+01,8.48480062753159E+01,8.49178355942288E+01,8.49508849413294E+01,8.50629122403333E+01,8.52889655428819E+01,8.55710449415772E+01,8.58185289442630E+01,8.59100367112429E+01,8.57740705343895E+01,8.53980918094749E+01,8.48403028503077E+01,8.41864079337080E+01,8.35456497213354E+01,8.29903436618382E+01,8.25419885799838E+01,8.21765460064861E+01,8.18632270524322E+01,8.15570619938587E+01,8.12308904707079E+01,8.08643706979911E+01,8.04754845841228E+01,8.01162580376533E+01,7.98526052983469E+01,7.97158036157330E+01,7.97164293987571E+01,7.98045103261873E+01,7.98796790801697E+01,7.98166718044032E+01,7.95334227790698E+01,7.90085598647658E+01,7.82731859751309E+01,7.73659366316507E+01,7.63441994853310E+01,7.52498102391821E+01,7.41147384609233E+01,7.29348244705857E+01,7.16791080380404E+01,7.03054873859636E+01,6.88043265831522E+01,6.71738951873797E+01,6.54760056503633E+01,6.38327866698865E+01,6.23856266996215E+01,6.12187100768524E+01,6.03441709169194E+01,5.97165899402263E+01,5.92849051696926E+01,5.89790185648562E+01,5.87456705009937E+01,5.85739977398077E+01,5.84627074585144E+01,EGY,"Egypt, Arab Rep.",SP.POP.DPND,Age dependency ratio (% of working-age population)
7.12117003520250E+00,7.23917560307088E+00,7.33419735802674E+00,7.41252071599794E+00,7.48280107788307E+00,7.55110137013225E+00,7.61917750589030E+00,7.68568326969335E+00,7.74946539181068E+00,7.80842603338798E+00,7.86122384504919E+00,7.90823200446464E+00,7.95069315115553E+00,7.98933753066390E+00,8.02506024447314E+00,8.05860449483145E+00,8.09072384798844E+00,8.12170012449306E+00,8.15115722534537E+00,8.17850792345215E+00,8.20363545810535E+00,8.22670209752963E+00,8.24890326713178E+00,8.27228633335293E+00,8.29940880203685E+00,8.33199934515177E+00,8.36914918450475E+00,8.41034559130016E+00,8.45774209501118E+00,8.51389407921471E+00,8.57957477924727E+00,8.65516092873534E+00,8.73739647982791E+00,8.81906003847539E+00,8.89116704250400E+00,8.94754094448140E+00,8.98753415539865E+00,9.01287867922917E+00,9.02330805928555E+00,9.01908793687866E+00,9.00138430441239E+00,8.97257953728088E+00,8.93544428911008E+00,8.89246654397207E+00,8.84619548047796E+00,8.79970673081862E+00,8.75110298399298E+00,8.70406169521089E+00,8.67261494796768E+00,8.67401929866906E+00,8.71834733221836E+00,8.81156474588624E+00,8.94605244434697E+00,EGY,"Egypt, Arab Rep.",SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
