1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
,,,,,,,,,,3.34899354150000E-02,6.28921011570000E-02,6.52710507180000E-02,7.35841535790000E-02,3.28409841970000E-01,4.51886470050000E-01,4.62419621190000E-01,4.15452882070000E-01,3.68574562020000E-01,3.48723619480000E-01,4.37572847740000E-01,8.01805249090000E-01,7.76416021390000E-01,5.19278170960000E-01,5.32988711100000E-01,5.09256670110000E-01,2.00206572350000E-01,8.07129207740000E-02,7.12766996210000E-02,9.02181310450000E-02,8.62942872540000E-02,7.29646423850000E-02,5.01094426820000E-02,4.83623151100000E-02,4.10503981630000E-02,3.82808098550000E-02,5.75552247850000E-02,5.66038013530000E-02,3.89889699800000E-02,3.85682691560000E-02,1.09714388020000E-01,1.20476904480000E-01,8.00072200840000E-02,1.04079978290000E-01,1.41858679570000E-01,1.77346356980000E-01,1.68788635410000E-01,1.66142653930000E-01,2.52437261770000E-01,1.11370678740000E-01,1.36114387440000E-01,1.54751664800000E-01,,DEU,Germany,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
,,,,,,,,,,7.03698999250000E+07,1.52845898640000E+08,1.90062431560000E+08,2.84679368650000E+08,1.42021855920000E+09,2.15614326580000E+09,2.33927834890000E+09,2.42432191270000E+09,2.66159850850000E+09,2.98847886970000E+09,4.04392762160000E+09,6.23111823140000E+09,5.84848639400000E+09,3.89402071060000E+09,3.77520916190000E+09,3.64431150610000E+09,2.04130340150000E+09,1.01961616610000E+09,9.76731415030000E+08,1.23582806680000E+09,1.49687192700000E+09,1.32569488850000E+09,1.03765767890000E+09,9.71949226950000E+08,8.76535095780000E+08,9.57453890040000E+08,1.39360843090000E+09,1.21107618920000E+09,8.39721094920000E+08,8.12029307220000E+08,2.04778963750000E+09,2.24042840510000E+09,1.58382822950000E+09,2.50138489580000E+09,3.90068434170000E+09,4.96140614830000E+09,4.99930416170000E+09,5.61738073140000E+09,9.25414090780000E+09,3.76340167110000E+09,4.56101402510000E+09,5.67618359830000E+09,,DEU,Germany,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
,,,,,,,,,,3.09024723480000E-03,2.64337975760000E-03,2.68525801570000E-03,3.73401643750000E-03,4.75038244700000E-03,1.31534185390000E-03,1.45129734710000E-03,1.46210315890000E-03,1.15837817590000E-03,3.39777010930000E-03,8.84527388580000E-03,6.22519035850000E-03,2.79983405040000E-03,4.05432939200000E-03,7.99390324260000E-04,7.70282076010000E-04,1.91182005050000E-04,2.84733738550000E-04,3.83136883880000E-04,3.21408459070000E-04,1.72520139320000E-04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,3.80792794690000E-05,5.43423286810000E-05,8.41138259820000E-05,8.16513362820000E-05,6.91255718150000E-05,2.54000856600000E-05,3.82816124170000E-05,2.22722612130000E-04,3.42938583720000E-04,3.43135158970000E-04,7.50436304210000E-04,4.03489935470000E-04,7.53927008930000E-04,8.35993430300000E-04,,DEU,Germany,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
,,,,,,,,,,6.49330570410000E+06,6.42417325970000E+06,7.81918878590000E+06,1.44460103200000E+07,2.05431763990000E+07,6.27605752420000E+06,7.34179153770000E+06,8.53191512160000E+06,8.36503096750000E+06,2.91180855220000E+07,8.17455826430000E+07,4.83782030380000E+07,2.10902285610000E+07,3.04030546690000E+07,5.66215683970000E+06,5.51224558720000E+06,1.94928904000000E+06,3.59693491540000E+06,5.25026877970000E+06,4.40272470740000E+06,2.99255676820000E+06,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,8.20128725260000E+05,1.14414166040000E+06,1.56996201070000E+06,1.51841528390000E+06,1.36841439940000E+06,6.10447769760000E+05,1.05262847920000E+06,6.23084317050000E+06,1.01574035750000E+07,1.16016013030000E+07,2.75103732820000E+07,1.36346003690000E+07,2.52631020600000E+07,3.06636584720000E+07,,DEU,Germany,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
,,,,,,,,,,8.92701492938000E-02,1.13092201178600E-01,9.40696519547000E-02,1.22793833345500E-01,3.80217054376000E-01,4.73961032633900E-01,4.89042533203100E-01,4.39550093023900E-01,3.81961643174900E-01,3.58324250171000E-01,4.57719646580800E-01,8.09179504887300E-01,7.79215855440400E-01,5.23332500352000E-01,5.33788101424260E-01,5.10026952186010E-01,2.00397754355050E-01,8.09976545125500E-02,7.16598365048800E-02,9.05395395040700E-02,1.37292698979320E-01,7.29646423850000E-02,5.01094426820000E-02,4.83623151100000E-02,4.10503981630000E-02,3.82808098550000E-02,5.75552247850000E-02,5.66038013530000E-02,3.90270492594690E-02,3.86226114846810E-02,1.09798501845982E-01,1.20558555816282E-01,8.00763456558150E-02,1.04105378375660E-01,1.41896961182417E-01,1.77569079592130E-01,1.71996826124820E-01,1.84493584591970E-01,2.53187698074210E-01,1.11774168675470E-01,1.36868314448930E-01,1.55587658230300E-01,,DEU,Germany,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
,,,,,,,,,,5.26899666440000E-02,4.75567202640000E-02,2.61133432210000E-02,4.54756633290000E-02,4.70568299590000E-02,2.07592207300000E-02,2.51716146660000E-02,2.26351077950000E-02,1.22287029790000E-02,6.20286058170000E-03,1.13015249550000E-02,1.14906543880000E-03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,5.08258915860000E-02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.86525213110000E-03,1.80077955030000E-02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,DEU,Germany,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
,,,,,,,,,,1.10713491500000E+08,1.15576511380000E+08,7.60393076890000E+07,1.75934389350000E+08,2.03498722340000E+08,9.90511045310000E+07,1.27337618250000E+08,1.32084263210000E+08,8.83074985750000E+07,5.31570468540000E+07,1.04445577840000E+08,8.92980260860000E+06,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,8.81632524000000E+08,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,8.48651146940000E+07,6.08854144810000E+08,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,DEU,Germany,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
3.79798000000000E+01,4.01914000000000E+01,4.24030000000000E+01,4.37524000000000E+01,4.51018000000000E+01,4.64512000000000E+01,4.78006000000000E+01,4.91500000000000E+01,4.77760000000000E+01,4.64020000000000E+01,4.50280000000000E+01,4.36540000000000E+01,4.22800000000000E+01,3.97486000000000E+01,3.72172000000000E+01,3.46858000000000E+01,3.21544000000000E+01,2.96230000000000E+01,2.81902000000000E+01,2.67574000000000E+01,2.53246000000000E+01,2.38918000000000E+01,2.24590000000000E+01,2.13582000000000E+01,2.02574000000000E+01,1.91566000000000E+01,1.80558000000000E+01,1.69550000000000E+01,1.67456000000000E+01,1.65362000000000E+01,1.63268000000000E+01,1.61174000000000E+01,1.59080000000000E+01,1.53492000000000E+01,1.47904000000000E+01,1.42316000000000E+01,1.36728000000000E+01,1.31140000000000E+01,1.29652000000000E+01,1.28164000000000E+01,1.26676000000000E+01,1.25188000000000E+01,1.23700000000000E+01,1.18502000000000E+01,1.13304000000000E+01,1.08106000000000E+01,1.02908000000000E+01,9.77100000000000E+00,8.57580000000000E+00,7.38060000000000E+00,6.18540000000000E+00,4.99020000000000E+00,,DEU,Germany,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
4.82539509465282E+01,4.93925159106809E+01,5.07149276666831E+01,5.21277407268432E+01,5.35090742538288E+01,5.47629086079190E+01,5.58461136209822E+01,5.67529521234516E+01,5.74727832862976E+01,5.80098166640256E+01,5.83670922025062E+01,5.85323257305022E+01,5.84926942355343E+01,5.82534662769330E+01,5.78256712229751E+01,5.72200218511748E+01,5.64754758823161E+01,5.56037274636553E+01,5.45634298265960E+01,5.32977548485069E+01,5.17943923788727E+01,5.00263875655919E+01,4.80850286251553E+01,4.62069676533599E+01,4.46819595380184E+01,4.36923572992345E+01,4.33042562696437E+01,4.34331608630764E+01,4.39185804642657E+01,4.45220203333318E+01,4.50626896538139E+01,4.55028343588793E+01,4.58812315919154E+01,4.61849375714979E+01,4.64181741874960E+01,4.65898677154797E+01,4.66727189085307E+01,4.66673290112991E+01,4.66469947838011E+01,4.67130788345515E+01,4.69356722582907E+01,4.73413620240102E+01,4.79006456097352E+01,4.85581595118726E+01,4.92302270685411E+01,4.98526248732812E+01,5.04207574034929E+01,5.09476942047082E+01,5.14071104924670E+01,5.17693592436171E+01,5.20192492147473E+01,5.21323772983455E+01,5.21302966234481E+01,DEU,Germany,SP.POP.DPND,Age dependency ratio (% of working-age population)
1.69733479500050E+01,1.73866160963958E+01,1.78283412390286E+01,1.82906546685629E+01,1.87628463944249E+01,1.92357262121050E+01,1.97029778078148E+01,2.01615046737545E+01,2.06093026706409E+01,2.10463202096687E+01,2.14713853749432E+01,2.18761146350057E+01,2.22530468295415E+01,2.26023975873204E+01,2.29257280029843E+01,2.32193322623055E+01,2.35038848772453E+01,2.37683978973458E+01,2.39422127079696E+01,2.39326074442133E+01,2.36879704633718E+01,2.31743132565590E+01,2.24507848206065E+01,2.16678131845503E+01,2.10185335122873E+01,2.06294173460897E+01,2.05459670364765E+01,2.07187943810341E+01,2.10598060011164E+01,2.14345743821632E+01,2.17441217140046E+01,2.19699821052130E+01,2.21456610315840E+01,2.22860451003812E+01,2.24207162193833E+01,2.25751235068209E+01,2.27376941478844E+01,2.29078026901915E+01,2.31352175549451E+01,2.34851940361992E+01,2.39999233215318E+01,2.47004065399365E+01,2.55610197959527E+01,2.65186261000015E+01,2.74822453803036E+01,2.83818478614916E+01,2.92051152605710E+01,2.99621784320267E+01,3.06315464209289E+01,3.11919439220348E+01,3.16326562566326E+01,3.19307129789567E+01,3.21008668753072E+01,DEU,Germany,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
