1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,HKG,"Hong Kong SAR, China",NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,HKG,"Hong Kong SAR, China",NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
,,,,,,,,,,5.81673494410000E-03,5.01766892840000E-03,3.62451045690000E-03,2.05722562080000E-03,2.56138169400000E-03,3.76626903620000E-03,9.84709850910000E-04,6.89929418520000E-04,4.53564819520000E-04,3.98316403450000E-04,3.99658145000000E-04,3.72468637400000E-04,4.87168748420000E-04,4.34946862560000E-04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,HKG,"Hong Kong SAR, China",NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
,,,,,,,,,,2.20267227350000E+05,2.23622928530000E+05,2.05710590980000E+05,1.64234284700000E+05,2.39130498840000E+05,3.76054530360000E+05,1.26011859920000E+05,1.07716002490000E+05,8.25939818570000E+04,8.91046561090000E+04,1.13884219020000E+05,1.13787093670000E+05,1.54490414670000E+05,1.27321279020000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,HKG,"Hong Kong SAR, China",NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
,,,,,,,,,,5.81673494410000E-03,5.01766892840000E-03,3.62451045690000E-03,2.05722562080000E-03,2.56138169400000E-03,3.76626903620000E-03,9.84709850910000E-04,6.89929418520000E-04,4.53564819520000E-04,3.98316403450000E-04,3.99658145000000E-04,3.72468637400000E-04,4.87168748420000E-04,4.34946862560000E-04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,HKG,"Hong Kong SAR, China",NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,HKG,"Hong Kong SAR, China",NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,HKG,"Hong Kong SAR, China",NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
3.75876000000000E+01,3.84618000000000E+01,3.93360000000000E+01,3.68692000000000E+01,3.44024000000000E+01,3.19356000000000E+01,2.94688000000000E+01,2.70020000000000E+01,2.52022000000000E+01,2.34024000000000E+01,2.16026000000000E+01,1.98028000000000E+01,1.80030000000000E+01,1.74026000000000E+01,1.68022000000000E+01,1.62018000000000E+01,1.56014000000000E+01,1.50010000000000E+01,1.40004000000000E+01,1.29998000000000E+01,1.19992000000000E+01,1.09986000000000E+01,9.99800000000000E+00,9.19840000000000E+00,8.39880000000000E+00,7.59920000000000E+00,6.79960000000000E+00,6.00000000000000E+00,6.20020000000000E+00,6.40040000000000E+00,6.60060000000000E+00,6.80080000000000E+00,7.00100000000000E+00,6.60100000000000E+00,6.20100000000000E+00,5.80100000000000E+00,5.40100000000000E+00,5.00100000000000E+00,4.75080000000000E+00,4.50060000000000E+00,4.25040100000000E+00,4.00020100000000E+00,3.75000000000000E+00,3.61340000000000E+00,3.47680000000000E+00,3.34020000000000E+00,3.20360000000000E+00,3.06700000000000E+00,3.11100000000000E+00,3.15500000000000E+00,3.19900000000000E+00,3.24300000000000E+00,,HKG,"Hong Kong SAR, China",SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
7.76436272149633E+01,7.83134959828065E+01,7.79198310949028E+01,7.69030342491553E+01,7.57621544741149E+01,7.47666367782094E+01,7.39393005808173E+01,7.31357731903338E+01,7.22237578720405E+01,7.10304525577685E+01,6.94601907635974E+01,6.76053288104730E+01,6.55619686135416E+01,6.32920308090969E+01,6.07501882410641E+01,5.79730994253541E+01,5.49775898160245E+01,5.19436960918025E+01,4.91871594837590E+01,4.70014538709648E+01,4.55012726588106E+01,4.46730220212629E+01,4.43713712212567E+01,4.44033830880413E+01,4.45183057936349E+01,4.45375089610892E+01,4.44229122798899E+01,4.42196994812370E+01,4.39364799372212E+01,4.36005703617842E+01,4.32323982116931E+01,4.28129821374871E+01,4.23317433328407E+01,4.18274631172583E+01,4.13548579878702E+01,4.09498349050644E+01,4.06365773675019E+01,4.03928270063436E+01,4.01554260371252E+01,3.98403076738585E+01,3.93941231284257E+01,3.88087199830810E+01,3.81129265027701E+01,3.73392951951468E+01,3.65430736464008E+01,3.57776510525275E+01,3.50569825485874E+01,3.43972672029491E+01,3.38599573762583E+01,3.35136538983977E+01,3.34058638857493E+01,3.35555892770787E+01,3.39557254427511E+01,HKG,"Hong Kong SAR, China",SP.POP.DPND,Age dependency ratio (% of working-age population)
5.01329265925017E+00,5.13836081796260E+00,5.22445156169785E+00,5.29455578105406E+00,5.37845968401763E+00,5.49682204442115E+00,5.65126670384622E+00,5.83899601491109E+00,6.06745672804434E+00,6.33917081095365E+00,6.64783451554157E+00,6.99896886585474E+00,7.37983924039921E+00,7.74267458592100E+00,8.03134585477509E+00,8.21863976958720E+00,8.28881136976570E+00,8.27724311137207E+00,8.26299042391530E+00,8.33594440180751E+00,8.54604211935074E+00,8.90944954568934E+00,9.39736526100551E+00,9.95677880168288E+00,1.05070804593468E+01,1.09869315862945E+01,1.13812107669270E+01,1.17089172722312E+01,1.19824195296391E+01,1.22246629431369E+01,1.24548915517667E+01,1.26690518398584E+01,1.28656297104532E+01,1.30672131922720E+01,1.33005373493147E+01,1.35794980103117E+01,1.39074696338204E+01,1.42687346670254E+01,1.46375076615381E+01,1.49851362592696E+01,1.52967253782020E+01,1.55810513868325E+01,1.58488912993267E+01,1.60919070067751E+01,1.62975444081166E+01,1.64600237946512E+01,1.65725140637067E+01,1.66520418921285E+01,1.67459559734413E+01,1.69155133331832E+01,1.72050932539309E+01,1.76311541666523E+01,1.81858172245564E+01,HKG,"Hong Kong SAR, China",SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
