1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
,,,,,,,,,,2.73926795130000E-01,3.60721218630000E-01,3.61721262260000E-01,3.35339615100000E-01,1.06379203250000E+00,1.58073445290000E+00,1.64554278650000E+00,1.55302150180000E+00,1.44747746990000E+00,1.84865052940000E+00,1.86086277030000E+00,2.77399341980000E+00,2.97583471880000E+00,2.62005762190000E+00,2.88652851610000E+00,2.66955916680000E+00,1.60667318990000E+00,1.42529274370000E+00,1.37246260220000E+00,1.78372359680000E+00,1.95883941700000E+00,2.11095461040000E+00,1.84703628010000E+00,1.61207334930000E+00,1.44572654220000E+00,1.67455889160000E+00,1.68898118860000E+00,1.57374583190000E+00,1.10318293350000E+00,1.09583679870000E+00,1.71768858130000E+00,1.90980008270000E+00,1.54562271680000E+00,1.60491308630000E+00,2.50335137310000E+00,2.48484781520000E+00,2.48193503720000E+00,2.39765927120000E+00,4.48334920710000E+00,2.28309544410000E+00,2.59157112440000E+00,3.06099908650000E+00,,IND,India,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
,,,,,,,,,,1.71630611610000E+08,2.44763235360000E+08,2.63512975380000E+08,2.93036910610000E+08,1.07813865800000E+09,1.57394024880000E+09,1.70811609300000E+09,1.91038708150000E+09,2.01445958070000E+09,2.87387435230000E+09,3.53622043630000E+09,5.46277725930000E+09,6.05808210950000E+09,5.79490857880000E+09,6.19680719820000E+09,6.28471278640000E+09,4.04786528460000E+09,4.01800669550000E+09,4.09934354500000E+09,5.31182633790000E+09,6.31538290990000E+09,5.71503817100000E+09,5.33522451420000E+09,4.51932202440000E+09,4.75423709870000E+09,6.07144867810000E+09,6.69008665620000E+09,6.60354307530000E+09,4.69054064190000E+09,5.04943476170000E+09,8.06825209570000E+09,9.32308797900000E+09,8.02719998750000E+09,9.83917944600000E+09,1.79391540840000E+10,2.05823990720000E+10,2.33741735640000E+10,2.95776567400000E+10,5.45595307270000E+10,3.09898890990000E+10,4.38741038600000E+10,5.68368699740000E+10,,IND,India,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
,,,,,,,,,,1.43829412970000E-01,1.47613291620000E-01,1.35678626270000E-01,1.16369892580000E-01,1.47178042690000E-01,2.04840469620000E-01,2.94015444890000E-01,2.41355221560000E-01,1.61844335150000E-01,1.79656969670000E-01,1.81852828550000E-01,1.78408018490000E-01,2.16065942790000E-01,1.56832919150000E-01,1.58921853720000E-01,1.55845923750000E-01,1.48952649450000E-01,1.18684595180000E-01,1.58469809910000E-01,2.01330240270000E-01,1.90350134850000E-01,2.28109233420000E-01,1.91199379700000E-01,1.65424574230000E-01,1.19992499620000E-01,1.19355324410000E-01,1.30661432900000E-01,1.32614487650000E-01,2.20115587050000E-01,1.66408695050000E-01,1.92445825420000E-01,2.11795552080000E-01,2.09226308760000E-01,2.19524791080000E-01,2.86117572310000E-01,6.21321968970000E-01,8.58767924590000E-01,8.39542601390000E-01,1.45600146470000E+00,9.39681507770000E-01,1.16631290760000E+00,1.28465859490000E+00,,IND,India,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
,,,,,,,,,,9.01172523300000E+07,1.00161301780000E+08,9.88415175810000E+07,1.01689965260000E+08,1.49162930910000E+08,2.03960038400000E+08,3.05195657710000E+08,2.96893440810000E+08,2.25239341070000E+08,2.79291055370000E+08,3.45577169350000E+08,3.51335824850000E+08,4.39858172980000E+08,3.46874977490000E+08,3.41173863900000E+08,3.66894610110000E+08,3.75272496340000E+08,3.34580738030000E+08,4.73325969920000E+08,5.99549882500000E+08,6.13697058600000E+08,6.17565612140000E+08,5.52285641940000E+08,4.63754904210000E+08,3.94592460330000E+08,4.32746635680000E+08,5.17552424280000E+08,5.56459285750000E+08,9.35892929120000E+08,7.66783749580000E+08,9.03948161010000E+08,1.03392422250000E+09,1.08661797270000E+09,1.34583226390000E+09,2.05033431220000E+09,5.14651104140000E+09,8.08763735540000E+09,1.03566437400000E+10,1.77186190460000E+10,1.27548875760000E+10,1.97451396020000E+10,2.38536410680000E+10,,IND,India,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
,,,,,,,,,,1.76791846370000E+00,1.85429019415000E+00,1.90396738973000E+00,1.76406647148000E+00,2.69611788529000E+00,3.50793322712000E+00,3.61375266759000E+00,3.67899346396000E+00,3.47962777345000E+00,3.92664759567000E+00,3.76914487815000E+00,4.60570457929000E+00,4.75087653679000E+00,4.15957327855000E+00,4.50177197812000E+00,3.92744480225000E+00,3.09031638585000E+00,3.01239108948000E+00,2.90752850161000E+00,3.24338221177000E+00,3.46140896495000E+00,3.99438514742000E+00,3.59873004090000E+00,3.26872534953000E+00,2.78862608062000E+00,3.04397905061000E+00,2.83117512980000E+00,2.70272918084000E+00,2.27240502875000E+00,2.12542783601000E+00,2.73928339956000E+00,2.87957520308000E+00,2.61366536433000E+00,2.53275159977000E+00,3.41504805867000E+00,3.67190941128000E+00,3.94151618069000E+00,4.08493894486000E+00,6.71752234027000E+00,4.10756961306000E+00,4.32327440304000E+00,4.88232198243000E+00,,IND,India,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
,,,,,,,,,,1.35016225560000E+00,1.34595568390000E+00,1.40656750120000E+00,1.31235696380000E+00,1.48514781010000E+00,1.72235830460000E+00,1.67419443620000E+00,1.88461674060000E+00,1.87030596840000E+00,1.89834009660000E+00,1.72642927930000E+00,1.65330314100000E+00,1.55897587520000E+00,1.38268273750000E+00,1.45632160830000E+00,1.10203971170000E+00,1.33469054650000E+00,1.46841375060000E+00,1.37659608950000E+00,1.25832837470000E+00,1.31221941310000E+00,1.65532130360000E+00,1.56049438110000E+00,1.49122742600000E+00,1.22290703880000E+00,1.25006483460000E+00,1.01153250830000E+00,9.96368861290000E-01,9.49106508200000E-01,8.63182342260000E-01,8.29148992840000E-01,7.57979568300000E-01,8.58816338770000E-01,7.08313722390000E-01,6.25579113260000E-01,5.65739627110000E-01,6.00813218900000E-01,8.47737072270000E-01,7.78171668470000E-01,8.84792661190000E-01,5.65390371040000E-01,5.36664301030000E-01,,IND,India,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
,,,,,,,,,,8.45952925490000E+08,9.13282753670000E+08,1.02468067540000E+09,1.14680465100000E+09,1.50517696890000E+09,1.71495538250000E+09,1.73785724860000E+09,2.31828565840000E+09,2.60291151710000E+09,2.95112073860000E+09,3.28075481810000E+09,3.25582127820000E+09,3.17369906290000E+09,3.05814650420000E+09,3.12643515380000E+09,2.59443699670000E+09,3.36263003750000E+09,4.13956803450000E+09,4.11168966260000E+09,3.74722956750000E+09,4.23065208070000E+09,4.48149116450000E+09,4.50753889680000E+09,4.18053989450000E+09,4.02150050010000E+09,4.53236044750000E+09,4.00669953090000E+09,4.18083057690000E+09,4.03543466370000E+09,3.97740149800000E+09,3.89464258660000E+09,3.70023557200000E+09,4.46026732720000E+09,4.34243192230000E+09,4.48293444740000E+09,4.68611345310000E+09,5.65829171500000E+09,1.04577311840000E+10,9.46985815640000E+09,1.20098467700000E+10,9.57179821390000E+09,9.96482463260000E+09,,IND,India,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
1.11335000000000E+02,1.11239000000000E+02,1.11143000000000E+02,1.11725800000000E+02,1.12308600000000E+02,1.12891400000000E+02,1.13474200000000E+02,1.14057000000000E+02,1.14184000000000E+02,1.14311000000000E+02,1.14438000000000E+02,1.14565000000000E+02,1.14692000000000E+02,1.14759800000000E+02,1.14827600000000E+02,1.14895400000000E+02,1.14963200000000E+02,1.15031000000000E+02,1.14681400000000E+02,1.14331800000000E+02,1.13982200000000E+02,1.13632600000000E+02,1.13283000000000E+02,1.13213000000000E+02,1.13143000000000E+02,1.13073000000000E+02,1.13003000000000E+02,1.12933000000000E+02,1.11164600000000E+02,1.09396200000000E+02,1.07627800000000E+02,1.05859400000000E+02,1.04091000000000E+02,1.01034800000000E+02,9.79786000000000E+01,9.49224000000000E+01,9.18662000000000E+01,8.88100000000000E+01,8.54928000000000E+01,8.21756000000000E+01,7.88584000000000E+01,7.55412000000000E+01,7.22240000000000E+01,6.78926000000000E+01,6.35612000000000E+01,5.92298000000000E+01,5.48984000000000E+01,5.05670000000000E+01,4.70134000000000E+01,4.34598000000000E+01,3.99062000000000E+01,3.63526000000000E+01,,IND,India,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
7.65362677028547E+01,7.76328898440107E+01,7.87715252761713E+01,7.98364801206685E+01,8.06789730486138E+01,8.12014247742136E+01,8.13759044094276E+01,8.12529592997412E+01,8.09129315267344E+01,8.04645173618547E+01,7.99857087802355E+01,7.94924753855514E+01,7.89759135337086E+01,7.84532953756564E+01,7.79380172004125E+01,7.74386951876024E+01,7.69663472547345E+01,7.65218069695357E+01,7.60909192203456E+01,7.56539658535340E+01,7.51988040695173E+01,7.47181825840475E+01,7.42190567511879E+01,7.37191818663109E+01,7.32412271449674E+01,7.27962840962415E+01,7.23883302169229E+01,7.20011529229252E+01,7.16021224882936E+01,7.11507721482260E+01,7.06215309062454E+01,7.00100475384006E+01,6.93289726654224E+01,6.85922482449831E+01,6.78191557636139E+01,6.70240435384906E+01,6.62102719665550E+01,6.53776287301743E+01,6.45318572409481E+01,6.36786003264155E+01,6.28223322380748E+01,6.19686746711031E+01,6.11197691881050E+01,6.02726732173621E+01,5.94224388000577E+01,5.85673497790259E+01,5.77089486820248E+01,5.68540473667574E+01,5.60126302599898E+01,5.51970168099714E+01,5.44166970716174E+01,5.36747279985986E+01,5.29719308307101E+01,IND,India,SP.POP.DPND,Age dependency ratio (% of working-age population)
5.39362798246382E+00,5.45804086591969E+00,5.55384450088188E+00,5.66370225820513E+00,5.76386102749726E+00,5.83840879452912E+00,5.88243512904311E+00,5.90321397583234E+00,5.91190323590013E+00,5.92379337107650E+00,5.94874876344963E+00,5.98840290494829E+00,6.03797798467347E+00,6.09280016885207E+00,6.14643731289862E+00,6.19462824982018E+00,6.23700104676824E+00,6.27525796073349E+00,6.30999504260637E+00,6.34222421410722E+00,6.37271507022916E+00,6.40160931693458E+00,6.42888682540160E+00,6.45497336300135E+00,6.48034126362129E+00,6.50542745333322E+00,6.53077285925491E+00,6.55670987822972E+00,6.58325138705343E+00,6.61030175260049E+00,6.63799998737314E+00,6.66633675056054E+00,6.69599971423669E+00,6.72856509375687E+00,6.76592005761613E+00,6.80925264922186E+00,6.85856963704083E+00,6.91323885322011E+00,6.97287798316922E+00,7.03691506818558E+00,7.10472150222581E+00,7.17651646990045E+00,7.25177967210101E+00,7.32842468320432E+00,7.40393673870852E+00,7.47682120567294E+00,7.54863415451753E+00,7.62073505348388E+00,7.69177584230003E+00,7.76004043799301E+00,7.82565557766598E+00,7.88679857885584E+00,7.94744308981091E+00,IND,India,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
