1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
,,,,,,,,,,1.98080469020000E+00,2.95760330120000E+00,3.35425990530000E+00,4.56762594720000E+00,1.25307462780000E+01,9.39591844260000E+00,9.74897339430000E+00,1.02452917810000E+01,9.27287618070000E+00,2.24962244260000E+01,1.87832049780000E+01,1.52708260970000E+01,1.06505854810000E+01,1.07798318340000E+01,1.22114055950000E+01,9.79049197090000E+00,5.53256951470000E+00,7.28859352630000E+00,4.45640251790000E+00,5.81512207120000E+00,7.94920446040000E+00,7.08816313740000E+00,5.81042259980000E+00,4.49148162570000E+00,3.87397668050000E+00,3.74895262650000E+00,4.45643595170000E+00,4.30302373580000E+00,5.39506163500000E+00,4.48983391770000E+00,8.76973981240000E+00,7.83639979190000E+00,5.43774136520000E+00,5.66333288780000E+00,7.42109970890000E+00,9.64119940940000E+00,8.12749111090000E+00,7.64959423990000E+00,1.11809829180000E+01,4.99707772020000E+00,5.42784333960000E+00,6.15179804160000E+00,,IDN,Indonesia,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
,,,,,,,,,,1.92095722510000E+08,2.91511325060000E+08,3.84377151350000E+08,7.70685093330000E+08,3.31663175090000E+09,2.94416008430000E+09,3.78725309440000E+09,4.87547531140000E+09,4.93806609960000E+09,1.18645504950000E+10,1.40510203600000E+10,1.36562406570000E+10,9.59886044100000E+09,8.82614580840000E+09,1.00744039720000E+10,8.10423349470000E+09,4.20498746840000E+09,5.24081738650000E+09,3.77375913620000E+09,5.63449760220000E+09,8.68122729540000E+09,7.87023715640000E+09,7.08263159280000E+09,6.82671387290000E+09,6.66901859920000E+09,7.35498929080000E+09,9.86104282020000E+09,9.01225157230000E+09,4.85898109070000E+09,5.80705008820000E+09,1.31824482040000E+10,1.12383379430000E+10,9.37345665750000E+09,1.27847955040000E+10,1.81854960810000E+10,2.62199965740000E+10,2.83680183280000E+10,3.17030827640000E+10,5.50229154280000E+10,2.60195052010000E+10,3.73500333100000E+10,5.06105711180000E+10,,IDN,Indonesia,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
,,,,,,,,,,1.61978586860000E-01,1.94073756660000E-01,1.89168318400000E-01,3.59280811830000E-01,4.93815265060000E-01,2.32200858580000E-01,2.24207314580000E-01,2.68186920210000E-01,2.69647183370000E-01,4.28282568110000E-01,3.51733647300000E-01,2.10619196760000E-01,1.45265192380000E-01,1.67837258220000E-01,1.72460391670000E-01,1.66275549280000E-01,1.25589974490000E-01,1.95876956870000E-01,6.40400867580000E-01,6.35034420910000E-01,4.37984233070000E-01,4.49177668430000E-01,4.86086050860000E-01,3.20540007670000E-01,3.78311889130000E-01,5.62933166220000E-01,4.97154949250000E-01,4.72582493040000E-01,1.08118696030000E+00,7.58154479570000E-01,1.09102635040000E+00,9.70652270150000E-01,9.41873270270000E-01,8.87773331830000E-01,1.04111305400000E+00,1.43827505320000E+00,1.76643798530000E+00,2.40684781790000E+00,1.18156545470000E+00,1.20838620370000E+00,1.31926457870000E+00,1.09013894850000E+00,,IDN,Indonesia,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
,,,,,,,,,,1.57084612260000E+07,1.91285619480000E+07,2.16775030570000E+07,6.06206307620000E+07,1.30702781050000E+08,7.27588796720000E+07,8.70994115570000E+07,1.27623374350000E+08,1.43594672150000E+08,2.25877020920000E+08,2.63118921670000E+08,1.88350415340000E+08,1.30920531190000E+08,1.37419222860000E+08,1.42279743430000E+08,1.37637197380000E+08,9.54537069080000E+07,1.40844095290000E+08,5.42302589390000E+08,6.15309511670000E+08,4.78317131990000E+08,4.98737784020000E+08,5.92516010930000E+08,4.87196675730000E+08,6.51260767150000E+08,1.10440643600000E+09,1.10008677250000E+09,9.89776626270000E+08,9.73754768930000E+08,9.80579931930000E+08,1.64000285760000E+09,1.39203186760000E+09,1.62358002760000E+09,2.00412031680000E+09,2.55126033960000E+09,3.91150160550000E+09,6.16553675170000E+09,9.97497294330000E+09,5.81462082210000E+09,6.29199961900000E+09,9.07811314300000E+09,8.96852504090000E+09,,IDN,Indonesia,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
,,,,,,,,,,2.14278327706000E+00,3.15167705786000E+00,3.64067206002800E+00,5.37058237069000E+00,1.32299329759400E+01,9.62811930118000E+00,1.01137187033500E+01,1.05639991426140E+01,9.64902182432000E+00,2.29708304694220E+01,1.91848266687200E+01,1.54814452937600E+01,1.07958506733800E+01,1.09476690922200E+01,1.23838659866700E+01,9.95676752018000E+00,5.65815948919000E+00,7.48447048317000E+00,5.09680338548000E+00,6.45015649211000E+00,8.38718869347000E+00,7.53734080583000E+00,6.29650865066000E+00,4.81202163337000E+00,4.25228856963000E+00,4.31188579272000E+00,4.95359090095000E+00,4.77560622884000E+00,6.47624859530000E+00,5.24798839727000E+00,9.86076616280000E+00,8.80705206205000E+00,6.37961463547000E+00,6.55110621963000E+00,8.46221276290000E+00,1.10794744626000E+01,9.89392909620000E+00,1.00564420578000E+01,1.23625483727000E+01,6.20546392390000E+00,6.74710791830000E+00,7.24193699010000E+00,,IDN,Indonesia,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,9.72438363280000E-02,4.43675611660000E-01,2.05371432880000E-01,0.00000000000000E+00,1.40537994470000E-01,5.05204414040000E-02,1.06498460250000E-01,4.63234753120000E-02,4.98880434200000E-02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,IDN,Indonesia,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,1.11435338490000E+07,7.48603725730000E+07,5.43576096680000E+07,0.00000000000000E+00,5.45957951560000E+07,2.40414006790000E+07,5.67134108130000E+07,2.44310868140000E+07,3.73193986130000E+07,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,IDN,Indonesia,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
1.43851800000000E+02,1.45632400000000E+02,1.47413000000000E+02,1.48725800000000E+02,1.50038600000000E+02,1.51351400000000E+02,1.52664200000000E+02,1.53977000000000E+02,1.49071000000000E+02,1.44165000000000E+02,1.39259000000000E+02,1.34353000000000E+02,1.29447000000000E+02,1.27005200000000E+02,1.24563400000000E+02,1.22121600000000E+02,1.19679800000000E+02,1.17238000000000E+02,1.13043600000000E+02,1.08849200000000E+02,1.04654800000000E+02,1.00460400000000E+02,9.62660000000000E+01,9.15988000000000E+01,8.69316000000000E+01,8.22644000000000E+01,7.75972100000000E+01,7.29300000000000E+01,7.09660000000000E+01,6.90020100000000E+01,6.70380100000000E+01,6.50740100000000E+01,6.31100000000000E+01,6.00576000000000E+01,5.70052000000000E+01,5.39528000000000E+01,5.09004000000000E+01,4.78480000000000E+01,4.84764000000000E+01,4.91048000000000E+01,4.97332000000000E+01,5.03616000000000E+01,5.09900000000000E+01,5.10930000000000E+01,5.11960000000000E+01,5.12990000000000E+01,5.14020000000000E+01,5.15050000000000E+01,5.08696000000000E+01,5.02342000000000E+01,4.95988000000000E+01,4.89634000000000E+01,,IDN,Indonesia,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
7.67755113845297E+01,7.80493525518285E+01,7.94396938441707E+01,8.08704432403620E+01,8.22494160967839E+01,8.35028832802540E+01,8.46039292487761E+01,8.55406518319929E+01,8.62780719461279E+01,8.67851324042245E+01,8.70463949880838E+01,8.70512193143173E+01,8.68163977525076E+01,8.63889892707448E+01,8.58287690290108E+01,8.51779489407175E+01,8.44520132503118E+01,8.36471599645770E+01,8.27613235659932E+01,8.17875602386600E+01,8.07248144400053E+01,7.95861776453772E+01,7.83858940716684E+01,7.71270658512215E+01,7.58110913916658E+01,7.44430512747877E+01,7.30254112095970E+01,7.15718854555545E+01,7.01100010356734E+01,6.86713905120669E+01,6.72758059700483E+01,6.59481102752498E+01,6.46827138874709E+01,6.34374410241675E+01,6.21584419146504E+01,6.08227062562353E+01,5.94147574921633E+01,5.79806882788479E+01,5.66264311048394E+01,5.54803789525927E+01,5.46185563316315E+01,5.40468532939691E+01,5.37149536258677E+01,5.35679315685846E+01,5.35307431034335E+01,5.35425384351270E+01,5.36008909348382E+01,5.36963671538744E+01,5.37570363856774E+01,5.36978667080993E+01,5.34652209656955E+01,5.30373740251416E+01,5.24429439485599E+01,IDN,Indonesia,SP.POP.DPND,Age dependency ratio (% of working-age population)
6.36136303144547E+00,6.31346443200279E+00,6.26682563682696E+00,6.22488566918560E+00,6.19213500878245E+00,6.17154879629433E+00,6.16330934284147E+00,6.16594697683913E+00,6.17847644492993E+00,6.19938106905244E+00,6.22703384871507E+00,6.26027458449097E+00,6.29764987219013E+00,6.33687168265864E+00,6.37547184858312E+00,6.41138452984527E+00,6.44507223556811E+00,6.47565158754574E+00,6.49883673919283E+00,6.50964567501105E+00,6.50572517465697E+00,6.48743176305728E+00,6.45842077606684E+00,6.42388402496228E+00,6.39015118489928E+00,6.36199605083565E+00,6.34006982360508E+00,6.32489220470503E+00,6.32029568085271E+00,6.33041993993064E+00,6.35761148487139E+00,6.40134921782937E+00,6.45976363422199E+00,6.53161612750195E+00,6.61513778555601E+00,6.70804768730861E+00,6.81027792925009E+00,6.91923138810444E+00,7.02764652748591E+00,7.12717127408815E+00,7.21271566876486E+00,7.28375357580231E+00,7.34284727414907E+00,7.39232350706464E+00,7.43550009411769E+00,7.47529703824517E+00,7.51351707033306E+00,7.55159294407599E+00,7.59176246959102E+00,7.63636856670457E+00,7.68796728490493E+00,7.74771431123430E+00,7.81836575676818E+00,IDN,Indonesia,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
