1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
,,,,,,,,,,8.60955420000000E-03,1.10820529990000E-02,9.03593305420000E-03,9.02447641600000E-03,2.95435395550000E-02,3.70597081600000E-02,3.65438370220000E-02,3.30693409950000E-02,2.37970932910000E-02,2.43435150920000E-02,3.15696461640000E-02,4.03108639590000E-02,3.92511097350000E-02,2.42116749400000E-02,2.17922451270000E-02,2.11971475220000E-02,8.95490560270000E-03,4.70750299680000E-03,3.29947600740000E-03,3.19816726130000E-03,4.28826097110000E-03,4.31191654810000E-03,3.63420667280000E-03,3.48827748350000E-03,2.87452631710000E-03,2.68130043540000E-03,3.96891198470000E-03,4.08354949130000E-03,3.33311027800000E-03,2.66121139130000E-03,5.99120879820000E-03,6.33308555650000E-03,5.34119881570000E-03,8.19283507270000E-03,8.69758720110000E-03,1.48074387240000E-02,1.65751518940000E-02,1.83349763920000E-02,2.37200516840000E-02,1.01827196630000E-02,8.57214768350000E-03,9.00006575460000E-03,,JPN,Japan,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
,,,,,,,,,,1.79755967830000E+07,2.61557045830000E+07,2.82828321060000E+07,3.83813777910000E+07,1.39192203620000E+08,1.90011365340000E+08,2.10607327900000E+08,2.34662097880000E+08,2.37462349810000E+08,2.53066487360000E+08,3.43315016800000E+08,4.83800493340000E+08,4.38835221510000E+08,2.95493243290000E+08,2.82870801540000E+08,2.94769538090000E+08,1.84425486760000E+08,1.17724592960000E+08,1.00135638690000E+08,9.71946529770000E+07,1.34015585300000E+08,1.53602227140000E+08,1.41272834120000E+08,1.55433314440000E+08,1.40604718040000E+08,1.44465757890000E+08,1.89159251630000E+08,1.79064985930000E+08,1.32358465920000E+08,1.19589213080000E+08,2.87623315610000E+08,2.67819300000000E+08,2.16049038490000E+08,3.58371404670000E+08,4.12488296320000E+08,6.92711189740000E+08,7.42661838440000E+08,8.25509602370000E+08,1.18812607260000E+09,5.26457688150000E+08,4.82444729380000E+08,5.43747300530000E+08,,JPN,Japan,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
,,,,,,,,,,4.10924630820000E-02,2.45104748930000E-02,1.61501826620000E-02,3.32627132880000E-02,3.92725024860000E-02,9.81233570560000E-03,9.17272717900000E-03,6.15706065360000E-03,3.73205893790000E-03,7.00766059950000E-03,1.00660946800000E-02,3.93666204780000E-03,2.66588322810000E-03,2.63976232940000E-03,1.76191968560000E-03,1.73738583710000E-03,1.39599169030000E-03,1.54437257910000E-03,4.26206455150000E-03,4.35945061620000E-03,1.85841525990000E-03,4.54226927460000E-04,3.07831922480000E-04,2.48127036970000E-04,3.52793726450000E-04,1.77753790110000E-04,2.37157021400000E-04,7.90876811940000E-05,6.38569871560000E-06,4.63313195280000E-06,9.22320395660000E-06,4.52751934460000E-06,1.59790541790000E-04,2.90593161330000E-04,3.74915248530000E-04,4.83075840170000E-04,1.32855091870000E-03,1.38534057520000E-03,1.42484909970000E-03,2.00155900200000E-03,2.59041575010000E-03,3.09702322920000E-03,,JPN,Japan,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
,,,,,,,,,,8.57955627000000E+07,5.78492758130000E+07,5.05507181130000E+07,1.41467350150000E+08,1.85029493590000E+08,5.03094977580000E+07,5.28637307450000E+07,4.36908848590000E+07,3.72408291280000E+07,7.28491364480000E+07,1.09467221960000E+08,4.72467928930000E+07,2.98051052530000E+07,3.22171817590000E+07,2.28703206490000E+07,2.41602517580000E+07,2.87503250650000E+07,3.86214588460000E+07,1.29349192130000E+08,1.32486907400000E+08,5.80786968100000E+07,1.61808019480000E+07,1.19663772690000E+07,1.10562327520000E+07,1.72565692440000E+07,9.57719458320000E+06,1.13029578030000E+07,3.46802078700000E+06,2.53577354290000E+05,2.08203153710000E+05,4.42783516970000E+05,1.91463868730000E+05,6.46345401170000E+06,1.27111407090000E+07,1.77805808160000E+07,2.25989143840000E+07,5.95266984010000E+07,6.23732435150000E+07,7.13700116430000E+07,1.03482778650000E+08,1.45789885060000E+08,1.87109524140000E+08,,JPN,Japan,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
,,,,,,,,,,4.97020172820000E-02,3.55925278920000E-02,2.51861157162000E-02,4.22871897040000E-02,6.88160420410000E-02,4.68720438656000E-02,4.57165642010000E-02,3.92264016486000E-02,2.75291522289000E-02,3.13511756915000E-02,4.16357408440000E-02,4.42475260068000E-02,4.19169929631000E-02,2.68514372694000E-02,2.35541648126000E-02,2.29345333591000E-02,1.03508972930000E-02,6.25187557590000E-03,7.56154055890000E-03,7.55761787750000E-03,6.14667623100000E-03,4.76614347556000E-03,3.94203859528000E-03,3.73640452047000E-03,3.22732004355000E-03,2.85905422551000E-03,4.20606900610000E-03,4.16263717249400E-03,3.33949597671560E-03,2.66584452325280E-03,6.00043200215660E-03,6.33761307584460E-03,5.50098935749000E-03,8.48342823403000E-03,9.07250244963000E-03,1.52905145641700E-02,1.79037028127000E-02,1.97203169672000E-02,2.51449007837000E-02,1.21842786650000E-02,1.11625634336000E-02,1.20970889838000E-02,,JPN,Japan,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,JPN,Japan,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,JPN,Japan,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
4.12020100000000E+00,3.96060100000000E+00,3.80100000000000E+00,3.80120000000000E+00,3.80140000000000E+00,3.80160000000000E+00,3.80180000000000E+00,3.80200000000000E+00,4.00180000000000E+00,4.20160000000000E+00,4.40140000000000E+00,4.60120000000000E+00,4.80100000000000E+00,4.60100000000000E+00,4.40100000000000E+00,4.20100000000000E+00,4.00100000000000E+00,3.80100000000000E+00,3.88100000000000E+00,3.96100000000000E+00,4.04100000000000E+00,4.12100000000000E+00,4.20100000000000E+00,4.16080000000000E+00,4.12060000000000E+00,4.08040000000000E+00,4.04019900000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.00000000000000E+00,4.08000000000000E+00,4.16000000000000E+00,4.24000000000000E+00,4.32000000000000E+00,4.40000000000000E+00,4.67980000000000E+00,4.95960000000000E+00,5.23940000000000E+00,5.51920000000000E+00,5.79900000000000E+00,5.66420000000000E+00,5.52940000000000E+00,5.39460000000000E+00,5.25980000000000E+00,5.12500000000000E+00,5.18240000000000E+00,5.23980000000000E+00,5.29720100000000E+00,5.35460100000000E+00,,JPN,Japan,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
5.59701182615530E+01,5.40543113981763E+01,5.20607663573911E+01,5.01411231431674E+01,4.84700424594973E+01,4.71553059867620E+01,4.62094653323625E+01,4.55866546158996E+01,4.52530376671391E+01,4.51567339591356E+01,4.52513537525076E+01,4.55317927761950E+01,4.59796174606194E+01,4.65195105404237E+01,4.70591816119022E+01,4.75292956318287E+01,4.79030100798643E+01,4.81799242730426E+01,4.83520085335910E+01,4.84197618684458E+01,4.83844629452059E+01,4.82513532380952E+01,4.80199387963193E+01,4.76833382796974E+01,4.72333978258271E+01,4.66746654633268E+01,4.60022157868015E+01,4.52480190908413E+01,4.44964682853436E+01,4.38540880682613E+01,4.33952636525642E+01,4.31457108708264E+01,4.30876443463395E+01,4.31962196970409E+01,4.34287292541994E+01,4.37525739236352E+01,4.41694669858945E+01,4.46876890393599E+01,4.52876037210441E+01,4.59438673054532E+01,4.66376938483926E+01,4.73565670367707E+01,4.81037261635970E+01,4.88957422510530E+01,4.97597562016469E+01,5.07165553644078E+01,5.17637621878380E+01,5.28932198773327E+01,5.41134914445213E+01,5.54347493526911E+01,5.68592939656468E+01,5.83961328102365E+01,6.00285726058883E+01,JPN,Japan,SP.POP.DPND,Age dependency ratio (% of working-age population)
8.93072376432128E+00,8.96842745700365E+00,9.00597229930651E+00,9.05436347068473E+00,9.12709423167498E+00,9.23303102979526E+00,9.37528166116953E+00,9.55066703706077E+00,9.75390045060225E+00,9.97706606806346E+00,1.02145328146461E+01,1.04640516311870E+01,1.07272871906542E+01,1.10068543523075E+01,1.13066089849357E+01,1.16281200640713E+01,1.19744315745477E+01,1.23416985069069E+01,1.27164565677163E+01,1.30806663308108E+01,1.34225094444073E+01,1.37384290324358E+01,1.40357046503436E+01,1.43269604108344E+01,1.46299625221627E+01,1.49588067800328E+01,1.53151893232314E+01,1.56994800982667E+01,1.61225844310871E+01,1.65974424501904E+01,1.71331185372879E+01,1.77341800574539E+01,1.83982769048041E+01,1.91188773268348E+01,1.98857117970217E+01,2.06905526597220E+01,2.15362747803641E+01,2.24239744407747E+01,2.33406988419068E+01,2.42681149633108E+01,2.51929016446061E+01,2.61061495216297E+01,2.70130617872469E+01,2.79318876266083E+01,2.88908720839026E+01,2.99123713906683E+01,3.09969101198727E+01,3.21394110195293E+01,3.33504205398746E+01,3.46418888775308E+01,3.60182665822884E+01,3.74899599085166E+01,3.90432892835177E+01,JPN,Japan,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
