1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,6.57634220300000E-02,5.98860850060000E-02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.26435500550000E-02,9.87776769680000E-03,7.12738988370000E-03,7.14000042450000E-03,8.43082183260000E-03,7.63818504700000E-03,6.38097765230000E-03,,KOR,"Korea, Rep.",NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.23481042570000E+08,2.63637051730000E+08,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.06720194620000E+08,9.41578065620000E+07,7.49212577360000E+07,6.69986334110000E+07,7.06315136500000E+07,7.76168462780000E+07,7.14218524600000E+07,,KOR,"Korea, Rep.",NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
,,,,,,,,,,3.03910524380000E-02,2.06743712400000E-02,2.06447680600000E-02,1.08622317740000E-01,1.19074673750000E-01,2.63889438500000E-02,2.15982456180000E-02,1.62641519890000E-02,9.14217162650000E-03,1.34475536530000E-02,3.05349604470000E-02,1.44195504420000E-02,1.44145971750000E-02,1.64898306930000E-02,1.28144164470000E-02,1.11097756210000E-02,1.10107518110000E-02,1.79403838330000E-02,4.33769837130000E-02,3.72343264660000E-02,1.63325469110000E-02,6.98074481940000E-04,5.06268841970000E-04,3.24993861030000E-04,6.11052291480000E-04,2.19436083110000E-03,3.24702453520000E-03,1.29275459140000E-03,9.73381892720000E-04,5.13799158270000E-04,3.88317310930000E-04,2.68889383590000E-04,3.73243800400000E-03,6.83864302020000E-03,3.62666513550000E-04,1.36163698450000E-03,1.94528297550000E-03,3.31162932110000E-03,4.34698863380000E-03,6.89410172570000E-03,7.74320103580000E-03,1.01118591750000E-02,,KOR,"Korea, Rep.",NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
,,,,,,,,,,2.74043995520000E+06,2.04575925820000E+06,2.21670234770000E+06,1.48420321980000E+07,2.28775753390000E+07,5.60361589480000E+06,6.33730011000000E+06,6.12560385570000E+06,4.65903199320000E+06,8.75405180180000E+06,1.91614253790000E+07,1.00566534700000E+07,1.07357083690000E+07,1.36683956850000E+07,1.16857181690000E+07,1.04752815510000E+07,1.19935436990000E+07,2.47896902980000E+07,8.07556600420000E+07,8.56299675210000E+07,4.30512930710000E+07,2.14805042850000E+06,1.66740046810000E+06,1.17453940180000E+06,2.58082492820000E+06,1.13082062400000E+07,1.80365926350000E+07,6.63788693810000E+06,3.30780232370000E+06,2.26190266500000E+06,2.06065688750000E+06,1.35361942860000E+06,2.15098353510000E+07,4.40623570270000E+07,2.62606976990000E+06,1.14931457830000E+07,1.85430133340000E+07,3.48109810100000E+07,4.07902353780000E+07,5.77572210420000E+07,7.86839858950000E+07,1.13181357690000E+08,,KOR,"Korea, Rep.",NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
,,,,,,,,,,3.03910524380000E-02,2.06743712400000E-02,2.06447680600000E-02,1.08622317740000E-01,1.19074673750000E-01,2.63889438500000E-02,2.15982456180000E-02,1.62641519890000E-02,9.14217162650000E-03,1.34475536530000E-02,3.05349604470000E-02,1.44195504420000E-02,1.44145971750000E-02,1.64898306930000E-02,1.28144164470000E-02,1.11097756210000E-02,1.10107518110000E-02,1.79403838330000E-02,4.33769837130000E-02,3.72343264660000E-02,1.63325469110000E-02,6.98074481940000E-04,5.06268841970000E-04,3.24993861030000E-04,6.11052291480000E-04,2.19436083110000E-03,3.24702453520000E-03,1.29275459140000E-03,6.67368039227200E-02,6.03998841642700E-02,3.88317310930000E-04,2.68889383590000E-04,3.73243800400000E-03,6.83864302020000E-03,3.62666513550000E-04,1.40051870395000E-02,1.18230506723000E-02,1.04390192048000E-02,1.14869890583000E-02,1.53249235583000E-02,1.53813860828000E-02,1.64928368273000E-02,,KOR,"Korea, Rep.",NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,KOR,"Korea, Rep.",NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,KOR,"Korea, Rep.",NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
3.25838100000000E+01,3.10934000000000E+01,2.96030000000000E+01,2.75768000000000E+01,2.55506000000000E+01,2.35244000000000E+01,2.14982000000000E+01,1.94720000000000E+01,1.83294000000000E+01,1.71868000000000E+01,1.60442000000000E+01,1.49016000000000E+01,1.37590000000000E+01,1.39578000000000E+01,1.41566000000000E+01,1.43554000000000E+01,1.45542000000000E+01,1.47530000000000E+01,1.42606000000000E+01,1.37682000000000E+01,1.32758000000000E+01,1.27834000000000E+01,1.22910000000000E+01,1.11392000000000E+01,9.98740000000000E+00,8.83560000000000E+00,7.68380000000000E+00,6.53200000000000E+00,6.05740000000000E+00,5.58280000000000E+00,5.10820100000000E+00,4.63360100000000E+00,4.15900000000000E+00,3.91760000000000E+00,3.67620000000000E+00,3.43480000000000E+00,3.19340000000000E+00,2.95200000000000E+00,2.80140000000000E+00,2.65080000000000E+00,2.50020000000000E+00,2.34960000000000E+00,2.19900000000000E+00,2.17780000000000E+00,2.15660000000000E+00,2.13540000000000E+00,2.11420000000000E+00,2.09300000000000E+00,2.12280000000000E+00,2.15260000000000E+00,2.18240000000000E+00,2.21220000000000E+00,,KOR,"Korea, Rep.",SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
8.06653508830268E+01,8.19648513150497E+01,8.33828531761081E+01,8.47533654390324E+01,8.58656977369526E+01,8.65617119740061E+01,8.68130588618859E+01,8.66393150539122E+01,8.60042889460834E+01,8.48872896008015E+01,8.33078048152003E+01,8.12843784307115E+01,7.89077293794153E+01,7.63479910869400E+01,7.37864822434730E+01,7.13340104062875E+01,6.90057786119842E+01,6.67770753836978E+01,6.46529350473123E+01,6.26349951084301E+01,6.07237954743337E+01,5.89522979301350E+01,5.73150220414106E+01,5.57382960420239E+01,5.41292594065096E+01,5.24387500888254E+01,5.06488414513744E+01,4.88137522440368E+01,4.70374116268952E+01,4.54461573868426E+01,4.41156003444119E+01,4.30555161429145E+01,4.22236165500749E+01,4.15758241425298E+01,4.10516351171550E+01,4.06075647852873E+01,4.02268854915804E+01,3.99154976974661E+01,3.96787735736961E+01,3.95284476905609E+01,3.94660447078301E+01,3.95017631958711E+01,3.96124299072588E+01,3.97275527605498E+01,3.97548101226277E+01,3.96338608806909E+01,3.93462176215269E+01,3.89279806654896E+01,3.84418632764011E+01,3.79739235155898E+01,3.75891134943291E+01,3.73009235171083E+01,3.71074656373564E+01,KOR,"Korea, Rep.",SP.POP.DPND,Age dependency ratio (% of working-age population)
6.75954533108760E+00,6.73746468558895E+00,6.65486464369358E+00,6.53625401741169E+00,6.41465470623224E+00,6.31347353335759E+00,6.24023556156545E+00,6.18855098275353E+00,6.15128784393930E+00,6.11709091451522E+00,6.07928785927736E+00,6.03772680514855E+00,5.99826087342271E+00,5.96715477802347E+00,5.95169476704718E+00,5.95597187038343E+00,5.98063018134031E+00,6.02268745213359E+00,6.07784769729346E+00,6.14047981496100E+00,6.20680161704776E+00,6.27704835146072E+00,6.35263892617901E+00,6.43274197170446E+00,6.51658313569177E+00,6.60431625224360E+00,6.69616483447269E+00,6.79432012328181E+00,6.90336529584166E+00,7.02930817083844E+00,7.17701945954230E+00,7.34863381173125E+00,7.54533735681013E+00,7.76984315965400E+00,8.02443539316291E+00,8.31055950810522E+00,8.62658709008040E+00,8.97252624376331E+00,9.35262271205843E+00,9.77262195806098E+00,1.02351657989408E+01,1.07448144224771E+01,1.12960409344591E+01,1.18682773733413E+01,1.24321775135197E+01,1.29655722615770E+01,1.34598192619749E+01,1.39209135400401E+01,1.43597092564410E+01,1.47947078380668E+01,1.52418676752393E+01,1.57077860593771E+01,1.61948524027700E+01,KOR,"Korea, Rep.",SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
