1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
,,,,,,,,,,1.28752351400000E-01,5.41944703040000E-01,6.66985344000000E-01,6.84011172400000E-01,2.03216521080000E+00,2.39183150470000E+00,3.73660402410000E+00,3.77305078240000E+00,4.28596857170000E+00,1.10107268850000E+01,1.07583429930000E+01,8.40892265850000E+00,8.59338635630000E+00,1.01321667990000E+01,1.05808884620000E+01,1.03189938580000E+01,7.68711155440000E+00,7.89836859600000E+00,6.24976989650000E+00,7.23643757710000E+00,9.04986057630000E+00,7.44346237560000E+00,5.57010196560000E+00,4.69432707450000E+00,3.94915664050000E+00,3.94449603940000E+00,4.84195577190000E+00,4.74241512120000E+00,4.51464610620000E+00,4.66900330760000E+00,8.32306936490000E+00,7.54579430590000E+00,6.37282598300000E+00,8.31167338200000E+00,9.59721884990000E+00,1.24879846670000E+01,1.12290810170000E+01,9.77177599920000E+00,1.20592248760000E+01,6.54367127080000E+00,6.14271010080000E+00,6.12511813610000E+00,,MYS,Malaysia,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
,,,,,,,,,,5.36503693010000E+06,2.38588676200000E+07,3.49426623730000E+07,5.39665566370000E+07,1.96950734780000E+08,2.29629399340000E+08,4.23415136910000E+08,5.08168602220000E+08,6.82432956220000E+08,2.27421253220000E+09,2.58818038630000E+09,2.06794234950000E+09,2.23827580600000E+09,2.91487686810000E+09,3.41307304110000E+09,3.04770429900000E+09,2.02760965600000E+09,2.38568606120000E+09,2.08308162380000E+09,2.65355624500000E+09,3.81469908910000E+09,3.47323702730000E+09,3.11972942230000E+09,2.98951725350000E+09,2.79974338630000E+09,3.34055203820000E+09,4.65606430830000E+09,4.49593829510000E+09,3.08220541260000E+09,3.43358497800000E+09,7.17299640120000E+09,6.49248085020000E+09,6.00642203010000E+09,8.66671307230000E+09,1.13561870180000E+10,1.71348814160000E+10,1.77395841180000E+10,1.85158541520000E+10,2.70219882290000E+10,1.29707877700000E+10,1.46558772120000E+10,1.71966822060000E+10,,MYS,Malaysia,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
,,,,,,,,,,2.78893613200000E-01,1.38869390340000E-01,1.09050962320000E-01,7.37935267040000E-02,5.34408367610000E-01,1.06800944040000E-01,2.07056248450000E-01,7.58886257710000E-01,8.44713881140000E-01,9.43890931120000E-01,8.93719616750000E-01,4.18557561510000E-01,2.30687556630000E-01,2.28685978980000E-01,1.62306249370000E-01,1.21285041500000E-01,1.20656814870000E-01,1.30802212360000E-01,1.52565850300000E-01,1.49934807850000E-01,1.25965547080000E-01,1.06924659600000E-01,9.29842614370000E-02,6.48529188910000E-02,7.21556522480000E-02,5.62010498490000E-02,4.11157192220000E-02,4.21460124750000E-02,3.49766176760000E-02,1.80562998990000E-02,1.15822884010000E-02,1.19283396030000E-02,1.45176003920000E-02,2.05811240840000E-02,2.02895861740000E-02,3.06717919870000E-02,3.05223652270000E-02,2.96036205430000E-02,4.49128855370000E-02,5.67013187990000E-02,1.33367758960000E-01,1.13606741500000E-01,,MYS,Malaysia,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
,,,,,,,,,,1.16213375380000E+07,6.11366137930000E+06,5.71306550020000E+06,5.82210159570000E+06,5.17930924680000E+07,1.02534967790000E+07,2.34626814130000E+07,1.02209641760000E+08,1.34499490940000E+08,1.94956119350000E+08,2.15005933950000E+08,1.02932675480000E+08,6.00860191010000E+07,6.57896265830000E+07,5.23550632000000E+07,3.58214131620000E+07,3.18253379270000E+07,3.95085404040000E+07,5.08510112270000E+07,5.49801530760000E+07,5.30970232800000E+07,4.98927337990000E+07,5.20790710850000E+07,4.13006841840000E+07,5.11545447680000E+07,4.75960755820000E+07,3.95372121920000E+07,3.99555641230000E+07,2.38789747370000E+07,1.32786027350000E+07,9.98185998140000E+06,1.02632689560000E+07,1.36829147780000E+07,2.14602630480000E+07,2.40082401700000E+07,4.20850547570000E+07,4.82189116480000E+07,5.60938278150000E+07,1.00639591420000E+08,1.12392683250000E+08,3.18201814380000E+08,3.18958587670000E+08,,MYS,Malaysia,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
,,,,,,,,,,4.07645964600000E-01,6.80814093380000E-01,7.76036306320000E-01,1.09210063554400E+00,2.56657357841000E+00,2.49863244874000E+00,4.81482712165000E+00,5.53926459571000E+00,6.18999363694000E+00,1.34310954738200E+01,1.29877938974500E+01,1.03379857854100E+01,1.05756648696300E+01,1.19058045534800E+01,1.16976190726700E+01,1.11776347160700E+01,8.77209578327000E+00,9.70613051626000E+00,8.42699800710000E+00,9.39780404815000E+00,1.09445449257800E+01,9.13240143670000E+00,7.38405315923700E+00,6.27231056439100E+00,5.19739023374800E+00,4.91389399125900E+00,5.41025953806200E+00,5.32800484815500E+00,4.58950499335600E+00,4.72871953975400E+00,8.42783101624500E+00,7.55772264550300E+00,6.38734358339200E+00,8.37463657932700E+00,9.73132044520400E+00,1.26333897337670E+01,1.13001272516340E+01,9.89258960374200E+00,1.21339184551110E+01,6.60037258959900E+00,6.27607785976000E+00,6.23872487760000E+00,,MYS,Malaysia,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,3.34295936440000E-01,0.00000000000000E+00,0.00000000000000E+00,8.71166849100000E-01,1.00732755560000E+00,1.05931118410000E+00,1.47647765770000E+00,1.33573128770000E+00,1.51050556540000E+00,1.75159095670000E+00,1.54495177550000E+00,9.54424361300000E-01,7.37355816570000E-01,9.64327414000000E-01,1.67695970790000E+00,2.02466226030000E+00,2.01143166320000E+00,1.76871880240000E+00,1.58201440150000E+00,1.72096693220000E+00,1.51313057100000E+00,1.17607794100000E+00,9.13196902010000E-01,5.27188046940000E-01,5.43443714480000E-01,3.98822694800000E-02,4.16599322550000E-02,9.31793629440000E-02,0.00000000000000E+00,0.00000000000000E+00,4.23820732430000E-02,1.13812009130000E-01,1.14733274780000E-01,4.05238694070000E-02,9.12099839990000E-02,2.97806935740000E-02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,MYS,Malaysia,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.63750086480000E+07,0.00000000000000E+00,0.00000000000000E+00,9.87167032690000E+07,1.35670645700000E+08,1.68668726990000E+08,3.04959339000000E+08,3.21342563840000E+08,3.71467137310000E+08,4.56228022090000E+08,4.44460131990000E+08,3.07868291880000E+08,2.17777287500000E+08,2.54358163310000E+08,5.06522245930000E+08,6.74830724750000E+08,7.37579367520000E+08,7.45550712900000E+08,7.38192889220000E+08,9.63887412870000E+08,9.63616270620000E+08,8.33777116690000E+08,7.73376812110000E+08,5.06948341690000E+08,5.15199396230000E+08,2.72281246340000E+07,3.06367136940000E+07,8.03039366560000E+07,0.00000000000000E+00,0.00000000000000E+00,4.41924569610000E+07,1.34671354370000E+08,1.57426607270000E+08,6.40191827870000E+07,1.72827412440000E+08,6.67317808140000E+07,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,MYS,Malaysia,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
7.54246100000000E+01,7.49308100000000E+01,7.44370000000000E+01,7.24122000000000E+01,7.03874000000000E+01,6.83625900000000E+01,6.63377900000000E+01,6.43130000000000E+01,6.11334000000000E+01,5.79538000000000E+01,5.47742000000000E+01,5.15946000000000E+01,4.84150000000000E+01,4.64518000000000E+01,4.44886000000000E+01,4.25254000000000E+01,4.05622000000000E+01,3.85990000000000E+01,3.65098000000000E+01,3.44206000000000E+01,3.23314000000000E+01,3.02422000000000E+01,2.81530000000000E+01,2.64068000000000E+01,2.46606000000000E+01,2.29144000000000E+01,2.11682000000000E+01,1.94220000000000E+01,1.93380000000000E+01,1.92540000000000E+01,1.91700000000000E+01,1.90860000000000E+01,1.90020000000000E+01,1.82014000000000E+01,1.74008000000000E+01,1.66002000000000E+01,1.57996000000000E+01,1.49990000000000E+01,1.46010000000000E+01,1.42030000000000E+01,1.38050000000000E+01,1.34070000000000E+01,1.30090000000000E+01,1.29748000000000E+01,1.29406000000000E+01,1.29064000000000E+01,1.28722000000000E+01,1.28380000000000E+01,1.14056000000000E+01,9.97320000000000E+00,8.54080000000000E+00,7.10840000000000E+00,,MYS,Malaysia,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
9.58068084291101E+01,9.69523636963184E+01,9.78779162565031E+01,9.84955642627722E+01,9.87154592755509E+01,9.84964951864537E+01,9.78171826530302E+01,9.67380536766883E+01,9.53960072437209E+01,9.39569269623541E+01,9.25247258378507E+01,9.11742907081327E+01,8.98683699282206E+01,8.84759734849191E+01,8.68326970910737E+01,8.48705237600908E+01,8.25617162776082E+01,8.00494554125765E+01,7.76182439242365E+01,7.55910248856673E+01,7.41397596371273E+01,7.32959357754504E+01,7.29203258754133E+01,7.27991737979683E+01,7.26601911240414E+01,7.23265101857060E+01,7.17567803727421E+01,7.10219965138508E+01,7.01992473924477E+01,6.93914434297166E+01,6.86555766087660E+01,6.79970138756579E+01,6.73684930852210E+01,6.67105302737429E+01,6.59510789504637E+01,6.50500953301812E+01,6.40118386219262E+01,6.28701372619884E+01,6.16546948359848E+01,6.03999350125241E+01,5.91309885747832E+01,5.78521237841753E+01,5.65687178366777E+01,5.53043237498826E+01,5.40860358715073E+01,5.29331360626742E+01,5.18576338723905E+01,5.08580546112286E+01,4.99241333054239E+01,4.90404996061125E+01,4.81995190288245E+01,4.74013529857960E+01,4.66579162228786E+01,MYS,Malaysia,SP.POP.DPND,Age dependency ratio (% of working-age population)
6.71465126319382E+00,6.56666786501179E+00,6.46583408081804E+00,6.40102505636980E+00,6.35709437240712E+00,6.32361490344133E+00,6.29557010062605E+00,6.27481140405979E+00,6.26559141960965E+00,6.27401025690503E+00,6.30201233523116E+00,6.35144949757892E+00,6.41502048763712E+00,6.47553965301931E+00,6.51274013876465E+00,6.51493940000860E+00,6.47817735015563E+00,6.41234400105938E+00,6.33622287177621E+00,6.27258822889531E+00,6.23449463040738E+00,6.22557258211284E+00,6.23783007665267E+00,6.25835712301592E+00,6.27029865926594E+00,6.26344821767317E+00,6.23527928795980E+00,6.19282147258027E+00,6.14664290466859E+00,6.10989386606067E+00,6.09015553211973E+00,6.09122751414709E+00,6.10840509519314E+00,6.13113255549413E+00,6.14583901762307E+00,6.14531136187043E+00,6.12623009344102E+00,6.09646468383679E+00,6.07258163331503E+00,6.07474957855428E+00,6.11457849537860E+00,6.19693294434730E+00,6.31347181298141E+00,6.44692522993740E+00,6.57518906021184E+00,6.68524080096209E+00,6.77344726286205E+00,6.84931333417660E+00,6.92872178098965E+00,7.03217850406418E+00,7.17286489151817E+00,7.35405302521259E+00,7.56969892677409E+00,MYS,Malaysia,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
