1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
,,,,,,,,,,5.04756048650000E-01,6.26718759320000E-01,6.11313124450000E-01,7.67998533080000E-01,2.61143379740000E+00,2.44876586380000E+00,2.96841770020000E+00,4.17959010760000E+00,4.30511637020000E+00,9.13507585260000E+00,9.86463918260000E+00,8.68124056080000E+00,1.35497986750000E+01,1.34794272690000E+01,1.10025656510000E+01,9.31605391780000E+00,5.97015255710000E+00,7.42818241650000E+00,4.26398641070000E+00,4.36489719900000E+00,5.10276466020000E+00,3.65493404690000E+00,3.00294541720000E+00,2.43913689510000E+00,2.17371693680000E+00,3.47964766760000E+00,3.95181644550000E+00,3.14815043020000E+00,2.03554402340000E+00,2.36536639460000E+00,3.83185143140000E+00,3.15671376990000E+00,3.12824278200000E+00,3.91044537340000E+00,4.94350368580000E+00,6.61037448740000E+00,6.96542780270000E+00,6.69468346620000E+00,8.02315789200000E+00,5.02573691480000E+00,5.42669384820000E+00,6.23600782140000E+00,,MEX,Mexico,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
,,,,,,,,,,1.76256534280000E+08,2.41263404800000E+08,2.71212725380000E+08,4.17997249780000E+08,1.84681196030000E+09,2.10828783500000E+09,2.57563738420000E+09,3.32683509360000E+09,4.28735918910000E+09,1.19181773210000E+10,1.85375780360000E+10,2.08322204450000E+10,2.18774493750000E+10,1.88366387940000E+10,1.82153755620000E+10,1.63474898000000E+10,7.27884644690000E+09,9.91383574340000E+09,7.50028131320000E+09,9.37033525360000E+09,1.29653022970000E+10,1.11784645220000E+10,1.06308597850000E+10,9.55571888150000E+09,8.88426934840000E+09,9.51365611810000E+09,1.26050560610000E+10,1.22365644920000E+10,8.30396990070000E+09,1.10787188390000E+10,2.17039699870000E+10,1.92005946110000E+10,1.99074899810000E+10,2.69016290280000E+10,3.70365070910000E+10,5.50812509470000E+10,6.49285187030000E+10,6.79405036330000E+10,8.63502265510000E+10,4.35237217130000E+10,5.54469564840000E+10,7.24940656220000E+10,,MEX,Mexico,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
,,,,,,,,,,2.39791882100000E-01,1.61308211350000E-01,1.81767731470000E-01,3.95599222100000E-01,4.89921394490000E-01,1.64393479830000E-01,1.85761605070000E-01,1.70412885780000E-01,1.13651012140000E-01,3.17504555330000E-01,3.79924709090000E-01,1.58308729480000E-01,2.64898615040000E-01,4.18493614940000E-01,3.01150865850000E-01,2.33421186420000E-01,1.30031792670000E-01,2.29990806300000E-01,8.57951345720000E-01,6.89246751930000E-01,4.15721108380000E-01,1.02545590220000E-01,9.06929660130000E-02,4.68073986940000E-02,6.91775630520000E-02,1.51871130610000E-01,1.02656910620000E-01,1.18479502140000E-01,6.33381556720000E-02,5.03331935530000E-02,5.61607095880000E-02,3.82623370730000E-02,2.85896487920000E-02,3.66316465850000E-02,8.64164551560000E-02,1.46896487540000E-01,2.85418347560000E-01,3.01551569910000E-01,2.85009491350000E-01,2.84892455100000E-01,5.03534356030000E-01,7.52827932660000E-01,,MEX,Mexico,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
,,,,,,,,,,8.37332929450000E+07,6.20976597780000E+07,8.06423416530000E+07,2.15312112880000E+08,3.46473531840000E+08,1.41536101430000E+08,1.61181674170000E+08,1.35643820140000E+08,1.13182239310000E+08,4.14235814980000E+08,7.13952513850000E+08,3.79890676680000E+08,4.27704217540000E+08,5.84818101280000E+08,4.98572450840000E+08,4.09599439620000E+08,1.58535555500000E+08,3.06951411300000E+08,1.50912217490000E+09,1.47963923170000E+09,1.05628031080000E+09,3.13631443810000E+08,3.21066177120000E+08,1.83375662260000E+08,2.82737872900000E+08,4.15228738350000E+08,3.27443374780000E+08,4.60518676310000E+08,2.58387012130000E+08,2.35746690620000E+08,3.18099586360000E+08,2.32729248380000E+08,1.81938611080000E+08,2.52004790510000E+08,6.47428192140000E+08,1.22402177200000E+09,2.66053874120000E+09,3.06027396730000E+09,3.06744980950000E+09,2.46721627970000E+09,5.14483556800000E+09,8.75168202390000E+09,,MEX,Mexico,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
,,,,,,,,,,7.44547930750000E-01,7.88026970670000E-01,7.93080855920000E-01,1.16359775518000E+00,3.10135519189000E+00,2.61315934363000E+00,3.15417930527000E+00,4.35000299338000E+00,4.41876738234000E+00,9.45258040793000E+00,1.02445638916900E+01,8.83954929028000E+00,1.38146972900400E+01,1.38979208839400E+01,1.13037165168500E+01,9.54947510422000E+00,6.10018434977000E+00,7.65817322280000E+00,5.12193775642000E+00,5.05414395093000E+00,5.51848576858000E+00,3.75747963712000E+00,3.09363838321300E+00,2.48594429379400E+00,2.24289449985200E+00,3.63151879821000E+00,4.05447335612000E+00,3.26662993234000E+00,2.09888217907200E+00,2.41569958815300E+00,3.88801214098800E+00,3.19497610697300E+00,3.15683243079200E+00,3.94707701998500E+00,5.02992014095600E+00,6.75727097494000E+00,7.25084615026000E+00,6.99623503611000E+00,8.30816738335000E+00,5.31062936990000E+00,5.93022820423000E+00,6.98883575406000E+00,,MEX,Mexico,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,MEX,Mexico,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,MEX,Mexico,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
1.16581800000000E+02,1.16741400000000E+02,1.16901000000000E+02,1.16901000000000E+02,1.16901000000000E+02,1.16901000000000E+02,1.16901000000000E+02,1.16901000000000E+02,1.16699800000000E+02,1.16498600000000E+02,1.16297400000000E+02,1.16096200000000E+02,1.15895000000000E+02,1.13995200000000E+02,1.12095400000000E+02,1.10195600000000E+02,1.08295800000000E+02,1.06396000000000E+02,1.04136400000000E+02,1.01876800000000E+02,9.96172000000000E+01,9.73576000000000E+01,9.50980000000000E+01,9.32182000000000E+01,9.13384000000000E+01,8.94586000000000E+01,8.75788000000000E+01,8.56990000000000E+01,8.41024000000000E+01,8.25058000000000E+01,8.09091900000000E+01,7.93125900000000E+01,7.77160000000000E+01,7.85034000000000E+01,7.92908000000000E+01,8.00782000000000E+01,8.08656000000000E+01,8.16530000000000E+01,8.01602000000000E+01,7.86674000000000E+01,7.71746100000000E+01,7.56818100000000E+01,7.41890000000000E+01,7.32210000000000E+01,7.22530000000000E+01,7.12850000000000E+01,7.03169900000000E+01,6.93490000000000E+01,6.81572000000000E+01,6.69654000000000E+01,6.57736000000000E+01,6.45817900000000E+01,,MEX,Mexico,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
9.69417468625706E+01,9.80479749801853E+01,9.91643694622643E+01,1.00194630540999E+02,1.01017541357727E+02,1.01559671929610E+02,1.01792291750829E+02,1.01764050515055E+02,1.01570795089880E+02,1.01333772100946E+02,1.01125218373361E+02,1.00957631198475E+02,1.00785400293200E+02,1.00549186186967E+02,1.00173044549392E+02,9.96085557314666E+01,9.88531041707691E+01,9.79277321674094E+01,9.68405413234925E+01,9.56032012913763E+01,9.42247209238419E+01,9.27275917528202E+01,9.11176235038863E+01,8.93751910320429E+01,8.74790793168697E+01,8.54360050228382E+01,8.32620504104841E+01,8.10142156546937E+01,7.87868436193426E+01,7.66843572431192E+01,7.47721825915451E+01,7.30576597870685E+01,7.15207200658906E+01,7.01545020671502E+01,6.89437879270254E+01,6.78707535939669E+01,6.69299790242254E+01,6.61064990660375E+01,6.53620447164593E+01,6.46518873847010E+01,6.39437235821139E+01,6.32247111248704E+01,6.24949457428634E+01,6.17533092004908E+01,6.10037547316473E+01,6.02491870751411E+01,5.94964507500307E+01,5.87426262317368E+01,5.79723869525505E+01,5.71663147555479E+01,5.63169930386513E+01,5.54193279956952E+01,5.44938964233682E+01,MEX,Mexico,SP.POP.DPND,Age dependency ratio (% of working-age population)
6.60530571257582E+00,6.71011085425186E+00,6.82354087396067E+00,6.93929356902696E+00,7.04980826789538E+00,7.14944988672725E+00,7.23722101760756E+00,7.31317762600595E+00,7.37474459937049E+00,7.41971282306110E+00,7.44756162214293E+00,7.45743878375498E+00,7.45210270352247E+00,7.43878031860166E+00,7.42621728653516E+00,7.41973747771247E+00,7.42236368142236E+00,7.43159907598894E+00,7.44092658862547E+00,7.44199102047736E+00,7.43045202902612E+00,7.40450667923169E+00,7.36913173820771E+00,7.33460508028384E+00,7.31367486415592E+00,7.31381620399036E+00,7.33810264810799E+00,7.38121149648490E+00,7.43244648752699E+00,7.47847977071152E+00,7.51169913721300E+00,7.52964592048580E+00,7.53805586514832E+00,7.54732629661473E+00,7.57061693124285E+00,7.61588902486920E+00,7.68613214101274E+00,7.77664286502271E+00,7.87846665032037E+00,7.97976569465499E+00,8.07328130166354E+00,8.15694874688931E+00,8.23562105298392E+00,8.31729466623909E+00,8.41253294464710E+00,8.52816067196286E+00,8.66807845908359E+00,8.82927510517734E+00,9.00358484691091E+00,9.17990625082999E+00,9.35205094494188E+00,9.51583104907449E+00,9.67752529479158E+00,MEX,Mexico,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
