1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
,,,,,,,,,,0.00000000000000E+00,5.26068835730000E-04,3.60807368490000E-04,9.20575546740000E-05,2.58085490370000E-03,8.77719605630000E-03,9.26825420550000E-03,1.96129566030000E-02,1.25485896430000E-02,5.65882321080000E-01,2.61944378060000E-01,1.31512884780000E-01,2.18100187290000E-01,2.92636943470000E-01,2.60769455520000E-01,1.91869888130000E-01,1.28715050650000E-01,7.49615715070000E-02,6.12198299610000E-02,6.85260716260000E-02,7.57210821770000E-02,5.03966290390000E-02,9.32808245390000E-02,7.42728969470000E-02,3.15717490320000E-02,2.00612149760000E-02,1.01574039230000E-02,8.96272754090000E-03,5.70665243310000E-03,4.84208264630000E-03,1.16661664020000E-02,3.66746168490000E-02,1.59701308700000E-01,2.86447491020000E-01,3.16584565840000E-01,5.25916057120000E-01,4.03764454450000E-01,4.45544188410000E-01,6.97945570170000E-01,4.13593906790000E-01,4.38975082890000E-01,5.26012178700000E-01,,PHL,Philippines,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,3.84398236810000E+04,2.84683879440000E+04,9.17667499280000E+03,3.54258218970000E+05,1.29623994790000E+06,1.56117797710000E+06,3.82590730740000E+06,2.83225227720000E+06,1.54369046730000E+08,8.38520598420000E+07,4.61868545800000E+07,7.87258015050000E+07,9.46772137160000E+07,7.80573690440000E+07,5.64428764980000E+07,3.67447540700000E+07,2.39689433210000E+07,2.24514452820000E+07,2.81561412960000E+07,3.29898544900000E+07,2.27840666790000E+07,4.99634139260000E+07,4.10671067450000E+07,2.08166885430000E+07,1.53367724090000E+07,8.74859172470000E+06,7.79984718870000E+06,4.47504398740000E+06,3.96727062560000E+06,9.44916251680000E+06,2.79478912650000E+07,1.29242528590000E+08,2.39530845740000E+08,2.89032961190000E+08,5.40473268470000E+08,4.88351974070000E+08,6.61459001140000E+08,1.21238403400000E+09,6.95419746420000E+08,8.78364766430000E+08,1.18912210570000E+09,,PHL,Philippines,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
,,,,,,,,,,1.82635350950000E+00,1.43868894130000E+00,1.35608310020000E+00,2.13131418380000E+00,1.90922269990000E+00,9.88134230720000E-01,1.03195830350000E+00,1.04954349010000E+00,7.83887712870000E-01,1.29699122150000E+00,1.63216698970000E+00,1.05602620800000E+00,7.25322389570000E-01,9.12643801090000E-01,7.05121160010000E-01,7.40730281130000E-01,7.82018897290000E-01,9.32653062270000E-01,1.09752914170000E+00,1.04910994510000E+00,7.43172139230000E-01,5.22565544840000E-01,3.49989480710000E-01,2.38455956820000E-01,2.51856529730000E-01,3.25298885290000E-01,2.17675168570000E-01,1.81255430240000E-01,1.26180309560000E-01,1.06977466690000E-01,1.70151892200000E-01,1.28556918580000E-01,1.84045306590000E-01,2.55225153510000E-01,2.84995409960000E-01,3.45650290190000E-01,1.01392040930000E+00,1.82785503520000E+00,8.59804283490000E-01,1.04830421510000E+00,1.76106204050000E+00,2.09768224510000E+00,,PHL,Philippines,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
,,,,,,,,,,1.19758084370000E+08,1.05124929440000E+08,1.06997537060000E+08,2.12458147970000E+08,2.62067360820000E+08,1.45930323930000E+08,1.73826757550000E+08,2.04734869390000E+08,1.76925680340000E+08,3.53810838420000E+08,5.22479486320000E+08,3.70872625790000E+08,2.61813559990000E+08,2.95268844660000E+08,2.11067291210000E+08,2.17902601520000E+08,2.23245781380000E+08,2.98215578170000E+08,4.02502187360000E+08,4.31060575170000E+08,3.23782228540000E+08,2.36249297710000E+08,1.87462636410000E+08,1.31847506090000E+08,1.66060452710000E+08,2.48690569060000E+08,1.87484045420000E+08,1.57738216580000E+08,9.89481035100000E+07,8.76500035590000E+07,1.37816728010000E+08,9.79667980360000E+07,1.48943555900000E+08,2.13422350660000E+08,2.60192934700000E+08,3.55217794850000E+08,1.22633388840000E+09,2.71365040160000E+09,1.49354481240000E+09,1.76262618840000E+09,3.52378735870000E+09,4.74209615180000E+09,,PHL,Philippines,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
,,,,,,,,,,3.82269683350000E+00,3.32525230613573E+00,3.15212927266849E+00,4.07909301355467E+00,3.27751742740370E+00,2.21700699457630E+00,2.31132422800550E+00,2.18814227840300E+00,1.76765555547300E+00,2.95437987108000E+00,2.90861204506000E+00,1.89876826768000E+00,1.56497806319000E+00,1.89649812855000E+00,1.61068643928000E+00,1.56576151190000E+00,1.57988962184000E+00,1.82860454984700E+00,1.89089740660100E+00,1.73228496462600E+00,1.42772402255700E+00,1.05748832443900E+00,8.26696036999000E-01,7.22778465817000E-01,6.18388019262000E-01,6.27661722646000E-01,4.66952663683000E-01,3.96110685370900E-01,3.28558404073100E-01,3.03182185906300E-01,3.82404689062000E-01,3.44084010759000E-01,4.97828387310000E-01,7.03829899250000E-01,7.65336085450000E-01,1.03000412969000E+00,1.56001337293000E+00,2.38999773969000E+00,1.69500394255000E+00,1.58053561126000E+00,2.30417628275000E+00,2.72103757468400E+00,,PHL,Philippines,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
,,,,,,,,,,1.99634332400000E+00,1.88603729600000E+00,1.79568536510000E+00,1.94768677220000E+00,1.36571387260000E+00,1.22009556780000E+00,1.27009767030000E+00,1.11898583170000E+00,9.71219252960000E-01,1.09150632850000E+00,1.01450067730000E+00,7.11229174900000E-01,6.21555486330000E-01,6.91217383990000E-01,6.44795823750000E-01,6.33161342640000E-01,6.69155673900000E-01,8.20989916070000E-01,7.32148434940000E-01,6.14648947900000E-01,6.08830801150000E-01,4.84526150560000E-01,3.83425731750000E-01,4.10049612050000E-01,3.34959740500000E-01,2.82301622380000E-01,2.39120091190000E-01,2.05892527590000E-01,1.96671442080000E-01,1.91362636570000E-01,2.00586630460000E-01,1.78852475330000E-01,1.54081772020000E-01,1.62157254720000E-01,1.63756109650000E-01,1.58437782380000E-01,1.42328509180000E-01,1.16598516080000E-01,1.37254088890000E-01,1.18637489370000E-01,1.04139159360000E-01,9.73431508840000E-02,,PHL,Philippines,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
,,,,,,,,,,1.30904696690000E+08,1.37812651480000E+08,1.41682992270000E+08,1.94153413700000E+08,1.87463217490000E+08,1.80186998790000E+08,2.13939806530000E+08,2.18281014790000E+08,2.19206940320000E+08,2.97755885200000E+08,3.24755858970000E+08,2.49781141440000E+08,2.24357688320000E+08,2.23630465840000E+08,1.93009819620000E+08,1.86258760120000E+08,1.91026306150000E+08,2.62511315730000E+08,2.68504347950000E+08,2.52548296050000E+08,2.65252938310000E+08,2.19051875740000E+08,2.05371882590000E+08,2.26725385450000E+08,2.20854175220000E+08,2.15819218240000E+08,2.05954598920000E+08,1.79178742760000E+08,1.54225855640000E+08,1.56789427680000E+08,1.62467738290000E+08,1.36294526360000E+08,1.24694769180000E+08,1.35597851560000E+08,1.49504803430000E+08,1.62823296480000E+08,1.72145932260000E+08,1.73103229680000E+08,2.38420692230000E+08,1.99477921270000E+08,2.08376675470000E+08,2.20057438290000E+08,,PHL,Philippines,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
6.62776000000000E+01,6.57387900000000E+01,6.52000000000000E+01,6.43752000000000E+01,6.35504000000000E+01,6.27256000000000E+01,6.19008000000000E+01,6.10760000000000E+01,6.00256000000000E+01,5.89752000000000E+01,5.79248000000000E+01,5.68744000000000E+01,5.58240000000000E+01,5.54964000000000E+01,5.51688000000000E+01,5.48412000000000E+01,5.45136000000000E+01,5.41860000000000E+01,5.36642000000000E+01,5.31424000000000E+01,5.26206000000000E+01,5.20988000000000E+01,5.15770000000000E+01,5.12756000000000E+01,5.09742000000000E+01,5.06728000000000E+01,5.03714000000000E+01,5.00700000000000E+01,5.02532000000000E+01,5.04364000000000E+01,5.06196000000000E+01,5.08028000000000E+01,5.09860000000000E+01,5.06012000000000E+01,5.02164000000000E+01,4.98316000000000E+01,4.94468000000000E+01,4.90620000000000E+01,5.00240000000000E+01,5.09860000000000E+01,5.19480000000000E+01,5.29100000000000E+01,5.38720000000000E+01,5.39148000000000E+01,5.39576000000000E+01,5.40004000000000E+01,5.40432000000000E+01,5.40860000000000E+01,5.26258000000000E+01,5.11656000000000E+01,4.97054000000000E+01,4.82452000000000E+01,,PHL,Philippines,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
1.00391668511500E+02,1.01068020853412E+02,1.01693873815892E+02,1.02134641162496E+02,1.02226865592311E+02,1.01884405764684E+02,1.01099042707467E+02,9.99671255755910E+01,9.86355163687306E+01,9.72794042778287E+01,9.60116397423339E+01,9.48536871077053E+01,9.37744658329333E+01,9.27590751412103E+01,9.17799763011158E+01,9.08183907064548E+01,8.98831641392156E+01,8.89817006341683E+01,8.80959838772601E+01,8.72050056791220E+01,8.62988119918773E+01,8.53699037136350E+01,8.44315344590938E+01,8.35171875505359E+01,8.26669608288692E+01,8.19018958059605E+01,8.12269373666302E+01,8.06205429489193E+01,8.00451188524157E+01,7.94540837090443E+01,7.88180389586009E+01,7.81298565958989E+01,7.74025715130090E+01,7.66529269798553E+01,7.59040447346653E+01,7.51710525304660E+01,7.44541266815509E+01,7.37462695725034E+01,7.30455493006595E+01,7.23485951345237E+01,7.16520559364749E+01,7.09577536217753E+01,7.02638328970501E+01,6.95594782519716E+01,6.88312915647473E+01,6.80711571331091E+01,6.72805729875284E+01,6.64658344158253E+01,6.56312820015616E+01,6.47838011743512E+01,6.39318463325328E+01,6.30810170404437E+01,6.22397826048477E+01,PHL,Philippines,SP.POP.DPND,Age dependency ratio (% of working-age population)
6.23071764179593E+00,6.19337426450111E+00,6.16503358051631E+00,6.13957423986108E+00,6.10929376194326E+00,6.07022037826218E+00,6.02046307387037E+00,5.96455260384664E+00,5.91216884353664E+00,5.87493243881904E+00,5.85910383283858E+00,5.86481093185748E+00,5.88638968444309E+00,5.91689750733258E+00,5.94770095803657E+00,5.97276788505708E+00,5.99199086193132E+00,6.00602176233739E+00,6.01152106310863E+00,6.00500239412213E+00,5.98495296193817E+00,5.95031606945997E+00,5.90376169802192E+00,5.85188493239986E+00,5.80264559234715E+00,5.76089241868439E+00,5.72928466016179E+00,5.70548443795853E+00,5.68356734239905E+00,5.65585453653033E+00,5.61833074939948E+00,5.56963064474426E+00,5.51444048696108E+00,5.46184728401116E+00,5.42318261270077E+00,5.40533872969182E+00,5.41006467628020E+00,5.43336429333257E+00,5.46918505794898E+00,5.50954525031518E+00,5.54919225758494E+00,5.58715875409479E+00,5.62542952575549E+00,5.66558694405502E+00,5.71002136281491E+00,5.76033127542162E+00,5.81866874797436E+00,5.88463914156912E+00,5.95468708713650E+00,6.02410501459611E+00,6.09091595128671E+00,6.15238788055390E+00,6.21297031120302E+00,PHL,Philippines,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
