1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29037137000000E+00,8.07295045230000E+00,1.20747157890000E+01,9.85570828820000E+00,9.02818016890000E+00,8.87683725280000E+00,8.19975509460000E+00,8.57693769130000E+00,1.17039718480000E+01,1.00742340600000E+01,9.70503810340000E+00,1.40876844380000E+01,2.66945470500000E+01,2.04430654390000E+01,1.57879116980000E+01,2.02713855550000E+01,1.98082777150000E+01,2.40167714410000E+01,2.06686528250000E+01,1.67420342370000E+01,1.92040468750000E+01,1.20839261750000E+01,1.26854722460000E+01,1.31868129440000E+01,,RUS,Russian Federation,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
,,,,,,,,,,3.76039155940000E+02,6.84266577880000E+02,6.81996164860000E+02,5.13713431270000E+02,2.68177104830000E+03,3.88542133080000E+03,5.45337371690000E+03,4.94677624340000E+03,4.64153681880000E+03,2.72460325190000E+03,3.98984435930000E+03,9.26944977540000E+03,9.67122638910000E+03,7.40479918400000E+03,6.37241901170000E+03,6.87879635210000E+10,3.80072398970000E+10,4.49288690500000E+10,3.50045595330000E+10,4.08966418920000E+10,6.22790548720000E+10,5.00657513650000E+10,4.11419058810000E+10,3.82237609410000E+10,3.22452544970000E+10,3.36350176840000E+10,4.52110846900000E+10,3.99176951390000E+10,2.51518792500000E+10,2.65115806140000E+10,6.75298620400000E+10,6.18126081660000E+10,5.34464130930000E+10,8.45675116390000E+10,1.14540512300000E+11,1.78919505210000E+11,1.98488322330000E+11,2.12454550680000E+11,3.12266525170000E+11,1.42966034350000E+11,1.82531337300000E+11,2.37041227660000E+11,,RUS,Russian Federation,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.57002532040000E-01,9.71833373350000E-02,1.75179454550000E-01,2.32106491150000E-01,1.67962635540000E-01,1.45053517560000E-01,8.24719268710000E-02,1.36786348400000E-01,3.66917600740000E-01,1.41711460590000E-01,2.27190203250000E-01,3.55792905050000E-01,4.56871326640000E-01,6.53890372620000E-01,1.00400357830000E+00,9.94689557160000E-01,9.15556561350000E-01,7.90304928930000E-01,1.10428177460000E+00,1.10526260070000E+00,,RUS,Russian Federation,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,7.15469039780000E+08,4.18472542410000E+08,6.88887171550000E+08,9.10220665650000E+08,6.48820164540000E+08,5.74753580110000E+08,2.13736816290000E+08,2.57417911260000E+08,9.28200613840000E+08,4.28485395800000E+08,7.69101176020000E+08,1.48428535180000E+09,2.64183875860000E+09,4.87133510900000E+09,9.64179850250000E+09,1.26224997480000E+10,1.48873655570000E+10,9.35016980240000E+09,1.58895171700000E+10,1.98677879840000E+10,,RUS,Russian Federation,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29037137000000E+00,8.07295045230000E+00,1.20747157890000E+01,9.85570828820000E+00,9.18518270094000E+00,8.97402059013500E+00,8.37493454915000E+00,8.80904418245000E+00,1.18719344835400E+01,1.02192875775600E+01,9.78751003027100E+00,1.42244707864000E+01,2.70614646507400E+01,2.05847768995900E+01,1.60151019012500E+01,2.06271784600500E+01,2.02651490416400E+01,2.46706618136200E+01,2.16726564033000E+01,1.77367237941600E+01,2.01196034363500E+01,1.28742311039300E+01,1.37897540206000E+01,1.42920755447000E+01,,RUS,Russian Federation,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,RUS,Russian Federation,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,RUS,Russian Federation,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
2.78518000000000E+01,2.81344000000000E+01,2.84170000000000E+01,2.80364000000000E+01,2.76558000000000E+01,2.72752000000000E+01,2.68946000000000E+01,2.65140000000000E+01,2.76366000000000E+01,2.87592000000000E+01,2.98818000000000E+01,3.10044000000000E+01,3.21270000000000E+01,3.36260000000000E+01,3.51250000000000E+01,3.66240000000000E+01,3.81230000000000E+01,3.96220000000000E+01,4.07534000000000E+01,4.18848000000000E+01,4.30162000000000E+01,4.41476000000000E+01,4.52790000000000E+01,4.60596000000000E+01,4.68402000000000E+01,4.76208000000000E+01,4.84014100000000E+01,4.91820000000000E+01,4.97100000000000E+01,5.02380000000000E+01,5.07660000000000E+01,5.12940000000000E+01,5.18220000000000E+01,4.84678000000000E+01,4.51136000000000E+01,4.17594000000000E+01,3.84052000000000E+01,3.50510000000000E+01,3.35634000000000E+01,3.20758000000000E+01,3.05882000000000E+01,2.91006000000000E+01,2.76130000000000E+01,2.79486000000000E+01,2.82842000000000E+01,2.86198000000000E+01,2.89554000000000E+01,2.92910000000000E+01,2.85782000000000E+01,2.78654000000000E+01,2.71526000000000E+01,2.64398000000000E+01,,RUS,Russian Federation,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
5.76185749944293E+01,5.83621999310597E+01,5.85101930464342E+01,5.81713538209198E+01,5.75349621153233E+01,5.67450737331582E+01,5.58181290031286E+01,5.47366195955164E+01,5.35679388912744E+01,5.23869610514086E+01,5.12534737456262E+01,5.01912038248156E+01,4.92151085649441E+01,4.83597048765646E+01,4.76579596137362E+01,4.71292429363437E+01,4.67880744436093E+01,4.66251543612630E+01,4.66046326333322E+01,4.66756666915468E+01,4.67995332211326E+01,4.69622504962297E+01,4.71660497695928E+01,4.74073938181384E+01,4.76866897750130E+01,4.80007947002818E+01,4.83291119536707E+01,4.86543777179025E+01,4.89796352140338E+01,4.93133606931716E+01,4.96522752861040E+01,5.00220903490698E+01,5.03941892526072E+01,5.06466633887407E+01,5.06158138910090E+01,5.01964559013347E+01,4.93377021759198E+01,4.81141498889585E+01,4.66980405640139E+01,4.53178450846964E+01,4.41304438186829E+01,4.31920482814321E+01,4.24618759725697E+01,4.18794058583276E+01,4.13466734432666E+01,4.08008936912023E+01,4.02277366056846E+01,3.96756004616354E+01,3.92165867230592E+01,3.89466229765883E+01,3.89299646590973E+01,3.91841616737440E+01,3.96816940050855E+01,RUS,Russian Federation,SP.POP.DPND,Age dependency ratio (% of working-age population)
9.57572965874121E+00,9.78739562747238E+00,9.95896039966162E+00,1.01083923967886E+01,1.02628403252356E+01,1.04418546783570E+01,1.06492019955639E+01,1.08788563442342E+01,1.11286893908284E+01,1.13940618706955E+01,1.16714131477622E+01,1.19538793302494E+01,1.22411970746680E+01,1.25428407999145E+01,1.28719415401909E+01,1.32334699611500E+01,1.36410408903865E+01,1.40806738747974E+01,1.44980322149444E+01,1.48208633130559E+01,1.50028198586593E+01,1.50264406358154E+01,1.49211937660124E+01,1.47458492749515E+01,1.45825469487112E+01,1.44923866064435E+01,1.44797240805987E+01,1.45327016497583E+01,1.46737927713188E+01,1.49263961987247E+01,1.53001899768188E+01,1.58237977613664E+01,1.64784979857100E+01,1.71670618107390E+01,1.77524281790576E+01,1.81379776946715E+01,1.82697243076873E+01,1.81880905703003E+01,1.80034457340811E+01,1.78718844366600E+01,1.78975353376474E+01,1.81249461276412E+01,1.85068195229018E+01,1.89433533428561E+01,1.92871478505486E+01,1.94356795099641E+01,1.93569561984110E+01,1.91023939075216E+01,1.87530098343383E+01,1.84243339234791E+01,1.82005622194705E+01,1.80991292175786E+01,1.81024673846554E+01,RUS,Russian Federation,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
