1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
,,,,,,,,,,1.73224829640000E-02,2.37219804070000E-01,1.82407899380000E-01,5.10586051580000E-02,9.41994999170000E-01,1.69005170930000E+00,2.02539183890000E+00,2.12550404470000E+00,2.04221967550000E+00,1.49422714180000E+00,1.74659511030000E+00,3.09166783010000E+00,3.52408451580000E+00,2.17167297610000E+00,2.31895588120000E+00,3.25724079460000E+00,1.95453377870000E+00,6.02081137040000E-01,8.08451703620000E-01,1.03520658940000E+00,1.70284463640000E+00,1.51485860310000E+00,1.30977852390000E+00,9.77733000260000E-01,8.93126975220000E-01,1.06123543390000E+00,1.18876230450000E+00,6.78124481600000E-01,4.75535552320000E-01,3.08556004560000E-01,4.76265433260000E-01,1.78507324440000E+00,1.12504735390000E+00,6.98708509840000E-01,2.42271539200000E+00,1.79133475680000E+00,1.73395354870000E+00,2.49190077760000E+00,5.99142176070000E+00,2.63482006910000E+00,3.24703343450000E+00,3.63573497780000E+00,,ZAF,South Africa,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
,,,,,,,,,,2.98705313920000E+06,4.53300632980000E+07,3.65739108560000E+07,1.40515090470000E+07,3.24794789310000E+08,5.98425169930000E+08,6.88092445020000E+08,8.00517964830000E+08,8.85827091040000E+08,8.00862923110000E+08,1.34868614440000E+09,2.56843862160000E+09,2.70608721800000E+09,1.79387938040000E+09,1.89621089430000E+09,2.08642680890000E+09,1.48387568250000E+09,6.03540311500000E+08,8.94851271730000E+08,1.24765642030000E+09,1.83475037580000E+09,1.77264327780000E+09,1.67085033440000E+09,1.24899110070000E+09,1.19104028330000E+09,1.57315765810000E+09,1.67163627370000E+09,9.87300318520000E+08,6.23580163740000E+08,4.01046565060000E+08,6.17735672970000E+08,2.04822126820000E+09,1.21855771120000E+09,1.14315458120000E+09,5.20354654230000E+09,4.33700062820000E+09,4.43669438180000E+09,6.88771318670000E+09,1.58729366160000E+10,7.29045807870000E+09,1.15690010170000E+10,1.45090775050000E+10,,ZAF,South Africa,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
,,,,,,,,,,7.17726315980000E-01,5.34147226600000E-01,5.07878321450000E-01,6.63386926000000E-01,1.53124135240000E+00,7.20716303860000E-01,6.93183355980000E-01,7.37962270410000E-01,4.89743992550000E-01,2.83202533750000E+00,6.91597939450000E+00,3.82442997860000E+00,2.80617625020000E+00,3.44306325580000E+00,5.15513920640000E-01,2.37861432060000E+00,2.12103991900000E+00,2.17445802910000E+00,1.78220070910000E+00,1.30411906960000E+00,1.25947854020000E+00,8.88943138730000E-01,5.72623796870000E-01,6.09151940790000E-01,7.70643512020000E-01,4.90789767210000E-01,5.72178026220000E-01,3.29359359310000E-01,2.87576129360000E-01,2.16638590960000E-01,3.27071683860000E-01,3.49970071760000E-01,7.01951299990000E-01,7.16788257440000E-01,7.23183098260000E-01,9.67893115810000E-01,1.55795026140000E+00,1.73142558020000E+00,2.72803644640000E+00,2.24968131870000E+00,2.68399046320000E+00,2.87604000750000E+00,,ZAF,South Africa,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
,,,,,,,,,,1.23763241660000E+08,1.02069587690000E+08,1.01832741440000E+08,1.82566432500000E+08,5.27963750210000E+08,2.55196201540000E+08,2.35497260870000E+08,2.77935041480000E+08,2.12429887680000E+08,1.51788441440000E+09,5.34038228410000E+09,3.17718920730000E+09,2.15481712990000E+09,2.84409312450000E+09,4.21535881900000E+08,1.52362229250000E+09,1.61028660220000E+09,2.17972793950000E+09,1.97266523630000E+09,1.57175634960000E+09,1.35704025820000E+09,1.04021528870000E+09,7.30481256930000E+08,7.78152473940000E+08,1.02770097910000E+09,7.27538542420000E+08,8.04596124900000E+08,4.79523463870000E+08,3.77104864100000E+08,2.81576639180000E+08,4.24225300920000E+08,4.01561194450000E+08,7.60295259150000E+08,1.17273479380000E+09,1.55326412790000E+09,2.34336604890000E+09,3.98635198560000E+09,4.78572939500000E+09,7.22732455310000E+09,6.22479217340000E+09,9.56290996820000E+09,1.14773732490000E+10,,ZAF,South Africa,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
,,,,,,,,,,1.51727310121400E+00,1.36449623513000E+00,1.32202264206000E+00,1.26191997163800E+00,2.97169967203000E+00,2.79837586016000E+00,3.07162479881000E+00,3.11989654477000E+00,2.81730204219000E+00,4.57712392286000E+00,8.91330514880000E+00,7.10217604348000E+00,6.49789490940000E+00,5.77101644798000E+00,2.93708914072000E+00,5.79318695523000E+00,4.23154671855000E+00,2.95199794167000E+00,2.78964748905000E+00,2.50948951976000E+00,3.38134294505000E+00,2.68308062230000E+00,2.16466962572000E+00,1.77577868616000E+00,1.89668035870000E+00,1.87947154902000E+00,2.08189565204000E+00,1.32968866289000E+00,9.78570566390000E-01,6.91719867720000E-01,1.07719600142000E+00,2.43250147576000E+00,2.06395208093000E+00,1.72538562310000E+00,3.38683058688000E+00,3.03050811876000E+00,3.56738711719000E+00,4.44114103734000E+00,9.10849618349000E+00,5.18266015515000E+00,6.16821335638000E+00,6.72725023846000E+00,,ZAF,South Africa,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
,,,,,,,,,,7.82224302270000E-01,5.93129204460000E-01,6.31736421230000E-01,5.47474440480000E-01,4.98463320460000E-01,3.87607847000000E-01,3.53049603930000E-01,2.56430229660000E-01,2.85338374140000E-01,2.50871443560000E-01,2.50730644000000E-01,1.86078234780000E-01,1.67634143400000E-01,1.56280216080000E-01,1.02619338880000E-01,1.57331840030000E-01,1.55973020850000E-01,1.75458775530000E-01,1.98995076330000E-01,1.70163860760000E-01,4.19019768450000E-01,2.79278880470000E-01,2.82267304950000E-01,1.88893745110000E-01,2.32909871460000E-01,3.27446347910000E-01,3.20955321320000E-01,3.22204821980000E-01,2.15458884710000E-01,1.66525272200000E-01,2.73858884300000E-01,2.97458159600000E-01,2.36953427040000E-01,3.09888855820000E-01,2.40932096620000E-01,2.71280246150000E-01,2.75483307090000E-01,2.17814679540000E-01,3.89037976390000E-01,2.98158767350000E-01,2.37189458680000E-01,2.15475253160000E-01,,ZAF,South Africa,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
,,,,,,,,,,1.34885141040000E+08,1.13340386940000E+08,1.26667055720000E+08,1.50666905790000E+08,1.71867461390000E+08,1.37246860810000E+08,1.19942600990000E+08,9.65780357260000E+07,1.23767518720000E+08,1.34459903710000E+08,1.93609236360000E+08,1.54586634500000E+08,1.28723533940000E+08,1.29093035780000E+08,8.39118630610000E+07,1.00778968960000E+08,1.18414209720000E+08,1.75884008850000E+08,2.20261762480000E+08,2.05085666520000E+08,4.51477874860000E+08,3.26803986240000E+08,3.60081045940000E+08,2.41299625310000E+08,3.10599776960000E+08,4.85400989580000E+08,4.51327027540000E+08,4.69106973720000E+08,2.82535944890000E+08,2.16441707260000E+08,3.55206131660000E+08,3.41308196060000E+08,2.56648242150000E+08,5.07008087340000E+08,5.17477778220000E+08,6.56796611300000E+08,7.04883496860000E+08,6.02048465970000E+08,1.03066941150000E+09,8.24995232000000E+08,8.45092957590000E+08,8.59894125280000E+08,,ZAF,South Africa,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
6.50840100000000E+01,6.48720100000000E+01,6.46600000000000E+01,6.38120000000000E+01,6.29640000000000E+01,6.21160000000000E+01,6.12680000000000E+01,6.04200000000000E+01,6.35644000000000E+01,6.67088000000000E+01,6.98532000000000E+01,7.29976000000000E+01,7.61420000000000E+01,7.81336000000000E+01,8.01252000000000E+01,8.21168000000000E+01,8.41084000000000E+01,8.61000000000000E+01,8.75960000000000E+01,8.90920000000000E+01,9.05880100000000E+01,9.20840100000000E+01,9.35800000000000E+01,9.39360000000000E+01,9.42920000000000E+01,9.46480000000000E+01,9.50040100000000E+01,9.53600000000000E+01,9.44472000000000E+01,9.35343900000000E+01,9.26215900000000E+01,9.17087900000000E+01,9.07960000000000E+01,8.87538000000000E+01,8.67116000000000E+01,8.46694000000000E+01,8.26272000000000E+01,8.05850000000000E+01,7.86124000000000E+01,7.66397900000000E+01,7.46671900000000E+01,7.26945900000000E+01,7.07220000000000E+01,6.84096000000000E+01,6.60972000000000E+01,6.37848000000000E+01,6.14724000000000E+01,5.91600000000000E+01,5.75004000000000E+01,5.58408000000000E+01,5.41812000000000E+01,5.25216000000000E+01,,ZAF,South Africa,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
8.11862969393155E+01,8.19610291463634E+01,8.27371998961897E+01,8.34421472362929E+01,8.39851523784880E+01,8.43115707002376E+01,8.44091739003995E+01,8.43159724080093E+01,8.40910631872719E+01,8.38109453413083E+01,8.35289288708495E+01,8.32501433389238E+01,8.29637065394535E+01,8.26810664950594E+01,8.24109241505867E+01,8.21544825933389E+01,8.19173737017574E+01,8.16877569478361E+01,8.14296494842893E+01,8.10991049569093E+01,8.06692559337234E+01,8.01240775257014E+01,7.94769921528798E+01,7.87635139521594E+01,7.80272548874063E+01,7.72884897948748E+01,7.65608053452377E+01,7.58155776101532E+01,7.49856467091229E+01,7.39920386291703E+01,7.27968258806859E+01,7.14239278223047E+01,6.99267106628001E+01,6.83394012464399E+01,6.66943312580690E+01,6.50188107023774E+01,6.33061114949951E+01,6.15822627094924E+01,5.99344933807017E+01,5.84686674938377E+01,5.72515907878632E+01,5.62985653114041E+01,5.55763457439592E+01,5.50415157320906E+01,5.46337658969979E+01,5.43088137510394E+01,5.40553593865148E+01,5.38772208956134E+01,5.37640508308728E+01,5.37070100146668E+01,5.36965602724774E+01,5.37221264886143E+01,5.37714064795588E+01,ZAF,South Africa,SP.POP.DPND,Age dependency ratio (% of working-age population)
7.00322982427255E+00,7.07824625518859E+00,7.15916312889188E+00,7.22176360632796E+00,7.23584806739591E+00,7.18429128207782E+00,7.06259684957325E+00,6.88638233428603E+00,6.68327216838254E+00,6.48806786274005E+00,6.32383419008964E+00,6.19612207569023E+00,6.09720016890419E+00,6.01920221218136E+00,5.95022015414721E+00,5.88246938202460E+00,5.81516092787413E+00,5.75171777362897E+00,5.69386499401058E+00,5.64423461998959E+00,5.60441613929197E+00,5.57448052780625E+00,5.55294931978273E+00,5.53794536168784E+00,5.52718918254116E+00,5.51902163327448E+00,5.51158978422582E+00,5.50501976201612E+00,5.50188790582131E+00,5.50562531767627E+00,5.51752886445399E+00,5.54430123224023E+00,5.58304467602859E+00,5.61641467087497E+00,5.62375202919948E+00,5.59607438549780E+00,5.52634549499050E+00,5.43039890497543E+00,5.34755968472385E+00,5.32678447558006E+00,5.39774915424722E+00,5.56674450670827E+00,5.81512811499583E+00,6.11596350198498E+00,6.43269351694834E+00,6.73875483039122E+00,7.03055011630080E+00,7.31240079784360E+00,7.57691472741993E+00,7.81760688759156E+00,8.03143027439583E+00,8.21434866887607E+00,8.36939135042840E+00,ZAF,South Africa,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
