1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,LKA,Sri Lanka,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,LKA,Sri Lanka,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.35029735980000E-03,2.42154407360000E-03,1.66274690770000E-03,1.02938479820000E-03,9.75106547240000E-04,7.70620086500000E-04,4.09228292400000E-04,2.01599766630000E-04,3.88409618690000E-04,8.40451326380000E-04,6.44905772010000E-04,5.45093241630000E-04,7.08221823370000E-04,1.86403550180000E-04,1.60007920220000E-04,1.31476590650000E-04,2.66958007330000E-04,3.87663141840000E-04,7.08665446010000E-04,7.08272058950000E-04,7.53142860430000E-04,7.76179497370000E-04,7.02616134540000E-04,3.99564207360000E-04,4.06122497570000E-04,3.55648731640000E-04,3.60899596720000E-04,1.47865215320000E-03,1.89198023250000E-02,4.21845355370000E-03,3.55982913630000E-03,5.46103664480000E-03,,LKA,Sri Lanka,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,9.55901339980000E+04,1.06346668040000E+05,8.01074865330000E+04,5.29256028480000E+04,5.72480301010000E+04,4.58779986260000E+04,2.61023973350000E+04,1.34137116460000E+04,2.70378761130000E+04,5.82977139180000E+04,5.14218176979999E+04,4.86541504930000E+04,6.85621096370000E+04,1.92738647650000E+04,1.86339616170000E+04,1.69072482080000E+04,3.65780287750000E+04,5.78296935430000E+04,1.10164764990000E+05,1.08882691700000E+05,1.20624340460000E+05,1.20032575310000E+05,1.18399852940000E+05,7.47602763870000E+04,8.30830949020000E+04,8.57355142850000E+04,1.00613641940000E+05,4.73141153120000E+05,7.51980493700000E+06,1.75414008220000E+06,1.74254895670000E+06,3.19582857480000E+06,,LKA,Sri Lanka,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
,,,,,,,,,,9.15130037370000E-01,9.69366023400000E-01,9.94886226940000E-01,9.65221782180000E-01,1.00904444290000E+00,1.10527071630000E+00,1.20763104130000E+00,1.39541132280000E+00,2.28949600250000E+00,1.90504408150000E+00,1.78317744155980E+00,1.57902035627360E+00,1.37802947720770E+00,1.25408469249820E+00,1.06035959814724E+00,8.26753016816500E-01,9.90072483772400E-01,1.16127390346663E+00,1.09687288701869E+00,9.77501446536380E-01,9.08798758772010E-01,1.34675053364163E+00,1.22112207152337E+00,1.10290139465018E+00,9.93563625460220E-01,1.03367135629065E+00,9.29189947127330E-01,5.17208616381840E-01,4.65357862306010E-01,4.63340019338950E-01,4.47515248070430E-01,4.39380268267370E-01,4.81503406314540E-01,3.95980707317360E-01,3.40036531737570E-01,2.99068344401640E-01,3.35462230546720E-01,6.15024057473200E-01,4.09485801705000E-01,4.97682773593700E-01,3.20792514566300E-01,2.79168536534800E-01,,LKA,Sri Lanka,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
,,,,,,,,,,9.15130037370000E-01,9.69366023400000E-01,9.94886226940000E-01,9.65221782180000E-01,1.00904444290000E+00,1.10527071630000E+00,1.20763104130000E+00,1.39541132280000E+00,2.28949600250000E+00,1.90504408150000E+00,1.78082714420000E+00,1.57659881220000E+00,1.37636673030000E+00,1.25305530770000E+00,1.05938449160000E+00,8.25982396730000E-01,9.89663255480000E-01,1.16107230370000E+00,1.09648447740000E+00,9.76660995210000E-01,9.08153853000000E-01,1.34620544040000E+00,1.22041384970000E+00,1.10271499110000E+00,9.93403617540000E-01,1.03353987970000E+00,9.28922989120000E-01,5.16820953240000E-01,4.64649196860000E-01,4.62631747280000E-01,4.46762105210000E-01,4.38604088770000E-01,4.80800790180000E-01,3.95581143110000E-01,3.39630409240000E-01,2.98712695670000E-01,3.35101330950000E-01,6.13545405320000E-01,3.90565999380000E-01,4.93464320040000E-01,3.17232685430000E-01,2.73707499890000E-01,,LKA,Sri Lanka,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
,,,,,,,,,,1.96037772380000E+07,2.09206515470000E+07,2.34006572840000E+07,2.53129412380000E+07,3.25959289050000E+07,3.72402126220000E+07,3.69095698990000E+07,4.91713374360000E+07,5.72667337710000E+07,6.39798715910000E+07,7.24289225060000E+07,6.92393057560000E+07,6.63103198700000E+07,6.44255750390000E+07,6.21959471360000E+07,4.91739313900000E+07,6.31251162290000E+07,7.72535074940000E+07,7.63282113350000E+07,6.77458664250000E+07,7.24120079190000E+07,1.20160143430000E+08,1.18146808540000E+08,1.14019178240000E+08,1.15688303760000E+08,1.32908186870000E+08,1.27279088440000E+08,7.70968248370000E+07,7.22315019920000E+07,7.11203968480000E+07,7.15540000660000E+07,6.78280971040000E+07,8.10211153010000E+07,7.40150269920000E+07,6.94803801600000E+07,7.20100602300000E+07,9.34214546980000E+07,1.96323104070000E+08,1.55233129810000E+08,2.05194991930000E+08,1.55286521870000E+08,1.60175129040000E+08,,LKA,Sri Lanka,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
9.75898100000000E+01,9.53664100000000E+01,9.31430000000000E+01,8.89678000000000E+01,8.47925900000000E+01,8.06173900000000E+01,7.64421900000000E+01,7.22670000000000E+01,6.76232000000000E+01,6.29794000000000E+01,5.83356000000000E+01,5.36918000000000E+01,4.90480000000000E+01,4.74740000000000E+01,4.59000000000000E+01,4.43260000000000E+01,4.27520000000000E+01,4.11780000000000E+01,4.06672000000000E+01,4.01564000000000E+01,3.96456000000000E+01,3.91348000000000E+01,3.86240000000000E+01,3.75758000000000E+01,3.65276000000000E+01,3.54794000000000E+01,3.44312100000000E+01,3.33830000000000E+01,3.26690000000000E+01,3.19550000000000E+01,3.12410000000000E+01,3.05270000000000E+01,2.98130000000000E+01,2.96582000000000E+01,2.95034000000000E+01,2.93486000000000E+01,2.91938000000000E+01,2.90390000000000E+01,2.87522000000000E+01,2.84654000000000E+01,2.81786000000000E+01,2.78918000000000E+01,2.76050000000000E+01,2.65498000000000E+01,2.54946000000000E+01,2.44394000000000E+01,2.33842000000000E+01,2.23290000000000E+01,2.12428000000000E+01,2.01566000000000E+01,1.90704000000000E+01,1.79842000000000E+01,,LKA,Sri Lanka,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
8.74934475923973E+01,8.67926958727816E+01,8.58593627476421E+01,8.47999138262121E+01,8.37525040049359E+01,8.28000402950306E+01,8.19748373833701E+01,8.12275996565756E+01,8.04634410948308E+01,7.95615227661731E+01,7.84561489540828E+01,7.71340424815229E+01,7.56617860799909E+01,7.41494318008187E+01,7.27321308812615E+01,7.14941254148925E+01,7.04461306054914E+01,6.95491393899662E+01,6.87695962126763E+01,6.80598988142705E+01,6.73834546462822E+01,6.67343263269596E+01,6.61118826353254E+01,6.54930543096033E+01,6.48534140465863E+01,6.41762107951822E+01,6.34556873152002E+01,6.26928045494209E+01,6.18874220873846E+01,6.10408196319585E+01,6.01541507542355E+01,5.92405761767839E+01,5.83030900997951E+01,5.73232544344679E+01,5.62766127919769E+01,5.51557452440111E+01,5.39521307665401E+01,5.26982164684156E+01,5.14769002709715E+01,5.03950772720878E+01,4.95268378162182E+01,4.88971974818159E+01,4.84821541753191E+01,4.82436132779983E+01,4.81239710473868E+01,4.80813967544831E+01,4.81004042615025E+01,4.81898079542804E+01,4.83603879088649E+01,4.86304319809876E+01,4.90071725731852E+01,4.94941681100329E+01,5.00684067789547E+01,LKA,Sri Lanka,SP.POP.DPND,Age dependency ratio (% of working-age population)
8.87052853835017E+00,8.39015563394954E+00,7.96439954885090E+00,7.59675799321099E+00,7.29314350210631E+00,7.05490822900044E+00,6.87711954532389E+00,6.75080925199557E+00,6.66803222091905E+00,6.62029125599112E+00,6.60069963355575E+00,6.60566142923933E+00,6.63260250483424E+00,6.67762253185781E+00,6.73730182634331E+00,6.80892688406457E+00,6.89008326726214E+00,6.97978694079040E+00,7.07861185629735E+00,7.18812905706647E+00,7.30895884341547E+00,7.44025936863004E+00,7.58026923350619E+00,7.72700086400524E+00,7.87794931001784E+00,8.03079450078831E+00,8.18246722393972E+00,8.33155679763071E+00,8.47914599541615E+00,8.62711511796425E+00,8.77580990736323E+00,8.93073787209254E+00,9.08859088432367E+00,9.23185412313898E+00,9.33824710310821E+00,9.39603587692374E+00,9.39769840520359E+00,9.35712970518171E+00,9.30925245382001E+00,9.29957698511723E+00,9.35820886072483E+00,9.49694238264398E+00,9.70230228819014E+00,9.94825394292296E+00,1.01991594005246E+01,1.04322866980261E+01,1.06412592150335E+01,1.08385452510172E+01,1.10433538576957E+01,1.12823032647166E+01,1.15733917628381E+01,1.19231973717617E+01,1.23236419484028E+01,LKA,Sri Lanka,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
