1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
,,,,,,,,,,1.78059266750000E-03,3.81764757170000E-03,2.13022839640000E-03,1.72973645210000E-03,8.87756044990000E-03,1.15621993480000E-02,1.28279869100000E-02,1.26090747080000E-02,1.19667652800000E-02,2.12075632680000E-02,2.63339774510000E-02,9.25772772700000E-02,2.71516520850000E-01,3.86504386360000E-01,6.18369119820000E-01,9.50242512120000E-01,5.91632360770000E-01,5.12638461370000E-01,4.33150878450000E-01,4.77039068220000E-01,5.90958697690000E-01,5.60679798310000E-01,5.20538286970000E-01,5.28463913030000E-01,4.65775031200000E-01,4.27644485770000E-01,6.11868842610000E-01,8.42240454430000E-01,7.74965463600000E-01,8.34849405790000E-01,1.98930138920000E+00,1.92528811170000E+00,1.56076362840000E+00,2.34197511580000E+00,2.61887333500000E+00,4.19544019800000E+00,4.03387342310000E+00,3.79468831000000E+00,5.50688350520000E+00,2.93516611100000E+00,3.07893680910000E+00,3.27067245790000E+00,,THA,Thailand,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
,,,,,,,,,,1.26353594060000E+05,2.81367954050000E+05,1.73592885470000E+05,1.86719407020000E+05,1.21605624780000E+06,1.72077556370000E+06,2.17320093570000E+06,2.48657122280000E+06,2.85162522420000E+06,5.73942711210000E+06,8.45059664250000E+06,3.17489051900000E+07,9.78218344430000E+07,1.53641107060000E+08,2.55468329900000E+08,3.63492442500000E+08,2.49926920420000E+08,2.54601145020000E+08,2.62870460360000E+08,3.40271414530000E+08,4.98005534330000E+08,5.42676144180000E+08,5.67251290970000E+08,6.51050173480000E+08,6.61818487610000E+08,7.06815892130000E+08,1.08863387750000E+09,1.23773841060000E+09,8.36885752100000E+08,9.95859207670000E+08,2.40325023090000E+09,2.16654460480000E+09,1.91178859370000E+09,3.20344961000000E+09,4.03579440550000E+09,7.03989255330000E+09,8.01634536150000E+09,9.02988661510000E+09,1.44756104700000E+10,7.43858095030000E+09,9.39631691660000E+09,1.09368021010000E+10,,THA,Thailand,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
,,,,,,,,,,3.39123759190000E-02,2.39978958080000E-03,3.48003935510000E-03,2.11593561550000E-02,3.76062869630000E-01,4.92969237050000E-02,9.06099729660000E-02,2.99915945500000E-01,3.86908294890000E-01,5.26277717130000E-01,4.65241737400000E-01,2.56847743880000E-01,1.97389415230000E-01,1.58285391370000E-01,1.60857058240000E-01,1.46735590740000E-01,1.62333580780000E-02,2.73753631200000E-02,3.13161960490000E-01,2.53605272210000E-01,1.13763487950000E-01,2.40713284480000E-02,2.21924338750000E-02,8.86548979380000E-03,8.24227444900000E-03,1.56340925780000E-03,3.15702237450000E-03,4.03769650390000E-03,5.48547751780000E-03,5.89182612130000E-03,6.59208011510000E-03,2.22464997800000E-03,5.82459879440000E-03,2.53751280310000E-03,9.17310915130000E-03,1.77603226350000E-02,3.68991226430000E-02,5.16790746190000E-02,6.35468891970000E-02,4.07306727570000E-02,5.08049151870000E-02,7.08862441310000E-02,,THA,Thailand,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
,,,,,,,,,,2.40647434910000E+06,1.76869098530000E+05,2.83589343860000E+05,2.28408346800000E+06,5.15134315050000E+07,7.33674789030000E+06,1.53503179740000E+07,5.91448918060000E+07,9.21984702920000E+07,1.42427140740000E+08,1.49296484790000E+08,8.80846241020000E+07,7.11153584220000E+07,6.29207419610000E+07,6.64552654760000E+07,5.61301747700000E+07,6.85755793890000E+06,1.35959342120000E+07,1.90051625920000E+08,1.80896346770000E+08,9.58693844820000E+07,2.32983883980000E+07,2.41839785480000E+07,1.09219920720000E+07,1.17114255700000E+07,2.58402141520000E+06,5.61695786650000E+06,5.93371171710000E+06,5.92377105010000E+06,7.02812896820000E+06,7.96380988030000E+06,2.50341929520000E+06,7.13458549090000E+06,3.47091407790000E+06,1.41361485870000E+07,2.98015839010000E+07,7.33280595640000E+07,1.22976156690000E+08,1.67041851110000E+08,1.03223597920000E+08,1.55046729970000E+08,2.37036521910000E+08,,THA,Thailand,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
,,,,,,,,,,,,,,,,,,,,1.29210144628100E+00,9.73470552570000E-01,1.02557466926000E+00,1.01937018515000E+00,1.20506257357000E+00,1.52274191326000E+00,1.00433035057800E+00,9.49271506100000E-01,1.08068115500000E+00,9.65932739650000E-01,9.05791633570000E-01,7.47924372258000E-01,6.88217653755000E-01,6.81365135713800E-01,5.95427874369000E-01,5.36254669377800E-01,7.10848635963500E-01,9.55174027473900E-01,9.11594363347800E-01,9.60595223051300E-01,2.20390068453510E+00,2.14968000058800E+00,1.77446053627440E+00,2.56838335027310E+00,2.83774206225130E+00,4.42811116945500E+00,4.25911603342300E+00,4.01218191751900E+00,5.75608804485700E+00,3.13764566442700E+00,3.27986888157700E+00,3.48545042814100E+00,,THA,Thailand,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
,,,,,,,,,,,,,,,,,,,,8.00525731430000E-01,6.24045531420000E-01,5.56668733180000E-01,4.74580407420000E-01,4.25836395510000E-01,4.25763810400000E-01,3.96464631730000E-01,4.09257681610000E-01,3.34368316060000E-01,2.35288399220000E-01,2.01069447930000E-01,1.63173245500000E-01,1.45486932910000E-01,1.44035732890000E-01,1.21410568720000E-01,1.07046774350000E-01,9.58227709790000E-02,1.08895876540000E-01,1.31143422230000E-01,1.19853991140000E-01,2.08007215220000E-01,2.22167238910000E-01,2.07872309080000E-01,2.23870721670000E-01,2.09695618100000E-01,2.14910648820000E-01,1.88343487680000E-01,1.65814532900000E-01,1.85657650460000E-01,1.61748880670000E-01,1.50127157290000E-01,1.43891726110000E-01,,THA,Thailand,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
,,,,,,,,,,,,,,,,,,,,2.56889414860000E+08,2.14013233010000E+08,2.00556328900000E+08,1.88652604620000E+08,1.75926819890000E+08,1.62865716270000E+08,1.67481008540000E+08,2.03257231360000E+08,2.02921331910000E+08,1.67830942490000E+08,1.69442802430000E+08,1.57933686880000E+08,1.58542901800000E+08,1.77447289340000E+08,1.72511950170000E+08,1.76928181770000E+08,1.70487378100000E+08,1.60031032030000E+08,1.41621874390000E+08,1.42969138900000E+08,2.51290925900000E+08,2.50006858670000E+08,2.54624020060000E+08,3.06219554240000E+08,3.23149803050000E+08,3.60617195060000E+08,3.74287015350000E+08,3.94574286190000E+08,4.88026998600000E+08,4.09919608300000E+08,4.58158914970000E+08,4.81159563570000E+08,,THA,Thailand,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
6.03506100000000E+01,6.03518100000000E+01,6.03530000000000E+01,6.06068000000000E+01,6.08606000000000E+01,6.11144000000000E+01,6.13682000000000E+01,6.16220000000000E+01,6.14022000000000E+01,6.11824000000000E+01,6.09626000000000E+01,6.07428000000000E+01,6.05230000000000E+01,6.04170000000000E+01,6.03110000000000E+01,6.02050000000000E+01,6.00990000000000E+01,5.99930000000000E+01,5.95364000000000E+01,5.90798000000000E+01,5.86232000000000E+01,5.81666000000000E+01,5.77100000000000E+01,5.68160000000000E+01,5.59220000000000E+01,5.50280000000000E+01,5.41340000000000E+01,5.32400000000000E+01,5.26370000000000E+01,5.20340000000000E+01,5.14310000000000E+01,5.08280000000000E+01,5.02250000000000E+01,4.93276000000000E+01,4.84302000000000E+01,4.75328000000000E+01,4.66354000000000E+01,4.57380000000000E+01,4.49720000000000E+01,4.42060000000000E+01,4.34400000000000E+01,4.26740000000000E+01,4.19080000000000E+01,4.16464000000000E+01,4.13848000000000E+01,4.11232000000000E+01,4.08616000000000E+01,4.06000000000000E+01,4.06808000000000E+01,4.07616000000000E+01,4.08424000000000E+01,4.09232000000000E+01,,THA,Thailand,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
8.60454535454127E+01,8.69158473803302E+01,8.77277168383706E+01,8.84764872457495E+01,8.91666624271873E+01,8.97906826532266E+01,9.03403606035615E+01,9.07779710991873E+01,9.10356315343214E+01,9.10353963719573E+01,9.07310078787570E+01,9.01123408139880E+01,8.92092953977892E+01,8.80671356089538E+01,8.67419711761829E+01,8.52709465035641E+01,8.36851355513908E+01,8.19809124259825E+01,8.01244808805310E+01,7.80737756561353E+01,7.58209833845874E+01,7.34008789538901E+01,7.08754476416596E+01,6.83047618242023E+01,6.57562511425051E+01,6.32870183070644E+01,6.08935441268093E+01,5.85999858669438E+01,5.64975642477016E+01,5.46785299226454E+01,5.31798167959039E+01,5.20145932132034E+01,5.11243746628233E+01,5.03899651195145E+01,4.96620530517426E+01,4.88470182220396E+01,4.79084477762109E+01,4.68950500362385E+01,4.59000505805859E+01,4.50446604195242E+01,4.43984286513313E+01,4.39906715089798E+01,4.37670972411004E+01,4.36129024102320E+01,4.33754493882654E+01,4.29563748933733E+01,4.23208917293033E+01,4.15231917629945E+01,4.06634368337250E+01,3.98821993090841E+01,3.92789904037425E+01,3.88816765126661E+01,3.86602235836842E+01,THA,Thailand,SP.POP.DPND,Age dependency ratio (% of working-age population)
6.14423767522668E+00,6.19949582187321E+00,6.26976906346603E+00,6.34701880760070E+00,6.42092452904256E+00,6.48444238234861E+00,6.53672373086951E+00,6.57938426393244E+00,6.61168663605217E+00,6.63337848498154E+00,6.64477002363109E+00,6.64540001377919E+00,6.63658060063469E+00,6.62241681541757E+00,6.60777460957819E+00,6.59567931751446E+00,6.58918328273438E+00,6.58736575692400E+00,6.58507555576016E+00,6.57569558882498E+00,6.55647517245640E+00,6.52887819134542E+00,6.49890763343467E+00,6.47397237042099E+00,6.46280944220842E+00,6.47183273395692E+00,6.49968109021484E+00,6.54656049450208E+00,6.62073240383060E+00,6.73219619149917E+00,6.88680348628058E+00,7.08876979888267E+00,7.33397326060595E+00,7.60937656868960E+00,7.89506703403169E+00,8.17531473502751E+00,8.44218966927223E+00,8.69838088418780E+00,8.95088807665096E+00,9.21181998558096E+00,9.48948960279966E+00,9.78866063585625E+00,1.01044311003395E+01,1.04249356233474E+01,1.07338334260204E+01,1.10211876672203E+01,1.12857698332753E+01,1.15366188231933E+01,1.17868887627548E+01,1.20542783642132E+01,1.23529461301286E+01,1.26859793525396E+01,1.30548704519438E+01,THA,Thailand,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
