1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
,,,,,,,,,,9.60146859700000E-02,1.46448443910000E-01,1.23957419500000E-01,1.63460650350000E-01,4.79219099320000E-01,3.64272307390000E-01,3.16695103060000E-01,3.09345496830000E-01,3.14990521750000E-01,5.29859501020000E-01,7.02073243240000E-01,7.22438053810000E-01,7.22460350910000E-01,6.13112974120000E-01,5.91826598950000E-01,4.72842847210000E-01,2.56492088580000E-01,2.11441099930000E-01,1.58770962900000E-01,2.20122644140000E-01,2.49649698760000E-01,2.37219471460000E-01,2.03790779200000E-01,1.29525659580000E-01,1.60068483600000E-01,1.28506866490000E-01,1.49396232730000E-01,1.31128791410000E-01,6.42409355640000E-02,8.98150024190000E-02,1.49618141480000E-01,1.86726488060000E-01,1.28691056400000E-01,1.17294741280000E-01,1.65211007960000E-01,1.83562341000000E-01,1.88419071910000E-01,1.95152120940000E-01,3.28361677940000E-01,1.92434955710000E-01,2.29830269600000E-01,2.83923495660000E-01,,TUR,Turkey,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
,,,,,,,,,,1.63310961910000E+07,2.36753240240000E+07,2.51804565870000E+07,4.18290600060000E+07,1.69753368640000E+08,1.62136537590000E+08,1.61714446600000E+08,1.80524175230000E+08,2.03666642380000E+08,4.68311475250000E+08,4.74961602750000E+08,5.02795357810000E+08,4.55809862760000E+08,3.69390022070000E+08,3.46141087080000E+08,3.10572394270000E+08,1.89421997890000E+08,1.79910558080000E+08,1.40257973320000E+08,2.30724518170000E+08,3.69901692370000E+08,3.51982096100000E+08,3.18871438720000E+08,2.30138983230000E+08,2.03969141700000E+08,2.13682426910000E+08,2.66744815190000E+08,2.44976970570000E+08,1.71074960540000E+08,2.21137532970000E+08,3.92845669120000E+08,3.56657467860000E+08,2.93388018240000E+08,3.48891217220000E+08,6.38635170370000E+08,8.75850894360000E+08,9.87775857390000E+08,1.24906555240000E+09,2.37068428570000E+09,1.16685422000000E+09,1.66398354560000E+09,2.17826792390000E+09,,TUR,Turkey,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
,,,,,,,,,,1.46202997870000E-01,8.34670175830000E-02,6.63000421810000E-02,1.36547138620000E-01,1.11759682340000E-01,5.04648219650000E-02,6.35472955730000E-02,5.28572730120000E-02,3.94465782760000E-02,3.42577761760000E-02,5.21634388510000E-02,5.19364149430000E-02,5.75426946710000E-02,4.93920666610000E-02,4.28934736830000E-02,4.71431855620000E-02,3.08643954070000E-02,3.15372519040000E-02,1.07087747180000E-01,1.34727051690000E-01,6.63363621640000E-02,3.55743656030000E-02,3.62967863850000E-02,2.13552177270000E-02,3.13734572010000E-02,3.07376864700000E-02,2.41209958440000E-02,2.39744420240000E-02,1.97419631920000E-02,1.71497881840000E-02,2.10899034350000E-02,2.30418744700000E-02,1.70949948100000E-02,1.75934083270000E-02,2.58486438710000E-02,4.49930383570000E-02,9.61540292610000E-02,1.02933991280000E-01,1.12486645560000E-01,1.08988146740000E-01,1.51494710850000E-01,2.09788231100000E-01,,TUR,Turkey,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
,,,,,,,,,,2.48676043410000E+07,1.34935451270000E+07,1.34680549230000E+07,3.49419780410000E+07,3.95885359800000E+07,2.24617445170000E+07,3.24492410440000E+07,3.08458203320000E+07,2.55053774520000E+07,3.02784222400000E+07,3.52892390650000E+07,3.61461971680000E+07,3.63044528710000E+07,2.97578706770000E+07,2.50870671160000E+07,3.09645627510000E+07,2.27936677270000E+07,2.68343505230000E+07,9.46011166800000E+07,1.41215976240000E+08,9.82894541930000E+07,5.27846204840000E+07,5.67935828130000E+07,3.79435867030000E+07,3.99779956290000E+07,5.11109143190000E+07,4.30676896000000E+07,4.47894479540000E+07,5.25732625850000E+07,4.22252602330000E+07,5.53748171500000E+07,4.40111988850000E+07,3.89729231320000E+07,5.23312944750000E+07,9.99198133690000E+07,2.14680160820000E+08,5.04081820030000E+08,6.58826058660000E+08,8.12123767470000E+08,6.60863711000000E+08,1.09682987600000E+09,1.60950038160000E+09,,TUR,Turkey,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
,,,,,,,,,,2.42217683840000E-01,2.29915461493000E-01,1.90257461681000E-01,3.00007788970000E-01,5.90978781660000E-01,4.14737129355000E-01,3.80242398633000E-01,3.62202769842000E-01,3.54437100026000E-01,5.64117277196000E-01,7.54236682091000E-01,7.74374468753000E-01,7.80003045581000E-01,6.62505040781000E-01,6.34720072633000E-01,5.19986032772000E-01,2.87356483987000E-01,2.42978351834000E-01,2.65858710080000E-01,3.54849695830000E-01,3.15986060924000E-01,2.72793837063000E-01,2.40087565585000E-01,1.50880877307000E-01,1.91441940801000E-01,1.59244552960000E-01,1.73517228574000E-01,1.55103233434000E-01,8.39828987560000E-02,1.06964790603000E-01,1.70708044915000E-01,2.09768362530000E-01,1.45786051210000E-01,1.34888149607000E-01,1.91059651831000E-01,2.28555379357000E-01,2.84573101171000E-01,2.98086112220000E-01,4.40848323500000E-01,3.01423102450000E-01,3.81324980450000E-01,4.93711726760000E-01,,TUR,Turkey,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,TUR,Turkey,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,TUR,Turkey,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
1.32651000000000E+02,1.31418000000000E+02,1.30185000000000E+02,1.28495000000000E+02,1.26805000000000E+02,1.25115000000000E+02,1.23425000000000E+02,1.21735000000000E+02,1.20028400000000E+02,1.18321800000000E+02,1.16615200000000E+02,1.14908600000000E+02,1.13202000000000E+02,1.10270400000000E+02,1.07338800000000E+02,1.04407200000000E+02,1.01475600000000E+02,9.85440000000000E+01,9.60916000000000E+01,9.36392000000000E+01,9.11868000000000E+01,8.87344000000000E+01,8.62820000000000E+01,8.32458000000000E+01,8.02095900000000E+01,7.71733900000000E+01,7.41371900000000E+01,7.11010000000000E+01,6.90474000000000E+01,6.69938000000000E+01,6.49402100000000E+01,6.28866100000000E+01,6.08330000000000E+01,5.91522000000000E+01,5.74714000000000E+01,5.57906000000000E+01,5.41097900000000E+01,5.24290000000000E+01,5.08946000000000E+01,4.93602000000000E+01,4.78258000000000E+01,4.62914000000000E+01,4.47570000000000E+01,4.36716000000000E+01,4.25862000000000E+01,4.15008000000000E+01,4.04154000000000E+01,3.93300000000000E+01,3.76486000000000E+01,3.59672000000000E+01,3.42858000000000E+01,3.26044000000000E+01,,TUR,Turkey,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
8.44231430876357E+01,8.56122330705602E+01,8.68747225151328E+01,8.80231506532153E+01,8.88133409731914E+01,8.90948866894278E+01,8.88246937966265E+01,8.81134628962357E+01,8.71521890095357E+01,8.61818271532793E+01,8.53596344813732E+01,8.47023777230395E+01,8.41574941166958E+01,8.37118439694046E+01,8.33362298998680E+01,8.30008059130681E+01,8.27183345703028E+01,8.24718418598785E+01,8.21725554839851E+01,8.17139630570484E+01,8.10333605539893E+01,8.01192287354140E+01,7.90162126216171E+01,7.77883424802216E+01,7.65141535062479E+01,7.52440922368598E+01,7.39930687909949E+01,7.27485486055285E+01,7.14975852403106E+01,7.02210042197462E+01,6.89120169265118E+01,6.75707981289683E+01,6.62179474660647E+01,6.48902845914911E+01,6.36318343132846E+01,6.24697395894117E+01,6.14122404075896E+01,6.04457478057019E+01,5.95479208266323E+01,5.86885729808588E+01,5.78474535820630E+01,5.70199601412332E+01,5.62131104562505E+01,5.54326348221411E+01,5.46872132556199E+01,5.39818560703425E+01,5.33194149573924E+01,5.26953760638536E+01,5.20995152489419E+01,5.15192551185952E+01,5.09483366857701E+01,5.03841293979116E+01,4.98351154394119E+01,TUR,Turkey,SP.POP.DPND,Age dependency ratio (% of working-age population)
5.80719184765618E+00,5.98479998311998E+00,6.22540151008797E+00,6.49216022651374E+00,6.73483287963800E+00,6.92023778531961E+00,7.03605119740574E+00,7.09911377619862E+00,7.14034921261139E+00,7.20048333093158E+00,7.30434237610689E+00,7.45338915279460E+00,7.63148277812368E+00,7.82306200778959E+00,8.00765434899708E+00,8.17000612087642E+00,8.31426851892382E+00,8.44104945945614E+00,8.53018212877904E+00,8.55784400162787E+00,8.51263688738418E+00,8.39175002796499E+00,8.21351811860901E+00,8.01287094372680E+00,7.83184644621388E+00,7.69774223747479E+00,7.61658748467694E+00,7.58059910685343E+00,7.58431116675398E+00,7.61841717794199E+00,7.67639161009665E+00,7.75508868543558E+00,7.85610576585618E+00,7.98255997608769E+00,8.13884430151516E+00,8.32560037553278E+00,8.54378414117857E+00,8.78561805803012E+00,9.03317756742005E+00,9.26443832705788E+00,9.46502504572201E+00,9.63137903342850E+00,9.76935960633991E+00,9.88626550670894E+00,9.99278458939002E+00,1.00970608617871E+01,1.02028538592459E+01,1.03102587370665E+01,1.04195027024029E+01,1.05298137926538E+01,1.06422716427378E+01,1.07560849458335E+01,1.08768217115054E+01,TUR,Turkey,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
