1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
,,,,,,,,,,5.55615219640000E-02,9.18963656050000E-02,1.25036699960000E-01,1.50357663900000E-01,5.26287105410000E-01,7.52957880880000E-01,1.08696298780000E+00,1.62039878120000E+00,1.64458996170000E+00,3.56188303080000E+00,3.45150229970000E+00,4.21507506430000E+00,4.58426871850000E+00,4.51737748960000E+00,4.90544239040000E+00,4.54764026980000E+00,1.81925440160000E+00,1.76195454070000E+00,1.04724309890000E+00,1.04821096590000E+00,1.26447757840000E+00,1.03029500160000E+00,9.39651790760000E-01,1.08213412620000E+00,1.12978878180000E+00,1.17417212920000E+00,1.49308193300000E+00,1.21200905960000E+00,7.20157217290000E-01,9.11422061430000E-01,1.89161154190000E+00,1.54137902820000E+00,1.22447146100000E+00,1.38406112580000E+00,1.34195002050000E+00,1.77994642530000E+00,1.67068969140000E+00,1.48718946130000E+00,2.14309356580000E+00,1.22140980750000E+00,1.34464152560000E+00,1.29986635340000E+00,,GBR,United Kingdom,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
,,,,,,,,,,7.01686090040000E+07,1.31008355200000E+08,2.04439851940000E+08,2.79022965250000E+08,1.05513884090000E+09,1.79005453090000E+09,2.48669270750000E+09,4.13421069270000E+09,5.33590071650000E+09,1.49481654410000E+10,1.84786020400000E+10,2.14672608860000E+10,2.21840875850000E+10,2.08673380210000E+10,2.13795666080000E+10,2.07646719590000E+10,1.02550412130000E+10,1.22012335170000E+10,8.83148934760000E+09,8.89504416800000E+09,1.25830112630000E+10,1.07108341760000E+10,1.01706174990000E+10,1.05028354970000E+10,1.19527814530000E+10,1.34796702140000E+10,1.80871153400000E+10,1.65049917420000E+10,1.06102487480000E+10,1.36006997670000E+10,2.77984179800000E+10,2.26836322470000E+10,1.98535237440000E+10,2.60037404320000E+10,2.98978592420000E+10,4.15284694130000E+10,4.11809498980000E+10,4.25335614580000E+10,5.79727284470000E+10,2.70005205690000E+10,3.05966559390000E+10,3.21051684410000E+10,,GBR,United Kingdom,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
,,,,,,,,,,2.74252974660000E-04,1.76573552150000E-04,2.63258566200000E-04,4.29876914310000E-04,2.72471437790000E-03,2.47929284760000E-04,1.77431395000000E-03,3.74444867690000E-03,2.10213115860000E-03,2.08292864740000E-03,3.19620366210000E-03,1.64306068710000E-03,1.15906346300000E-03,1.35568306840000E-03,1.32176871610000E-03,8.89071033370000E-04,1.84902319920000E-05,5.30805736890000E-05,5.43280898170000E-04,1.10563571700000E-03,2.39752034190000E-04,1.20265694940000E-05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.30408293880000E-05,2.46843939350000E-06,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,4.20680067640000E-06,4.94558598630000E-06,8.48625384560000E-06,2.09848423050000E-05,8.27007158070000E-05,1.36217478210000E-04,1.75157960580000E-04,2.94336280150000E-04,,GBR,United Kingdom,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
,,,,,,,,,,3.46353898650000E+05,2.51724978320000E+05,4.30437961930000E+05,7.97734736040000E+05,5.46270645970000E+06,5.89418015020000E+05,4.05917552860000E+06,9.55341360270000E+06,6.82040108270000E+06,8.74143304370000E+06,1.71117879640000E+07,8.36806269970000E+06,5.60891321140000E+06,6.26237167550000E+06,5.76071229800000E+06,4.05952697670000E+06,1.04228463570000E+05,3.67573884470000E+05,4.58153361910000E+06,9.38234654780000E+06,2.38580944270000E+06,1.25026901390000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.57975915500000E+05,3.36149069860000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,9.37250512770000E+04,1.15386965270000E+05,2.09178279020000E+05,6.00165683740000E+05,2.23713337410000E+06,3.01122751720000E+06,3.98563316130000E+06,7.26975956240000E+06,,GBR,United Kingdom,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
,,,,,,,,,,5.58357749386600E-02,9.20729391571500E-02,1.25299958526200E-01,1.50787540814310E-01,5.29011819787900E-01,7.53205810164760E-01,1.08873730175000E+00,1.62414322987690E+00,1.64669209285860E+00,3.56396595944740E+00,3.45469850336210E+00,4.21671812498710E+00,4.58542778196300E+00,4.51873317266840E+00,4.90676415911610E+00,4.54852934083337E+00,1.81927289183199E+00,1.76200762127369E+00,1.04778637979817E+00,1.04931660161700E+00,1.26471733043419E+00,1.03030702816949E+00,9.39651790760000E-01,1.08213412620000E+00,1.12978878180000E+00,1.17417212920000E+00,1.49309497382939E+00,1.21201152803939E+00,7.20157217290000E-01,9.11422061430000E-01,1.89161154190000E+00,1.54137902820000E+00,1.22447146100000E+00,1.38406112580000E+00,1.34195422730068E+00,1.77995137088599E+00,1.67069817765385E+00,1.48721044614231E+00,2.14317626651581E+00,1.22154602497821E+00,1.34481668356058E+00,1.30016068968015E+00,,GBR,United Kingdom,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,GBR,United Kingdom,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,GBR,United Kingdom,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
4.69886000000000E+01,4.81098000000000E+01,4.92310000000000E+01,4.91846000000000E+01,4.91382000000000E+01,4.90918000000000E+01,4.90454100000000E+01,4.89990000000000E+01,4.79990000000000E+01,4.69990000000000E+01,4.59990000000000E+01,4.49990000000000E+01,4.39990000000000E+01,4.09996000000000E+01,3.80002000000000E+01,3.50008000000000E+01,3.20014000000000E+01,2.90020000000000E+01,2.86018000000000E+01,2.82016000000000E+01,2.78014000000000E+01,2.74012000000000E+01,2.70010000000000E+01,2.80006000000000E+01,2.90002000000000E+01,2.99998000000000E+01,3.09994000000000E+01,3.19990000000000E+01,3.17990000000000E+01,3.15990000000000E+01,3.13990000000000E+01,3.11990000000000E+01,3.09990000000000E+01,3.09994000000000E+01,3.09998000000000E+01,3.10002000000000E+01,3.10006000000000E+01,3.10010000000000E+01,3.02008000000000E+01,2.94006000000000E+01,2.86004000000000E+01,2.78002000000000E+01,2.70000000000000E+01,2.67696000000000E+01,2.65392000000000E+01,2.63088000000000E+01,2.60784000000000E+01,2.58480000000000E+01,2.58300000000000E+01,2.58120000000000E+01,2.57940000000000E+01,2.57760000000000E+01,,GBR,United Kingdom,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
5.40019692024261E+01,5.41955075409588E+01,5.43279788571426E+01,5.44741257148164E+01,5.47336245410124E+01,5.51700804274753E+01,5.58103383756054E+01,5.66140793157502E+01,5.74931424483663E+01,5.83193073240017E+01,5.89925524399352E+01,5.94888722714094E+01,5.98208304435066E+01,5.99688320629410E+01,5.99206966759953E+01,5.96742014432222E+01,5.92285357424455E+01,5.86006686609931E+01,5.78328950557886E+01,5.69811644634406E+01,5.60961124479837E+01,5.51827030338247E+01,5.42627361321308E+01,5.34196211422992E+01,5.27528806943337E+01,5.23271017349823E+01,5.21693217625878E+01,5.22511750005692E+01,5.25101703894389E+01,5.28533783905918E+01,5.32068717030402E+01,5.35566173259178E+01,5.39045718131718E+01,5.42108887197292E+01,5.44316690030771E+01,5.45359097454234E+01,5.45109917209919E+01,5.43633069988153E+01,5.41077866217624E+01,5.37699381961525E+01,5.33753321648106E+01,5.29287072220056E+01,5.24455419985866E+01,5.19751291339892E+01,5.15772357878710E+01,5.12958673898716E+01,5.11392841271244E+01,5.11042274762495E+01,5.12052427403091E+01,5.14554821034045E+01,5.18585384102842E+01,5.24268874967904E+01,5.31446550617179E+01,GBR,United Kingdom,SP.POP.DPND,Age dependency ratio (% of working-age population)
1.80549044419849E+01,1.81946496967547E+01,1.83292847436636E+01,1.84766573451694E+01,1.86603200329224E+01,1.88962939930429E+01,1.91912783087674E+01,1.95383913122391E+01,1.99227292698033E+01,2.03209441229032E+01,2.07135863233797E+01,2.10934509325216E+01,2.14600187607058E+01,2.18072231772703E+01,2.21300228005826E+01,2.24235964459723E+01,2.26898563545361E+01,2.29255476355919E+01,2.31162198736368E+01,2.32441809793874E+01,2.33012332083424E+01,2.32765771339931E+01,2.31848365825071E+01,2.30734349903773E+01,2.30051177899314E+01,2.30221051639458E+01,2.31415978082006E+01,2.33461377671469E+01,2.36002239039029E+01,2.38507439928676E+01,2.40582602688647E+01,2.42141165433265E+01,2.43285227194536E+01,2.44034081884528E+01,2.44457416648580E+01,2.44617927071527E+01,2.44520864088395E+01,2.44170995592227E+01,2.43641122694591E+01,2.43023515753287E+01,2.42405333687191E+01,2.41841170202377E+01,2.41388345671924E+01,2.41139774636854E+01,2.41197521072984E+01,2.41650371856419E+01,2.42461485844645E+01,2.43662007796154E+01,2.45472592548500E+01,2.48172670715586E+01,2.51919752442044E+01,2.56864251085707E+01,2.62848322263707E+01,GBR,United Kingdom,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
