1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
,,,,,,,,,,5.68353259470000E-01,6.80163810720000E-01,6.80873688210000E-01,8.77459201170000E-01,2.66206144340000E+00,2.33701629580000E+00,2.29225051930000E+00,2.26747783760000E+00,2.28794183160000E+00,4.12502889680000E+00,4.39836925240000E+00,3.88400571450000E+00,3.20384896650000E+00,2.37872060730000E+00,2.13113492330000E+00,1.70604163310000E+00,7.28248423820000E-01,7.19103137920000E-01,4.44450871920000E-01,4.91135680230000E-01,7.68269908590000E-01,6.19085450350000E-01,4.90017386620000E-01,4.78188003590000E-01,3.89375149970000E-01,3.97208203050000E-01,5.59126064940000E-01,4.60486126870000E-01,1.91265332770000E-01,1.64647977610000E-01,6.48442913970000E-01,5.41734774050000E-01,3.64210874880000E-01,6.06606459890000E-01,7.80903454620000E-01,1.07172046200000E+00,1.05547860210000E+00,1.09714858260000E+00,1.81345387160000E+00,6.54202693780000E-01,8.14353751550000E-01,1.03776310310000E+00,,USA,United States,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
,,,,,,,,,,5.82164243670000E+09,7.54777780760000E+09,8.33797918580000E+09,1.20554119650000E+10,3.97073084900000E+10,3.78620010080000E+10,4.13178156100000E+10,4.56352589590000E+10,5.19705987040000E+10,1.04297230630000E+11,1.21236650070000E+11,1.20411945160000E+11,1.04429457060000E+11,8.31172554610000E+10,8.32250810230000E+10,7.11248756850000E+10,3.18601402940000E+10,3.36813527740000E+10,2.26385496120000E+10,2.65674934870000E+10,4.38297982850000E+10,3.64845628450000E+10,3.04330198140000E+10,3.11286044690000E+10,2.70452191670000E+10,2.91411798170000E+10,4.35536839540000E+10,3.82954077690000E+10,1.69147409690000E+10,1.54767452470000E+10,6.53014436510000E+10,5.62813674110000E+10,3.88299782140000E+10,6.75838455160000E+10,9.30157531910000E+10,1.36714020730000E+11,1.43853289630000E+11,1.54666132840000E+11,2.60972333200000E+11,9.10879120680000E+10,1.18938808470000E+11,1.57857258910000E+11,,USA,United States,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
,,,,,,,,,,1.14510829590000E-01,6.48659783680000E-02,5.95619212580000E-02,1.13915441310000E-01,1.85406300540000E-01,1.25053016950000E-01,7.64611083470000E-02,5.39737886460000E-02,3.95914282530000E-02,7.00757604990000E-02,8.33711053540000E-02,6.07065196110000E-02,3.03300676770000E-02,3.14226949630000E-02,2.41140495890000E-02,2.00738352790000E-02,1.41112578260000E-02,2.15720924050000E-02,7.27153644900000E-02,3.98005242060000E-02,3.51776651870000E-02,2.50704103320000E-02,2.31384823320000E-02,1.22381532380000E-02,1.95266588710000E-02,2.60543207320000E-02,1.79712748750000E-02,1.93737046630000E-02,1.04708222420000E-02,8.32595064040000E-03,9.44653801460000E-03,6.80438280760000E-03,5.89287069140000E-03,7.19974555110000E-03,1.49579125160000E-02,1.99577592700000E-02,5.23355358630000E-02,6.09862287380000E-02,1.07268225010000E-01,5.89722785860000E-02,9.11482346710000E-02,1.19927975130000E-01,,USA,United States,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
,,,,,,,,,,1.17293442750000E+09,7.19817761950000E+08,7.29395287730000E+08,1.56508424810000E+09,2.76552037880000E+09,2.02598392750000E+09,1.37821147790000E+09,1.08627647030000E+09,8.99319292770000E+08,1.77179552850000E+09,2.29804114800000E+09,1.88202352100000E+09,9.88608555930000E+08,1.09797180740000E+09,9.41701864530000E+08,8.36878192790000E+08,6.17353418610000E+08,1.01039366410000E+09,3.70382980560000E+09,2.15296955640000E+09,2.00688579890000E+09,1.47747449210000E+09,1.43703858370000E+09,7.96667061360000E+08,1.35628267180000E+09,1.91147524050000E+09,1.39989042770000E+09,1.61117540090000E+09,9.25997635800000E+08,7.82631034250000E+08,9.51313610760000E+08,7.06914134260000E+08,6.28262515890000E+08,8.02145251090000E+08,1.78168183350000E+09,2.54591156130000E+09,7.13291485380000E+09,8.59728965150000E+09,1.54368629930000E+10,8.21100520900000E+09,1.33124731180000E+10,1.82426040810000E+10,,USA,United States,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
,,,,,,,,,,6.82864089060000E-01,7.45029789088000E-01,7.40435609468000E-01,9.91374642480000E-01,2.84746774394000E+00,2.46206931275000E+00,2.36871162764700E+00,2.32145162624600E+00,2.32753325985300E+00,4.19510465729900E+00,4.48174035775400E+00,3.94471223411100E+00,3.23417903417700E+00,2.41014330226300E+00,2.15524897288900E+00,1.72611546837900E+00,7.42359681646000E-01,7.40675230325000E-01,5.17166236410000E-01,5.30936204436000E-01,8.03447573777000E-01,6.44155860682000E-01,5.13155868952000E-01,4.90426156828000E-01,4.08901808841000E-01,4.23262523782000E-01,5.77097339815000E-01,4.79859831533000E-01,2.01736155012000E-01,1.72973928250400E-01,6.57889451984600E-01,5.48539156857600E-01,3.70103745571400E-01,6.13806205441100E-01,7.95861367136000E-01,1.09167822127000E+00,1.10781413796300E+00,1.15813481133800E+00,1.92072209661000E+00,7.13174972366000E-01,9.05501986221000E-01,1.15769107823000E+00,,USA,United States,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,USA,United States,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,USA,United States,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
8.49872000000000E+01,8.27346000000000E+01,8.04820000000000E+01,7.79506000000000E+01,7.54192000000000E+01,7.28877900000000E+01,7.03563900000000E+01,6.78250000000000E+01,6.64660000000000E+01,6.51070000000000E+01,6.37480000000000E+01,6.23890000000000E+01,6.10300000000000E+01,5.93726000000000E+01,5.77152000000000E+01,5.60578000000000E+01,5.44004100000000E+01,5.27430000000000E+01,5.25098000000000E+01,5.22766000000000E+01,5.20434000000000E+01,5.18102000000000E+01,5.15770000000000E+01,5.19174000000000E+01,5.22578000000000E+01,5.25982000000000E+01,5.29386000000000E+01,5.32790000000000E+01,5.45456000000000E+01,5.58122000000000E+01,5.70788000000000E+01,5.83454100000000E+01,5.96120000000000E+01,5.79556000000000E+01,5.62992000000000E+01,5.46428000000000E+01,5.29864000000000E+01,5.13300000000000E+01,4.97042000000000E+01,4.80784000000000E+01,4.64526000000000E+01,4.48268000000000E+01,4.32010000000000E+01,4.24946000000000E+01,4.17882000000000E+01,4.10817900000000E+01,4.03753900000000E+01,3.96690000000000E+01,3.79354000000000E+01,3.62018000000000E+01,3.44682000000000E+01,3.27346000000000E+01,,USA,United States,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
6.65288174817649E+01,6.67800084120379E+01,6.68166497067454E+01,6.66536161260562E+01,6.63118530565157E+01,6.58105160237406E+01,6.51677182239078E+01,6.43951624636397E+01,6.35002025789902E+01,6.24889868810774E+01,6.13755998320400E+01,6.01749906712661E+01,5.89174428176613E+01,5.76502852353747E+01,5.64274442608193E+01,5.52892682026410E+01,5.42487016098719E+01,5.33100761438924E+01,5.24903128766899E+01,5.18044982530645E+01,5.12608848009081E+01,5.08591398616772E+01,5.05928332023934E+01,5.04540498863434E+01,5.04315084537387E+01,5.05119129614187E+01,5.06884908720865E+01,5.09462658730409E+01,5.12531842365362E+01,5.15701471608409E+01,5.18650060950154E+01,5.21294710926496E+01,5.23559748274150E+01,5.25160059660346E+01,5.25779527347321E+01,5.25229644976122E+01,5.23466970084620E+01,5.20639212704447E+01,5.17005271648822E+01,5.12906764253651E+01,5.08624736970168E+01,5.04239323500859E+01,4.99836596165389E+01,4.95697211691845E+01,4.92145522664168E+01,4.89428099342785E+01,4.87626849829505E+01,4.86756477165870E+01,4.86894046320687E+01,4.88100176782290E+01,4.90399565861081E+01,4.93845446741524E+01,4.98396381931493E+01,USA,United States,SP.POP.DPND,Age dependency ratio (% of working-age population)
1.52330646831402E+01,1.53688893673228E+01,1.54926622223209E+01,1.55982992105721E+01,1.56774776179664E+01,1.57264671767367E+01,1.57443409779942E+01,1.57390131473988E+01,1.57261390265680E+01,1.57255018771425E+01,1.57508009405615E+01,1.58055528925307E+01,1.58861397599810E+01,1.59896469833741E+01,1.61109034182401E+01,1.62457262633306E+01,1.63945775589512E+01,1.65573226694377E+01,1.67287670042374E+01,1.69026629719294E+01,1.70749270018997E+01,1.72414877589238E+01,1.74033050067937E+01,1.75671101245524E+01,1.77422479085438E+01,1.79336644996437E+01,1.81427593312601E+01,1.83625525502527E+01,1.85793371825932E+01,1.87750220783470E+01,1.89362373090028E+01,1.90611406182048E+01,1.91519334511990E+01,1.92049905730556E+01,1.92172403007324E+01,1.91886372064949E+01,1.91212282650363E+01,1.90218875546970E+01,1.89020302352462E+01,1.87754376449385E+01,1.86539283610442E+01,1.85423174044618E+01,1.84462475190481E+01,1.83787309555987E+01,1.83545183188318E+01,1.83849255058661E+01,1.84727355435571E+01,1.86190714124480E+01,1.88303800478131E+01,1.91134057651395E+01,1.94716877292647E+01,1.99091799259049E+01,2.04218312463526E+01,USA,United States,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
