1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,NPL,Nepal,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,NPL,Nepal,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,5.90755579330000E-02,0.00000000000000E+00,0.00000000000000E+00,6.43930008300000E-01,6.72804998010000E-01,9.83124167950000E-01,8.97417903330000E-01,2.27622347710000E-01,1.11690167210000E-01,3.90173085940000E-01,1.18574220770000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,NPL,Nepal,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
,,,,,,,,,,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,7.19512866660000E+05,0.00000000000000E+00,0.00000000000000E+00,8.93965420190000E+06,1.08407450320000E+07,1.82816036170000E+07,1.75753308790000E+07,5.20268807890000E+06,2.68926856950000E+06,9.59997453650000E+06,3.10921230410000E+06,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,,NPL,Nepal,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
,,,,,,,,,,3.20132705850000E+00,3.86075204830000E+00,3.58661169920000E+00,4.27415355000000E+00,4.37170010953300E+00,3.84728760180000E+00,4.06401025180000E+00,6.01949598250000E+00,5.85590175171000E+00,5.88432238415000E+00,6.41705457453000E+00,4.78402485591000E+00,4.20901605831000E+00,4.33954264564000E+00,3.75272745837000E+00,3.19591118770000E+00,3.45260843770000E+00,4.10282281350000E+00,3.50233632630000E+00,3.31139345180000E+00,3.65911400000000E+00,3.50184097810000E+00,4.11483144020000E+00,3.71808760810000E+00,3.26396834780000E+00,3.41857472660000E+00,3.22585679090000E+00,3.07031367260000E+00,3.58980576850000E+00,3.46049697650000E+00,3.17162363190000E+00,2.74781749160000E+00,3.23089641930000E+00,2.89576472410000E+00,2.43556955260000E+00,2.26150007710000E+00,2.51217494320000E+00,4.42409525940000E+00,3.19808466690000E+00,4.07450421390000E+00,2.54360973930000E+00,2.23645848240000E+00,,NPL,Nepal,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
,,,,,,,,,,3.20132705850000E+00,3.86075204830000E+00,3.58661169920000E+00,4.27415355000000E+00,4.31262455160000E+00,3.84728760180000E+00,4.06401025180000E+00,5.37556597420000E+00,5.18309675370000E+00,4.90119821620000E+00,5.51963667120000E+00,4.55640250820000E+00,4.09732589110000E+00,3.94936955970000E+00,3.63415323760000E+00,3.19591118770000E+00,3.45260843770000E+00,4.10282281350000E+00,3.50233632630000E+00,3.31139345180000E+00,3.65911400000000E+00,3.50184097810000E+00,4.11483144020000E+00,3.71808760810000E+00,3.26396834780000E+00,3.41857472660000E+00,3.22585679090000E+00,3.07031367260000E+00,3.58980576850000E+00,3.46049697650000E+00,3.17162363190000E+00,2.74781749160000E+00,3.23089641930000E+00,2.89576472410000E+00,2.43556955260000E+00,2.26150007710000E+00,2.51217494320000E+00,4.42409525940000E+00,3.19808466690000E+00,4.07450421390000E+00,2.54360973930000E+00,2.23645848240000E+00,,NPL,Nepal,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
,,,,,,,,,,2.77227018750000E+07,3.40813859650000E+07,3.67304477200000E+07,4.15492007160000E+07,5.25257646740000E+07,6.06251458350000E+07,5.92573923860000E+07,7.46287645070000E+07,8.35139907510000E+07,9.11398233890000E+07,1.08098401500000E+08,1.04144172360000E+08,9.86551458680000E+07,9.71718669860000E+07,9.52935122630000E+07,8.37352373180000E+07,9.84259516890000E+07,1.21292074240000E+08,1.22012260980000E+08,1.16953096600000E+08,1.33200337520000E+08,1.37764886570000E+08,1.40497574510000E+08,1.36371707450000E+08,1.33130607750000E+08,1.50641829290000E+08,1.46111324620000E+08,1.51255684580000E+08,1.74574230510000E+08,1.74604302150000E+08,1.74891326150000E+08,1.65699002540000E+08,1.95240096300000E+08,1.83063948860000E+08,1.76605893200000E+08,1.84376159710000E+08,2.29702916130000E+08,4.59334625750000E+08,4.06002573250000E+08,5.31861346890000E+08,4.10443200960000E+08,4.24672080390000E+08,,NPL,Nepal,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
9.33780000000000E+01,9.33780000000000E+01,9.33780000000000E+01,9.39246000000000E+01,9.44712000000000E+01,9.50178000000000E+01,9.55644000000000E+01,9.61110000000000E+01,9.74356000000000E+01,9.87602000000000E+01,1.00084800000000E+02,1.01409400000000E+02,1.02734000000000E+02,1.04810800000000E+02,1.06887600000000E+02,1.08964400000000E+02,1.11041200000000E+02,1.13118000000000E+02,1.16017000000000E+02,1.18916000000000E+02,1.21815000000000E+02,1.24714000000000E+02,1.27613000000000E+02,1.28898800000000E+02,1.30184600000000E+02,1.31470400000000E+02,1.32756200000000E+02,1.34042000000000E+02,1.34379400000000E+02,1.34716800000000E+02,1.35054200000000E+02,1.35391600000000E+02,1.35729000000000E+02,1.34451600000000E+02,1.33174200000000E+02,1.31896800000000E+02,1.30619400000000E+02,1.29342000000000E+02,1.26264200000000E+02,1.23186400000000E+02,1.20108600000000E+02,1.17030800000000E+02,1.13953000000000E+02,1.10115800000000E+02,1.06278600000000E+02,1.02441400000000E+02,9.86042100000000E+01,9.47670000000000E+01,9.05504000000000E+01,8.63338000000000E+01,8.21172000000000E+01,7.79006000000000E+01,,NPL,Nepal,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
7.19167417132297E+01,7.25231513900163E+01,7.32982577889310E+01,7.41654753905208E+01,7.50202372825342E+01,7.57872805148463E+01,7.64449873766414E+01,7.70105397610928E+01,7.74961886373319E+01,7.79264249033482E+01,7.83201164933525E+01,7.86774304171055E+01,7.89940372936085E+01,7.92787465157303E+01,7.95417346969456E+01,7.97914228613367E+01,8.00322283230147E+01,8.02673355058510E+01,8.05020399821139E+01,8.07414681740220E+01,8.09894725784484E+01,8.12300743471627E+01,8.14617216140671E+01,8.17150158091832E+01,8.20290607864514E+01,8.24185781449259E+01,8.29064883149990E+01,8.34536462730902E+01,8.39428614577266E+01,8.42250644451114E+01,8.42104799925907E+01,8.38794964876565E+01,8.33004829412321E+01,8.25803753504471E+01,8.18523367466022E+01,8.12043146794956E+01,8.06333265759369E+01,8.01143873518411E+01,7.96720096585777E+01,7.93291299132708E+01,7.90879274895568E+01,7.89499893542301E+01,7.88762482303877E+01,7.87792647289597E+01,7.85498175671317E+01,7.81094129463607E+01,7.74565820474120E+01,7.66032264327639E+01,7.55116677257418E+01,7.41460726955378E+01,7.25030110575550E+01,7.05921894121089E+01,6.84753107481484E+01,NPL,Nepal,SP.POP.DPND,Age dependency ratio (% of working-age population)
4.69675256164437E+00,4.78604886870526E+00,4.87323867544625E+00,4.95904884092122E+00,5.04344143130640E+00,5.12634342211594E+00,5.20785649520586E+00,5.28794790038702E+00,5.36576081407294E+00,5.44021002112225E+00,5.51073727311792E+00,5.57733397062984E+00,5.64021061554801E+00,5.69898606196382E+00,5.75330262619079E+00,5.80301879893838E+00,5.84851091446644E+00,5.89031028896308E+00,5.92926446755928E+00,5.96634009045346E+00,6.00231439161289E+00,6.03695603464654E+00,6.07065099638383E+00,6.10551500754639E+00,6.14415826535241E+00,6.18789084501506E+00,6.23785683276475E+00,6.29263479498942E+00,6.34844132320351E+00,6.40005085192077E+00,6.44403063578559E+00,6.48271300381431E+00,6.51828805944288E+00,6.54798889155798E+00,6.56866247831370E+00,6.58057021252298E+00,6.57925468077744E+00,6.57116564731212E+00,6.57859862893708E+00,6.62884874692820E+00,6.73741348212148E+00,6.90889388368949E+00,7.13045990231214E+00,7.37859442961233E+00,7.62179553937351E+00,7.83774010500236E+00,8.02353958303548E+00,8.18450866157147E+00,8.31720645579031E+00,8.41925383397493E+00,8.49099064862882E+00,8.52927481851184E+00,8.53952242405374E+00,NPL,Nepal,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
