1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country Code,Country Name,Indicator Code,Indicator Name
6.41E-01,1.55E-01,1.58E-01,1.45E-01,4.98E-01,1.02E+00,8.78E-01,6.17E-01,6.20E-01,8.49E-01,1.11E+00,1.13E+00,1.49E+00,1.74E+00,1.73E+00,1.77E+00,7.77E-01,6.61E-01,3.78E-01,3.88E-01,4.48E-01,3.10E-01,2.21E-01,2.03E-01,1.70E-01,1.18E-01,1.44E-01,1.11E-01,7.32E-02,8.41E-02,2.11E-01,2.25E-01,1.65E-01,2.14E-01,1.91E-01,2.89E-01,2.40E-01,1.99E-01,2.78E-01,1.31E-01,1.11E-01,1.02E-01,CHL,Chile,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
5.46E+07,1.59E+07,1.75E+07,2.30E+07,7.61E+07,7.06E+07,8.37E+07,8.48E+07,9.23E+07,1.70E+08,2.95E+08,3.52E+08,3.32E+08,3.13E+08,2.96E+08,2.56E+08,1.23E+08,1.27E+08,8.58E+07,1.03E+08,1.34E+08,1.07E+08,9.39E+07,9.32E+07,8.93E+07,8.11E+07,1.06E+08,8.92E+07,5.67E+07,5.95E+07,1.62E+08,1.57E+08,1.12E+08,1.57E+08,1.77E+08,3.29E+08,3.27E+08,3.07E+08,4.64E+08,2.12E+08,2.25E+08,2.39E+08,CHL,Chile,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
6.43E+00,4.01E+00,3.50E+00,4.52E+00,6.57E+00,7.14E+00,7.40E+00,4.65E+00,4.08E+00,5.14E+00,4.70E+00,2.80E+00,3.51E+00,5.00E+00,4.29E+00,5.54E+00,4.54E+00,5.44E+00,7.83E+00,8.38E+00,6.63E+00,5.43E+00,4.44E+00,3.28E+00,4.12E+00,4.80E+00,3.99E+00,4.06E+00,2.93E+00,3.71E+00,4.73E+00,4.01E+00,3.87E+00,4.61E+00,7.82E+00,8.70E+00,1.50E+01,1.45E+01,1.27E+01,9.51E+00,1.19E+01,1.23E+01,CHL,Chile,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
5.47E+08,4.13E+08,3.89E+08,7.16E+08,1.00E+09,4.95E+08,7.06E+08,6.39E+08,6.07E+08,1.03E+09,1.25E+09,8.68E+08,7.82E+08,8.99E+08,7.36E+08,7.98E+08,7.16E+08,1.04E+09,1.77E+09,2.21E+09,1.97E+09,1.87E+09,1.89E+09,1.51E+09,2.17E+09,3.29E+09,2.92E+09,3.25E+09,2.27E+09,2.63E+09,3.62E+09,2.80E+09,2.64E+09,3.38E+09,7.25E+09,9.92E+09,2.04E+10,2.24E+10,2.12E+10,1.54E+10,2.39E+10,2.89E+10,CHL,Chile,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
7.07E+00,4.17E+00,3.65E+00,4.67E+00,7.07E+00,8.15E+00,8.28E+00,5.27E+00,4.70E+00,5.99E+00,5.81E+00,3.93E+00,5.00E+00,6.74E+00,6.02E+00,7.32E+00,5.31E+00,6.10E+00,8.21E+00,8.76E+00,7.08E+00,5.74E+00,4.66E+00,3.48E+00,4.29E+00,4.92E+00,4.13E+00,4.17E+00,3.01E+00,3.80E+00,4.94E+00,4.23E+00,4.04E+00,4.82E+00,8.01E+00,8.99E+00,1.52E+01,1.47E+01,1.30E+01,9.64E+00,1.20E+01,1.24E+01,CHL,Chile,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,CHL,Chile,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,CHL,Chile,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
8.36E+01,8.38E+01,8.41E+01,8.15E+01,7.89E+01,7.64E+01,7.38E+01,7.12E+01,6.98E+01,6.84E+01,6.71E+01,6.57E+01,6.43E+01,6.42E+01,6.42E+01,6.41E+01,6.41E+01,6.40E+01,6.48E+01,6.56E+01,6.65E+01,6.73E+01,6.81E+01,6.79E+01,6.76E+01,6.74E+01,6.71E+01,6.69E+01,6.58E+01,6.48E+01,6.37E+01,6.27E+01,6.16E+01,6.10E+01,6.04E+01,5.98E+01,5.91E+01,5.85E+01,5.79E+01,5.72E+01,5.66E+01,5.59E+01,CHL,Chile,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
8.11E+01,8.00E+01,7.86E+01,7.71E+01,7.54E+01,7.35E+01,7.13E+01,6.91E+01,6.68E+01,6.48E+01,6.30E+01,6.16E+01,6.05E+01,5.95E+01,5.88E+01,5.81E+01,5.76E+01,5.71E+01,5.67E+01,5.65E+01,5.65E+01,5.65E+01,5.67E+01,5.69E+01,5.70E+01,5.69E+01,5.66E+01,5.61E+01,5.55E+01,5.48E+01,5.39E+01,5.30E+01,5.20E+01,5.10E+01,5.00E+01,4.91E+01,4.82E+01,4.74E+01,4.67E+01,4.61E+01,4.56E+01,4.53E+01,CHL,Chile,SP.POP.DPND,Age dependency ratio (% of working-age population)
9.20E+00,9.22E+00,9.24E+00,9.26E+00,9.27E+00,9.26E+00,9.24E+00,9.20E+00,9.16E+00,9.13E+00,9.11E+00,9.11E+00,9.12E+00,9.15E+00,9.19E+00,9.23E+00,9.28E+00,9.33E+00,9.39E+00,9.47E+00,9.58E+00,9.71E+00,9.86E+00,1.00E+01,1.02E+01,1.04E+01,1.05E+01,1.07E+01,1.08E+01,1.10E+01,1.12E+01,1.13E+01,1.15E+01,1.16E+01,1.18E+01,1.20E+01,1.22E+01,1.25E+01,1.27E+01,1.30E+01,1.34E+01,1.37E+01,CHL,Chile,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
7.19E+01,7.07E+01,6.94E+01,6.79E+01,6.61E+01,6.42E+01,6.21E+01,5.99E+01,5.77E+01,5.56E+01,5.39E+01,5.25E+01,5.13E+01,5.04E+01,4.96E+01,4.89E+01,4.83E+01,4.78E+01,4.74E+01,4.70E+01,4.69E+01,4.68E+01,4.69E+01,4.69E+01,4.68E+01,4.66E+01,4.61E+01,4.55E+01,4.47E+01,4.38E+01,4.28E+01,4.17E+01,4.06E+01,3.94E+01,3.82E+01,3.71E+01,3.60E+01,3.49E+01,3.39E+01,3.30E+01,3.22E+01,3.16E+01,CHL,Chile,SP.POP.DPND.YG,"Age dependency ratio, young (% of working-age population)"
2.92E+01,2.83E+01,2.75E+01,2.66E+01,2.57E+01,2.48E+01,2.41E+01,2.35E+01,2.31E+01,2.29E+01,2.28E+01,2.30E+01,2.31E+01,2.34E+01,2.35E+01,2.37E+01,2.37E+01,2.37E+01,2.36E+01,2.34E+01,2.31E+01,2.26E+01,2.21E+01,2.15E+01,2.08E+01,2.00E+01,1.93E+01,1.85E+01,1.78E+01,1.72E+01,1.67E+01,1.63E+01,1.59E+01,1.56E+01,1.53E+01,1.51E+01,1.49E+01,1.48E+01,1.46E+01,1.45E+01,1.43E+01,1.42E+01,CHL,Chile,SP.DYN.CBRT.IN,"Birth rate, crude (per 1,000 people)"
1.40E+06,-1.00E+05,-2.10E+06,-5.62E+07,3.86E+08,-1.63E+09,-6.20E+08,3.16E+09,1.52E+10,2.24E+10,4.71E+10,5.21E+10,-3.62E+10,-3.40E+10,2.40E+10,9.23E+09,5.97E+10,1.21E+11,1.30E+11,9.74E+10,1.44E+11,2.37E+11,1.48E+11,1.90E+11,1.10E+11,2.95E+11,3.13E+11,2.12E+11,2.82E+11,2.28E+10,1.07E+12,3.90E+11,3.73E+11,1.02E+12,9.15E+11,1.43E+12,1.68E+12,1.26E+12,1.18E+12,-1.46E+12,1.44E+12,1.28E+12,CHL,Chile,NE.GDI.STKB.CN,Changes in inventories (current LCU)
1.24E+08,-8.19E+06,-1.01E+08,-7.84E+08,6.52E+08,-3.31E+08,-4.75E+07,1.47E+08,4.81E+08,6.00E+08,1.21E+09,1.34E+09,-7.11E+08,-4.32E+08,2.44E+08,5.74E+07,3.09E+08,5.52E+08,5.30E+08,3.65E+08,4.74E+08,6.79E+08,4.09E+08,4.69E+08,2.63E+08,7.43E+08,7.59E+08,5.05E+08,6.12E+08,4.48E+07,1.98E+09,6.14E+08,5.41E+08,1.48E+09,1.50E+09,2.55E+09,3.17E+09,2.41E+09,2.27E+09,-2.61E+09,2.82E+09,2.65E+09,CHL,Chile,NE.GDI.STKB.CD,Changes in inventories (current US$)
3.10E+01,3.47E+01,3.51E+01,3.07E+01,3.23E+01,3.25E+01,3.26E+01,3.84E+01,3.74E+01,4.17E+01,4.11E+01,4.34E+01,4.40E+01,4.10E+01,4.53E+01,4.54E+01,4.72E+01,4.98E+01,5.34E+01,5.78E+01,6.08E+01,6.33E+01,6.67E+01,6.96E+01,7.47E+01,7.88E+01,8.17E+01,7.91E+01,8.09E+01,8.00E+01,8.20E+01,8.90E+01,9.06E+01,9.43E+01,9.58E+01,1.01E+02,1.04E+02,1.00E+02,1.01E+02,1.03E+02,1.09E+02,1.17E+02,CHL,Chile,AG.PRD.CROP.XD,Crop production index (2004-2006 = 100)
1.13E-02,1.22E-02,2.08E-02,7.16E-02,5.93E-01,4.91E+00,1.31E+01,2.15E+01,3.17E+01,3.73E+01,3.90E+01,3.90E+01,5.09E+01,7.88E+01,9.85E+01,1.61E+02,1.93E+02,2.19E+02,2.45E+02,2.67E+02,3.05E+02,3.49E+02,3.63E+02,4.04E+02,4.20E+02,3.97E+02,4.12E+02,4.19E+02,4.60E+02,5.09E+02,5.39E+02,6.35E+02,6.89E+02,6.91E+02,6.10E+02,5.60E+02,5.30E+02,5.22E+02,5.22E+02,5.61E+02,5.10E+02,4.84E+02,CHL,Chile,PA.NUS.ATLS,DEC alternative conversion factor (LCU per US$)
9.52E+00,9.21E+00,8.91E+00,8.61E+00,8.31E+00,8.01E+00,7.73E+00,7.45E+00,7.20E+00,6.96E+00,6.75E+00,6.56E+00,6.40E+00,6.25E+00,6.13E+00,6.02E+00,5.93E+00,5.84E+00,5.76E+00,5.69E+00,5.62E+00,5.55E+00,5.49E+00,5.44E+00,5.40E+00,5.36E+00,5.31E+00,5.26E+00,5.21E+00,5.15E+00,5.10E+00,5.06E+00,5.05E+00,5.06E+00,5.10E+00,5.16E+00,5.23E+00,5.30E+00,5.36E+00,5.41E+00,5.45E+00,5.48E+00,CHL,Chile,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)"
1.46E+01,1.10E+01,9.82E+00,1.37E+01,2.04E+01,2.54E+01,2.51E+01,2.06E+01,2.06E+01,2.33E+01,2.28E+01,1.64E+01,1.94E+01,2.40E+01,2.42E+01,2.81E+01,2.91E+01,3.01E+01,3.42E+01,3.54E+01,3.40E+01,3.24E+01,2.98E+01,2.66E+01,2.82E+01,2.93E+01,2.73E+01,2.71E+01,2.63E+01,2.96E+01,2.93E+01,3.09E+01,3.15E+01,3.39E+01,3.79E+01,3.84E+01,4.24E+01,4.38E+01,4.15E+01,3.72E+01,3.81E+01,3.80E+01,CHL,Chile,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP)
1.48E+07,1.44E+07,2.36E+07,1.60E+08,1.88E+09,9.03E+09,3.23E+10,5.93E+10,1.00E+11,1.80E+11,2.45E+11,2.09E+11,2.40E+11,3.74E+11,4.59E+11,7.46E+11,9.95E+11,1.38E+12,2.07E+12,2.68E+12,3.27E+12,4.12E+12,4.81E+12,5.13E+12,6.54E+12,8.30E+12,8.52E+12,9.40E+12,9.61E+12,1.10E+13,1.25E+13,1.42E+13,1.54E+13,1.83E+13,2.32E+13,2.67E+13,3.48E+13,3.96E+13,3.90E+13,3.58E+13,4.22E+13,4.62E+13,CHL,Chile,NE.EXP.GNFS.CN,Exports of goods and services (current LCU)
1.31E+09,1.18E+09,1.13E+09,2.24E+09,3.17E+09,1.84E+09,2.48E+09,2.75E+09,3.17E+09,4.83E+09,6.29E+09,5.36E+09,4.71E+09,4.75E+09,4.66E+09,4.64E+09,5.16E+09,6.30E+09,8.44E+09,1.00E+10,1.07E+10,1.18E+10,1.33E+10,1.27E+10,1.56E+10,2.09E+10,2.07E+10,2.24E+10,2.09E+10,2.16E+10,2.32E+10,2.23E+10,2.24E+10,2.64E+10,3.81E+10,4.77E+10,6.56E+10,7.59E+10,7.46E+10,6.39E+10,8.28E+10,9.54E+10,CHL,Chile,NE.EXP.GNFS.CD,Exports of goods and services (current US$)
5.92E-01,-9.96E-01,-3.41E+00,-1.81E+00,6.76E-01,-1.97E+00,4.33E+00,-1.80E+00,-3.34E+00,-2.83E+00,-4.16E+00,-1.03E+01,-1.88E+00,2.69E+00,-1.11E+00,2.43E+00,3.06E+00,2.91E+00,6.99E+00,4.74E+00,3.44E+00,4.63E+00,1.64E+00,-2.00E+00,1.66E+00,2.20E+00,-1.69E+00,-2.12E+00,-3.27E+00,2.27E+00,7.09E-01,3.30E-01,1.15E+00,2.72E+00,7.45E+00,6.80E+00,1.29E+01,1.19E+01,1.97E+00,7.57E+00,6.30E+00,3.28E+00,CHL,Chile,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP)
6.00E+05,-1.30E+06,-8.20E+06,-2.13E+07,6.23E+07,-7.00E+08,5.57E+09,-5.19E+09,-1.63E+10,-2.19E+10,-4.47E+10,-1.32E+11,-2.34E+10,4.19E+10,-2.10E+10,6.46E+10,1.05E+11,1.33E+11,4.22E+11,3.59E+11,3.31E+11,5.88E+11,2.65E+11,-3.85E+11,3.86E+11,6.23E+11,-5.27E+11,-7.36E+11,-1.19E+12,8.44E+11,3.03E+11,1.51E+11,5.62E+11,1.47E+12,4.57E+12,4.73E+12,1.06E+13,1.07E+13,1.85E+12,7.30E+12,6.99E+12,3.98E+12,CHL,Chile,NE.RSB.GNFS.CN,External balance on goods and services (current LCU)
5.32E+07,-1.06E+08,-3.94E+08,-2.97E+08,1.05E+08,-1.43E+08,4.27E+08,-2.41E+08,-5.15E+08,-5.87E+08,-1.15E+09,-3.37E+09,-4.59E+08,5.32E+08,-2.13E+08,4.01E+08,5.42E+08,6.08E+08,1.72E+09,1.34E+09,1.08E+09,1.69E+09,7.31E+08,-9.52E+08,9.18E+08,1.57E+09,-1.28E+09,-1.75E+09,-2.59E+09,1.66E+09,5.63E+08,2.38E+08,8.16E+08,2.12E+09,7.50E+09,8.46E+09,2.00E+10,2.05E+10,3.54E+09,1.30E+10,1.37E+10,8.23E+09,CHL,Chile,NE.RSB.GNFS.CD,External balance on goods and services (current US$)
4.02E+00,3.85E+00,3.68E+00,3.50E+00,3.33E+00,3.16E+00,3.01E+00,2.89E+00,2.79E+00,2.72E+00,2.68E+00,2.66E+00,2.65E+00,2.65E+00,2.66E+00,2.66E+00,2.66E+00,2.65E+00,2.65E+00,2.64E+00,2.62E+00,2.60E+00,2.56E+00,2.51E+00,2.45E+00,2.39E+00,2.32E+00,2.25E+00,2.19E+00,2.14E+00,2.09E+00,2.05E+00,2.01E+00,1.99E+00,1.96E+00,1.94E+00,1.92E+00,1.90E+00,1.89E+00,1.87E+00,1.86E+00,1.84E+00,CHL,Chile,SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)"
8.12E+07,1.09E+08,2.13E+08,1.07E+09,7.16E+09,3.14E+10,1.06E+11,2.50E+11,4.15E+11,6.54E+11,8.94E+11,1.12E+12,1.12E+12,1.36E+12,1.66E+12,2.13E+12,2.67E+12,3.43E+12,4.23E+12,5.30E+12,6.85E+12,9.21E+12,1.19E+13,1.45E+13,1.71E+13,2.02E+13,2.32E+13,2.58E+13,2.79E+13,2.85E+13,3.28E+13,3.57E+13,3.79E+13,4.04E+13,4.40E+13,4.87E+13,5.40E+13,6.04E+13,6.76E+13,6.96E+13,7.92E+13,8.90E+13,CHL,Chile,NE.CON.TOTL.CN,Final consumption expenditure (current LCU)
7.20E+09,8.96E+09,1.02E+10,1.50E+10,1.21E+10,6.39E+09,8.14E+09,1.16E+10,1.31E+10,1.76E+10,2.29E+10,2.86E+10,2.21E+10,1.73E+10,1.68E+10,1.33E+10,1.38E+10,1.56E+10,1.73E+10,1.98E+10,2.25E+10,2.64E+10,3.30E+10,3.58E+10,4.06E+10,5.09E+10,5.63E+10,6.16E+10,6.06E+10,5.61E+10,6.07E+10,5.62E+10,5.50E+10,5.85E+10,7.21E+10,8.70E+10,1.02E+11,1.16E+11,1.29E+11,1.24E+11,1.55E+11,1.84E+11,CHL,Chile,NE.CON.TOTL.CD,Final consumption expenditure (current US$)
8.02E+01,8.38E+01,8.87E+01,9.13E+01,7.45E+01,8.50E+01,8.00E+01,8.45E+01,8.23E+01,8.18E+01,8.31E+01,8.76E+01,9.06E+01,8.75E+01,8.74E+01,8.04E+01,7.81E+01,7.49E+01,7.03E+01,7.00E+01,7.14E+01,7.30E+01,7.42E+01,7.51E+01,7.35E+01,7.16E+01,7.43E+01,7.44E+01,7.64E+01,7.68E+01,7.66E+01,7.77E+01,7.75E+01,7.51E+01,7.17E+01,6.99E+01,6.60E+01,6.69E+01,7.21E+01,7.21E+01,7.13E+01,7.32E+01,CHL,Chile,NE.CON.TETC.ZS,"Final consumption expenditure, etc. (% of GDP)"
8.12E+07,1.09E+08,2.13E+08,1.07E+09,6.86E+09,3.02E+10,1.03E+11,2.43E+11,4.01E+11,6.31E+11,8.94E+11,1.12E+12,1.12E+12,1.36E+12,1.66E+12,2.13E+12,2.67E+12,3.44E+12,4.25E+12,5.30E+12,6.87E+12,9.28E+12,1.20E+13,1.45E+13,1.70E+13,2.03E+13,2.32E+13,2.58E+13,2.79E+13,2.85E+13,3.28E+13,3.57E+13,3.79E+13,4.04E+13,4.40E+13,4.87E+13,5.41E+13,6.05E+13,6.76E+13,6.96E+13,7.92E+13,8.90E+13,CHL,Chile,NE.CON.TETC.CN,"Final consumption expenditure, etc. (current LCU)"
