1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country Code,Country Name,Indicator Code,Indicator Name
1.05E+00,1.30E+00,9.49E-01,1.09E+00,4.14E+00,4.87E+00,6.60E+00,8.48E+00,1.14E+01,2.46E+01,2.73E+01,2.68E+01,2.26E+01,2.00E+01,2.09E+01,1.98E+01,8.10E+00,9.72E+00,8.33E+00,9.44E+00,1.28E+01,1.22E+01,1.05E+01,8.95E+00,7.07E+00,6.70E+00,7.08E+00,5.48E+00,3.08E+00,3.83E+00,5.65E+00,5.14E+00,5.51E+00,7.92E+00,1.04E+01,1.63E+01,1.48E+01,1.31E+01,1.58E+01,6.95E+00,7.08E+00,8.69E+00,EGY,"Egypt, Arab Rep.",NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
7.98E+07,1.06E+08,8.25E+07,1.04E+08,3.69E+08,5.45E+08,8.59E+08,1.20E+09,1.61E+09,4.20E+09,5.85E+09,5.82E+09,5.39E+09,5.26E+09,5.98E+09,6.21E+09,2.60E+09,3.89E+09,2.90E+09,3.69E+09,5.38E+09,4.46E+09,4.37E+09,4.12E+09,3.66E+09,4.04E+09,4.83E+09,4.35E+09,2.65E+09,3.52E+09,5.69E+09,5.07E+09,4.85E+09,6.56E+09,8.15E+09,1.46E+10,1.60E+10,1.73E+10,2.59E+10,1.31E+10,1.52E+10,1.94E+10,EGY,"Egypt, Arab Rep.",NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
9.31E-03,9.48E-03,7.39E-03,8.26E-03,1.52E-01,1.59E-01,6.59E-02,4.68E-02,3.21E-02,2.66E-02,4.93E-02,5.38E-02,4.90E-02,3.10E-02,3.33E-02,2.68E-02,2.22E-02,1.70E-02,1.72E-02,2.26E-02,2.93E-02,3.23E-02,2.84E-02,1.72E-02,1.18E-02,1.05E-02,1.26E-02,1.41E-02,3.15E-02,2.10E-02,1.52E-02,2.46E-02,2.34E-02,3.49E-02,3.75E-02,5.25E-02,5.48E-02,5.27E-02,6.40E-01,2.09E-01,1.72E-01,2.81E-01,EGY,"Egypt, Arab Rep.",NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
7.09E+05,7.76E+05,6.42E+05,7.84E+05,1.35E+07,1.78E+07,8.58E+06,6.65E+06,4.56E+06,4.55E+06,1.06E+07,1.17E+07,1.17E+07,8.15E+06,9.52E+06,8.42E+06,7.13E+06,6.78E+06,6.00E+06,8.83E+06,1.23E+07,1.18E+07,1.18E+07,7.93E+06,6.13E+06,6.36E+06,8.59E+06,1.12E+07,2.71E+07,1.93E+07,1.53E+07,2.43E+07,2.06E+07,2.89E+07,2.95E+07,4.69E+07,5.92E+07,6.94E+07,1.05E+09,3.96E+08,3.69E+08,6.28E+08,EGY,"Egypt, Arab Rep.",NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
1.63E+00,1.87E+00,1.54E+00,1.69E+00,5.10E+00,5.74E+00,7.24E+00,9.10E+00,1.20E+01,2.52E+01,2.79E+01,2.74E+01,2.31E+01,2.05E+01,2.13E+01,2.01E+01,8.46E+00,1.01E+01,8.74E+00,9.82E+00,1.32E+01,1.27E+01,1.10E+01,9.35E+00,7.43E+00,7.05E+00,7.40E+00,5.75E+00,3.33E+00,4.05E+00,5.85E+00,5.34E+00,5.73E+00,8.18E+00,1.07E+01,1.66E+01,1.51E+01,1.34E+01,1.66E+01,7.30E+00,7.38E+00,9.10E+00,EGY,"Egypt, Arab Rep.",NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
5.72E-01,5.59E-01,5.80E-01,5.88E-01,8.03E-01,7.07E-01,5.71E-01,5.76E-01,6.64E-01,5.92E-01,5.79E-01,5.60E-01,4.67E-01,3.97E-01,3.66E-01,3.25E-01,3.37E-01,3.29E-01,4.00E-01,3.66E-01,4.14E-01,4.64E-01,4.31E-01,3.91E-01,3.53E-01,3.40E-01,3.05E-01,2.48E-01,2.14E-01,1.98E-01,1.82E-01,1.79E-01,1.97E-01,2.31E-01,2.62E-01,2.42E-01,2.06E-01,1.83E-01,1.69E-01,1.37E-01,1.25E-01,1.30E-01,EGY,"Egypt, Arab Rep.",NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
4.36E+07,4.58E+07,5.04E+07,5.58E+07,7.14E+07,7.92E+07,7.43E+07,8.19E+07,9.42E+07,1.01E+08,1.24E+08,1.22E+08,1.11E+08,1.04E+08,1.05E+08,1.02E+08,1.08E+08,1.31E+08,1.39E+08,1.43E+08,1.74E+08,1.70E+08,1.79E+08,1.80E+08,1.83E+08,2.05E+08,2.08E+08,1.97E+08,1.84E+08,1.81E+08,1.84E+08,1.77E+08,1.73E+08,1.92E+08,2.06E+08,2.16E+08,2.23E+08,2.41E+08,2.77E+08,2.59E+08,2.68E+08,2.89E+08,EGY,"Egypt, Arab Rep.",NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
1.33E+02,1.30E+02,1.28E+02,1.27E+02,1.26E+02,1.25E+02,1.24E+02,1.24E+02,1.21E+02,1.19E+02,1.16E+02,1.14E+02,1.11E+02,1.05E+02,9.90E+01,9.27E+01,8.65E+01,8.03E+01,7.93E+01,7.84E+01,7.75E+01,7.65E+01,7.56E+01,7.22E+01,6.89E+01,6.55E+01,6.22E+01,5.88E+01,5.75E+01,5.63E+01,5.50E+01,5.37E+01,5.25E+01,5.17E+01,5.10E+01,5.02E+01,4.95E+01,4.87E+01,4.76E+01,4.64E+01,4.53E+01,4.41E+01,EGY,"Egypt, Arab Rep.",SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
8.58E+01,8.54E+01,8.48E+01,8.42E+01,8.35E+01,8.30E+01,8.25E+01,8.22E+01,8.19E+01,8.16E+01,8.12E+01,8.09E+01,8.05E+01,8.01E+01,7.99E+01,7.97E+01,7.97E+01,7.98E+01,7.99E+01,7.98E+01,7.95E+01,7.90E+01,7.83E+01,7.74E+01,7.63E+01,7.52E+01,7.41E+01,7.29E+01,7.17E+01,7.03E+01,6.88E+01,6.72E+01,6.55E+01,6.38E+01,6.24E+01,6.12E+01,6.03E+01,5.97E+01,5.93E+01,5.90E+01,5.87E+01,5.86E+01,EGY,"Egypt, Arab Rep.",SP.POP.DPND,Age dependency ratio (% of working-age population)
7.86E+00,7.91E+00,7.95E+00,7.99E+00,8.03E+00,8.06E+00,8.09E+00,8.12E+00,8.15E+00,8.18E+00,8.20E+00,8.23E+00,8.25E+00,8.27E+00,8.30E+00,8.33E+00,8.37E+00,8.41E+00,8.46E+00,8.51E+00,8.58E+00,8.66E+00,8.74E+00,8.82E+00,8.89E+00,8.95E+00,8.99E+00,9.01E+00,9.02E+00,9.02E+00,9.00E+00,8.97E+00,8.94E+00,8.89E+00,8.85E+00,8.80E+00,8.75E+00,8.70E+00,8.67E+00,8.67E+00,8.72E+00,8.81E+00,EGY,"Egypt, Arab Rep.",SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
7.79E+01,7.75E+01,7.69E+01,7.62E+01,7.55E+01,7.49E+01,7.45E+01,7.41E+01,7.37E+01,7.34E+01,7.30E+01,7.26E+01,7.22E+01,7.18E+01,7.16E+01,7.14E+01,7.13E+01,7.14E+01,7.14E+01,7.13E+01,7.10E+01,7.04E+01,6.95E+01,6.85E+01,6.75E+01,6.63E+01,6.51E+01,6.39E+01,6.27E+01,6.13E+01,5.98E+01,5.82E+01,5.65E+01,5.49E+01,5.35E+01,5.24E+01,5.16E+01,5.10E+01,5.06E+01,5.03E+01,5.00E+01,4.98E+01,EGY,"Egypt, Arab Rep.",SP.POP.DPND.YG,"Age dependency ratio, young (% of working-age population)"
4.09E+01,4.03E+01,3.97E+01,3.93E+01,3.89E+01,3.87E+01,3.85E+01,3.83E+01,3.81E+01,3.79E+01,3.76E+01,3.74E+01,3.70E+01,3.67E+01,3.62E+01,3.57E+01,3.50E+01,3.42E+01,3.33E+01,3.22E+01,3.11E+01,3.00E+01,2.89E+01,2.80E+01,2.72E+01,2.66E+01,2.61E+01,2.57E+01,2.53E+01,2.50E+01,2.48E+01,2.46E+01,2.44E+01,2.44E+01,2.44E+01,2.44E+01,2.44E+01,2.44E+01,2.44E+01,2.43E+01,2.41E+01,2.38E+01,EGY,"Egypt, Arab Rep.",SP.DYN.CBRT.IN,"Birth rate, crude (per 1,000 people)"
