1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country Code,Country Name,Indicator Code,Indicator Name
2.74E-01,3.61E-01,3.62E-01,3.35E-01,1.06E+00,1.58E+00,1.65E+00,1.55E+00,1.45E+00,1.85E+00,1.86E+00,2.77E+00,2.98E+00,2.62E+00,2.89E+00,2.67E+00,1.61E+00,1.43E+00,1.37E+00,1.78E+00,1.96E+00,2.11E+00,1.85E+00,1.61E+00,1.45E+00,1.67E+00,1.69E+00,1.57E+00,1.10E+00,1.10E+00,1.72E+00,1.91E+00,1.55E+00,1.60E+00,2.50E+00,2.48E+00,2.48E+00,2.40E+00,4.48E+00,2.28E+00,2.59E+00,3.06E+00,IND,India,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
1.72E+08,2.45E+08,2.64E+08,2.93E+08,1.08E+09,1.57E+09,1.71E+09,1.91E+09,2.01E+09,2.87E+09,3.54E+09,5.46E+09,6.06E+09,5.79E+09,6.20E+09,6.28E+09,4.05E+09,4.02E+09,4.10E+09,5.31E+09,6.32E+09,5.72E+09,5.34E+09,4.52E+09,4.75E+09,6.07E+09,6.69E+09,6.60E+09,4.69E+09,5.05E+09,8.07E+09,9.32E+09,8.03E+09,9.84E+09,1.79E+10,2.06E+10,2.34E+10,2.96E+10,5.46E+10,3.10E+10,4.39E+10,5.68E+10,IND,India,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
1.44E-01,1.48E-01,1.36E-01,1.16E-01,1.47E-01,2.05E-01,2.94E-01,2.41E-01,1.62E-01,1.80E-01,1.82E-01,1.78E-01,2.16E-01,1.57E-01,1.59E-01,1.56E-01,1.49E-01,1.19E-01,1.58E-01,2.01E-01,1.90E-01,2.28E-01,1.91E-01,1.65E-01,1.20E-01,1.19E-01,1.31E-01,1.33E-01,2.20E-01,1.66E-01,1.92E-01,2.12E-01,2.09E-01,2.20E-01,2.86E-01,6.21E-01,8.59E-01,8.40E-01,1.46E+00,9.40E-01,1.17E+00,1.28E+00,IND,India,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
9.01E+07,1.00E+08,9.88E+07,1.02E+08,1.49E+08,2.04E+08,3.05E+08,2.97E+08,2.25E+08,2.79E+08,3.46E+08,3.51E+08,4.40E+08,3.47E+08,3.41E+08,3.67E+08,3.75E+08,3.35E+08,4.73E+08,6.00E+08,6.14E+08,6.18E+08,5.52E+08,4.64E+08,3.95E+08,4.33E+08,5.18E+08,5.56E+08,9.36E+08,7.67E+08,9.04E+08,1.03E+09,1.09E+09,1.35E+09,2.05E+09,5.15E+09,8.09E+09,1.04E+10,1.77E+10,1.28E+10,1.97E+10,2.39E+10,IND,India,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
1.77E+00,1.85E+00,1.90E+00,1.76E+00,2.70E+00,3.51E+00,3.61E+00,3.68E+00,3.48E+00,3.93E+00,3.77E+00,4.61E+00,4.75E+00,4.16E+00,4.50E+00,3.93E+00,3.09E+00,3.01E+00,2.91E+00,3.24E+00,3.46E+00,3.99E+00,3.60E+00,3.27E+00,2.79E+00,3.04E+00,2.83E+00,2.70E+00,2.27E+00,2.13E+00,2.74E+00,2.88E+00,2.61E+00,2.53E+00,3.42E+00,3.67E+00,3.94E+00,4.08E+00,6.72E+00,4.11E+00,4.32E+00,4.88E+00,IND,India,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
1.35E+00,1.35E+00,1.41E+00,1.31E+00,1.49E+00,1.72E+00,1.67E+00,1.88E+00,1.87E+00,1.90E+00,1.73E+00,1.65E+00,1.56E+00,1.38E+00,1.46E+00,1.10E+00,1.33E+00,1.47E+00,1.38E+00,1.26E+00,1.31E+00,1.66E+00,1.56E+00,1.49E+00,1.22E+00,1.25E+00,1.01E+00,9.96E-01,9.49E-01,8.63E-01,8.29E-01,7.58E-01,8.59E-01,7.08E-01,6.26E-01,5.66E-01,6.01E-01,8.48E-01,7.78E-01,8.85E-01,5.65E-01,5.37E-01,IND,India,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
8.46E+08,9.13E+08,1.02E+09,1.15E+09,1.51E+09,1.71E+09,1.74E+09,2.32E+09,2.60E+09,2.95E+09,3.28E+09,3.26E+09,3.17E+09,3.06E+09,3.13E+09,2.59E+09,3.36E+09,4.14E+09,4.11E+09,3.75E+09,4.23E+09,4.48E+09,4.51E+09,4.18E+09,4.02E+09,4.53E+09,4.01E+09,4.18E+09,4.04E+09,3.98E+09,3.89E+09,3.70E+09,4.46E+09,4.34E+09,4.48E+09,4.69E+09,5.66E+09,1.05E+10,9.47E+09,1.20E+10,9.57E+09,9.96E+09,IND,India,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
1.14E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.15E+02,1.14E+02,1.14E+02,1.14E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.13E+02,1.11E+02,1.09E+02,1.08E+02,1.06E+02,1.04E+02,1.01E+02,9.80E+01,9.49E+01,9.19E+01,8.88E+01,8.55E+01,8.22E+01,7.89E+01,7.55E+01,7.22E+01,6.79E+01,6.36E+01,5.92E+01,5.49E+01,5.06E+01,4.70E+01,4.35E+01,3.99E+01,3.64E+01,IND,India,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
8.00E+01,7.95E+01,7.90E+01,7.85E+01,7.79E+01,7.74E+01,7.70E+01,7.65E+01,7.61E+01,7.57E+01,7.52E+01,7.47E+01,7.42E+01,7.37E+01,7.32E+01,7.28E+01,7.24E+01,7.20E+01,7.16E+01,7.12E+01,7.06E+01,7.00E+01,6.93E+01,6.86E+01,6.78E+01,6.70E+01,6.62E+01,6.54E+01,6.45E+01,6.37E+01,6.28E+01,6.20E+01,6.11E+01,6.03E+01,5.94E+01,5.86E+01,5.77E+01,5.69E+01,5.60E+01,5.52E+01,5.44E+01,5.37E+01,IND,India,SP.POP.DPND,Age dependency ratio (% of working-age population)
5.95E+00,5.99E+00,6.04E+00,6.09E+00,6.15E+00,6.19E+00,6.24E+00,6.28E+00,6.31E+00,6.34E+00,6.37E+00,6.40E+00,6.43E+00,6.45E+00,6.48E+00,6.51E+00,6.53E+00,6.56E+00,6.58E+00,6.61E+00,6.64E+00,6.67E+00,6.70E+00,6.73E+00,6.77E+00,6.81E+00,6.86E+00,6.91E+00,6.97E+00,7.04E+00,7.10E+00,7.18E+00,7.25E+00,7.33E+00,7.40E+00,7.48E+00,7.55E+00,7.62E+00,7.69E+00,7.76E+00,7.83E+00,7.89E+00,IND,India,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
