1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country Code,Country Name,Indicator Code,Indicator Name
1.29E-01,5.42E-01,6.67E-01,6.84E-01,2.03E+00,2.39E+00,3.74E+00,3.77E+00,4.29E+00,1.10E+01,1.08E+01,8.41E+00,8.59E+00,1.01E+01,1.06E+01,1.03E+01,7.69E+00,7.90E+00,6.25E+00,7.24E+00,9.05E+00,7.44E+00,5.57E+00,4.69E+00,3.95E+00,3.94E+00,4.84E+00,4.74E+00,4.51E+00,4.67E+00,8.32E+00,7.55E+00,6.37E+00,8.31E+00,9.60E+00,1.25E+01,1.12E+01,9.77E+00,1.21E+01,6.54E+00,6.14E+00,6.13E+00,MYS,Malaysia,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
5.37E+06,2.39E+07,3.49E+07,5.40E+07,1.97E+08,2.30E+08,4.23E+08,5.08E+08,6.82E+08,2.27E+09,2.59E+09,2.07E+09,2.24E+09,2.91E+09,3.41E+09,3.05E+09,2.03E+09,2.39E+09,2.08E+09,2.65E+09,3.81E+09,3.47E+09,3.12E+09,2.99E+09,2.80E+09,3.34E+09,4.66E+09,4.50E+09,3.08E+09,3.43E+09,7.17E+09,6.49E+09,6.01E+09,8.67E+09,1.14E+10,1.71E+10,1.77E+10,1.85E+10,2.70E+10,1.30E+10,1.47E+10,1.72E+10,MYS,Malaysia,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
2.79E-01,1.39E-01,1.09E-01,7.38E-02,5.34E-01,1.07E-01,2.07E-01,7.59E-01,8.45E-01,9.44E-01,8.94E-01,4.19E-01,2.31E-01,2.29E-01,1.62E-01,1.21E-01,1.21E-01,1.31E-01,1.53E-01,1.50E-01,1.26E-01,1.07E-01,9.30E-02,6.49E-02,7.22E-02,5.62E-02,4.11E-02,4.21E-02,3.50E-02,1.81E-02,1.16E-02,1.19E-02,1.45E-02,2.06E-02,2.03E-02,3.07E-02,3.05E-02,2.96E-02,4.49E-02,5.67E-02,1.33E-01,1.14E-01,MYS,Malaysia,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
1.16E+07,6.11E+06,5.71E+06,5.82E+06,5.18E+07,1.03E+07,2.35E+07,1.02E+08,1.34E+08,1.95E+08,2.15E+08,1.03E+08,6.01E+07,6.58E+07,5.24E+07,3.58E+07,3.18E+07,3.95E+07,5.09E+07,5.50E+07,5.31E+07,4.99E+07,5.21E+07,4.13E+07,5.12E+07,4.76E+07,3.95E+07,4.00E+07,2.39E+07,1.33E+07,9.98E+06,1.03E+07,1.37E+07,2.15E+07,2.40E+07,4.21E+07,4.82E+07,5.61E+07,1.01E+08,1.12E+08,3.18E+08,3.19E+08,MYS,Malaysia,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
4.08E-01,6.81E-01,7.76E-01,1.09E+00,2.57E+00,2.50E+00,4.81E+00,5.54E+00,6.19E+00,1.34E+01,1.30E+01,1.03E+01,1.06E+01,1.19E+01,1.17E+01,1.12E+01,8.77E+00,9.71E+00,8.43E+00,9.40E+00,1.09E+01,9.13E+00,7.38E+00,6.27E+00,5.20E+00,4.91E+00,5.41E+00,5.33E+00,4.59E+00,4.73E+00,8.43E+00,7.56E+00,6.39E+00,8.37E+00,9.73E+00,1.26E+01,1.13E+01,9.89E+00,1.21E+01,6.60E+00,6.28E+00,6.24E+00,MYS,Malaysia,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
0.00E+00,0.00E+00,0.00E+00,3.34E-01,0.00E+00,0.00E+00,8.71E-01,1.01E+00,1.06E+00,1.48E+00,1.34E+00,1.51E+00,1.75E+00,1.54E+00,9.54E-01,7.37E-01,9.64E-01,1.68E+00,2.02E+00,2.01E+00,1.77E+00,1.58E+00,1.72E+00,1.51E+00,1.18E+00,9.13E-01,5.27E-01,5.43E-01,3.99E-02,4.17E-02,9.32E-02,0.00E+00,0.00E+00,4.24E-02,1.14E-01,1.15E-01,4.05E-02,9.12E-02,2.98E-02,0.00E+00,0.00E+00,0.00E+00,MYS,Malaysia,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
0.00E+00,0.00E+00,0.00E+00,2.64E+07,0.00E+00,0.00E+00,9.87E+07,1.36E+08,1.69E+08,3.05E+08,3.21E+08,3.71E+08,4.56E+08,4.44E+08,3.08E+08,2.18E+08,2.54E+08,5.07E+08,6.75E+08,7.38E+08,7.46E+08,7.38E+08,9.64E+08,9.64E+08,8.34E+08,7.73E+08,5.07E+08,5.15E+08,2.72E+07,3.06E+07,8.03E+07,0.00E+00,0.00E+00,4.42E+07,1.35E+08,1.57E+08,6.40E+07,1.73E+08,6.67E+07,0.00E+00,0.00E+00,0.00E+00,MYS,Malaysia,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
5.48E+01,5.16E+01,4.84E+01,4.65E+01,4.45E+01,4.25E+01,4.06E+01,3.86E+01,3.65E+01,3.44E+01,3.23E+01,3.02E+01,2.82E+01,2.64E+01,2.47E+01,2.29E+01,2.12E+01,1.94E+01,1.93E+01,1.93E+01,1.92E+01,1.91E+01,1.90E+01,1.82E+01,1.74E+01,1.66E+01,1.58E+01,1.50E+01,1.46E+01,1.42E+01,1.38E+01,1.34E+01,1.30E+01,1.30E+01,1.29E+01,1.29E+01,1.29E+01,1.28E+01,1.14E+01,9.97E+00,8.54E+00,7.11E+00,MYS,Malaysia,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
9.25E+01,9.12E+01,8.99E+01,8.85E+01,8.68E+01,8.49E+01,8.26E+01,8.00E+01,7.76E+01,7.56E+01,7.41E+01,7.33E+01,7.29E+01,7.28E+01,7.27E+01,7.23E+01,7.18E+01,7.10E+01,7.02E+01,6.94E+01,6.87E+01,6.80E+01,6.74E+01,6.67E+01,6.60E+01,6.51E+01,6.40E+01,6.29E+01,6.17E+01,6.04E+01,5.91E+01,5.79E+01,5.66E+01,5.53E+01,5.41E+01,5.29E+01,5.19E+01,5.09E+01,4.99E+01,4.90E+01,4.82E+01,4.74E+01,MYS,Malaysia,SP.POP.DPND,Age dependency ratio (% of working-age population)
6.30E+00,6.35E+00,6.42E+00,6.48E+00,6.51E+00,6.51E+00,6.48E+00,6.41E+00,6.34E+00,6.27E+00,6.23E+00,6.23E+00,6.24E+00,6.26E+00,6.27E+00,6.26E+00,6.24E+00,6.19E+00,6.15E+00,6.11E+00,6.09E+00,6.09E+00,6.11E+00,6.13E+00,6.15E+00,6.15E+00,6.13E+00,6.10E+00,6.07E+00,6.07E+00,6.11E+00,6.20E+00,6.31E+00,6.45E+00,6.58E+00,6.69E+00,6.77E+00,6.85E+00,6.93E+00,7.03E+00,7.17E+00,7.35E+00,MYS,Malaysia,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
