1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country Code,Country Name,Indicator Code,Indicator Name
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,LKA,Sri Lanka,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,LKA,Sri Lanka,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.35E-03,2.42E-03,1.66E-03,1.03E-03,9.75E-04,7.71E-04,4.09E-04,2.02E-04,3.88E-04,8.40E-04,6.45E-04,5.45E-04,7.08E-04,1.86E-04,1.60E-04,1.31E-04,2.67E-04,3.88E-04,7.09E-04,7.08E-04,7.53E-04,7.76E-04,7.03E-04,4.00E-04,4.06E-04,3.56E-04,3.61E-04,1.48E-03,1.89E-02,4.22E-03,3.56E-03,5.46E-03,LKA,Sri Lanka,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.56E+04,1.06E+05,8.01E+04,5.29E+04,5.72E+04,4.59E+04,2.61E+04,1.34E+04,2.70E+04,5.83E+04,5.14E+04,4.87E+04,6.86E+04,1.93E+04,1.86E+04,1.69E+04,3.66E+04,5.78E+04,1.10E+05,1.09E+05,1.21E+05,1.20E+05,1.18E+05,7.48E+04,8.31E+04,8.57E+04,1.01E+05,4.73E+05,7.52E+06,1.75E+06,1.74E+06,3.20E+06,LKA,Sri Lanka,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
9.15E-01,9.69E-01,9.95E-01,9.65E-01,1.01E+00,1.11E+00,1.21E+00,1.40E+00,2.29E+00,1.91E+00,1.78E+00,1.58E+00,1.38E+00,1.25E+00,1.06E+00,8.27E-01,9.90E-01,1.16E+00,1.10E+00,9.78E-01,9.09E-01,1.35E+00,1.22E+00,1.10E+00,9.94E-01,1.03E+00,9.29E-01,5.17E-01,4.65E-01,4.63E-01,4.48E-01,4.39E-01,4.82E-01,3.96E-01,3.40E-01,2.99E-01,3.35E-01,6.15E-01,4.09E-01,4.98E-01,3.21E-01,2.79E-01,LKA,Sri Lanka,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
9.15E-01,9.69E-01,9.95E-01,9.65E-01,1.01E+00,1.11E+00,1.21E+00,1.40E+00,2.29E+00,1.91E+00,1.78E+00,1.58E+00,1.38E+00,1.25E+00,1.06E+00,8.26E-01,9.90E-01,1.16E+00,1.10E+00,9.77E-01,9.08E-01,1.35E+00,1.22E+00,1.10E+00,9.93E-01,1.03E+00,9.29E-01,5.17E-01,4.65E-01,4.63E-01,4.47E-01,4.39E-01,4.81E-01,3.96E-01,3.40E-01,2.99E-01,3.35E-01,6.14E-01,3.91E-01,4.93E-01,3.17E-01,2.74E-01,LKA,Sri Lanka,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
1.96E+07,2.09E+07,2.34E+07,2.53E+07,3.26E+07,3.72E+07,3.69E+07,4.92E+07,5.73E+07,6.40E+07,7.24E+07,6.92E+07,6.63E+07,6.44E+07,6.22E+07,4.92E+07,6.31E+07,7.73E+07,7.63E+07,6.77E+07,7.24E+07,1.20E+08,1.18E+08,1.14E+08,1.16E+08,1.33E+08,1.27E+08,7.71E+07,7.22E+07,7.11E+07,7.16E+07,6.78E+07,8.10E+07,7.40E+07,6.95E+07,7.20E+07,9.34E+07,1.96E+08,1.55E+08,2.05E+08,1.55E+08,1.60E+08,LKA,Sri Lanka,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
5.83E+01,5.37E+01,4.90E+01,4.75E+01,4.59E+01,4.43E+01,4.28E+01,4.12E+01,4.07E+01,4.02E+01,3.96E+01,3.91E+01,3.86E+01,3.76E+01,3.65E+01,3.55E+01,3.44E+01,3.34E+01,3.27E+01,3.20E+01,3.12E+01,3.05E+01,2.98E+01,2.97E+01,2.95E+01,2.93E+01,2.92E+01,2.90E+01,2.88E+01,2.85E+01,2.82E+01,2.79E+01,2.76E+01,2.65E+01,2.55E+01,2.44E+01,2.34E+01,2.23E+01,2.12E+01,2.02E+01,1.91E+01,1.80E+01,LKA,Sri Lanka,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
7.85E+01,7.71E+01,7.57E+01,7.41E+01,7.27E+01,7.15E+01,7.04E+01,6.95E+01,6.88E+01,6.81E+01,6.74E+01,6.67E+01,6.61E+01,6.55E+01,6.49E+01,6.42E+01,6.35E+01,6.27E+01,6.19E+01,6.10E+01,6.02E+01,5.92E+01,5.83E+01,5.73E+01,5.63E+01,5.52E+01,5.40E+01,5.27E+01,5.15E+01,5.04E+01,4.95E+01,4.89E+01,4.85E+01,4.82E+01,4.81E+01,4.81E+01,4.81E+01,4.82E+01,4.84E+01,4.86E+01,4.90E+01,4.95E+01,LKA,Sri Lanka,SP.POP.DPND,Age dependency ratio (% of working-age population)
6.60E+00,6.61E+00,6.63E+00,6.68E+00,6.74E+00,6.81E+00,6.89E+00,6.98E+00,7.08E+00,7.19E+00,7.31E+00,7.44E+00,7.58E+00,7.73E+00,7.88E+00,8.03E+00,8.18E+00,8.33E+00,8.48E+00,8.63E+00,8.78E+00,8.93E+00,9.09E+00,9.23E+00,9.34E+00,9.40E+00,9.40E+00,9.36E+00,9.31E+00,9.30E+00,9.36E+00,9.50E+00,9.70E+00,9.95E+00,1.02E+01,1.04E+01,1.06E+01,1.08E+01,1.10E+01,1.13E+01,1.16E+01,1.19E+01,LKA,Sri Lanka,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
