1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
34743.69687,86002.45038,212885.2752,526963.3623,1304413.304,3228865.967,7992539.947,19784251.02,48972740.95,121224167.3,300070987.7,742777613,7.96E+08,9.82E+08,5.60E+09,8.18E+09,9.33E+09,1.12E+10,1.34E+10,2.26E+10,2.77E+10,3.07E+10,2.93E+10,2.34E+10,2.42E+10,2.47E+10,1.45E+10,1.34E+10,1.28E+10,1.77E+10,2.23E+10,2.01E+10,1.90E+10,1.46E+10,1.42E+10,1.79E+10,2.13E+10,2.04E+10,1.22E+10,1.41E+10,2.59E+10,3.13E+10,2.68E+10,3.25E+10,7.48E+10,9.02E+10,1.06E+11,1.40E+11,2.73E+11,1.40E+11,2.18E+11,3.05E+11,,CHN,China,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
629486534.7,541900469,466501032.4,401592590.7,345715438.3,297612971.6,256203429.3,220555565.3,189867706,163449721.7,140707506.8,121129618.7,1.25E+08,2.13E+08,3.67E+08,2.90E+08,4.91E+08,4.87E+08,4.66E+08,6.41E+08,6.69E+08,9.32E+08,7.81E+08,8.02E+08,7.26E+08,6.96E+08,6.15E+08,8.06E+08,2.52E+09,1.29E+09,1.25E+09,1.32E+09,1.24E+09,1.10E+09,1.29E+09,1.26E+09,1.17E+09,1.16E+09,2.02E+09,1.59E+09,1.88E+09,1.94E+09,2.20E+09,2.94E+09,5.33E+09,1.33E+10,3.01E+10,3.98E+10,7.66E+10,5.28E+10,1.03E+11,1.38E+11,,CHN,China,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
6.78E+01,6.63E+01,6.48E+01,6.16E+01,5.83E+01,5.51E+01,5.19E+01,4.87E+01,4.49E+01,4.10E+01,3.72E+01,3.33E+01,2.95E+01,2.67E+01,2.39E+01,2.10E+01,1.82E+01,1.54E+01,1.62E+01,1.71E+01,1.79E+01,1.87E+01,1.95E+01,2.06E+01,2.16E+01,2.26E+01,2.37E+01,2.47E+01,2.09E+01,1.70E+01,1.32E+01,9.35E+00,5.51E+00,5.59E+00,5.67E+00,5.75E+00,5.83E+00,5.91E+00,6.23E+00,6.54E+00,6.85E+00,7.17E+00,7.48E+00,7.66E+00,7.84E+00,8.02E+00,8.20E+00,8.38E+00,8.41E+00,8.45E+00,8.48E+00,8.52E+00,,CHN,China,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
7.75E+01,7.84E+01,7.93E+01,8.02E+01,8.07E+01,8.10E+01,8.09E+01,8.05E+01,7.99E+01,7.95E+01,7.93E+01,7.94E+01,7.97E+01,7.99E+01,7.96E+01,7.88E+01,7.73E+01,7.53E+01,7.29E+01,7.05E+01,6.80E+01,6.56E+01,6.32E+01,6.10E+01,5.91E+01,5.75E+01,5.63E+01,5.54E+01,5.48E+01,5.43E+01,5.40E+01,5.39E+01,5.38E+01,5.37E+01,5.35E+01,5.32E+01,5.26E+01,5.18E+01,5.08E+01,4.96E+01,4.81E+01,4.63E+01,4.44E+01,4.25E+01,4.07E+01,3.92E+01,3.81E+01,3.72E+01,3.66E+01,3.62E+01,3.60E+01,3.61E+01,3.64E+01,CHN,China,SP.POP.DPND,Age dependency ratio (% of working-age population)
7.04E+00,6.95E+00,6.82E+00,6.69E+00,6.59E+00,6.55E+00,6.57E+00,6.65E+00,6.77E+00,6.91E+00,7.08E+00,7.27E+00,7.48E+00,7.69E+00,7.88E+00,8.05E+00,8.19E+00,8.30E+00,8.38E+00,8.46E+00,8.53E+00,8.60E+00,8.66E+00,8.72E+00,8.76E+00,8.79E+00,8.81E+00,8.81E+00,8.82E+00,8.84E+00,8.90E+00,8.98E+00,9.09E+00,9.22E+00,9.36E+00,9.50E+00,9.64E+00,9.78E+00,9.92E+00,1.01E+01,1.02E+01,1.03E+01,1.04E+01,1.05E+01,1.06E+01,1.07E+01,1.08E+01,1.09E+01,1.10E+01,1.12E+01,1.14E+01,1.16E+01,1.18E+01,CHN,China,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
7.04E+01,7.15E+01,7.25E+01,7.35E+01,7.41E+01,7.44E+01,7.43E+01,7.38E+01,7.31E+01,7.26E+01,7.22E+01,7.21E+01,7.22E+01,7.22E+01,7.18E+01,7.07E+01,6.91E+01,6.70E+01,6.46E+01,6.20E+01,5.95E+01,5.70E+01,5.46E+01,5.23E+01,5.03E+01,4.87E+01,4.75E+01,4.66E+01,4.60E+01,4.55E+01,4.51E+01,4.49E+01,4.47E+01,4.45E+01,4.42E+01,4.37E+01,4.29E+01,4.20E+01,4.09E+01,3.95E+01,3.79E+01,3.60E+01,3.40E+01,3.20E+01,3.01E+01,2.86E+01,2.73E+01,2.63E+01,2.56E+01,2.50E+01,2.47E+01,2.45E+01,2.45E+01,CHN,China,SP.POP.DPND.YG,"Age dependency ratio, young (% of working-age population)"
2.09E+01,1.80E+01,3.70E+01,4.34E+01,3.91E+01,3.79E+01,3.51E+01,3.40E+01,3.56E+01,3.41E+01,3.34E+01,3.07E+01,2.98E+01,2.79E+01,2.48E+01,2.30E+01,1.99E+01,1.89E+01,1.83E+01,1.78E+01,1.82E+01,2.09E+01,2.23E+01,2.02E+01,1.99E+01,2.10E+01,2.24E+01,2.33E+01,2.24E+01,2.16E+01,2.11E+01,1.97E+01,1.83E+01,1.81E+01,1.77E+01,1.71E+01,1.70E+01,1.66E+01,1.56E+01,1.46E+01,1.40E+01,1.34E+01,1.29E+01,1.24E+01,1.23E+01,1.24E+01,1.21E+01,1.21E+01,1.21E+01,1.21E+01,1.19E+01,1.19E+01,,CHN,China,SP.DYN.CBRT.IN,"Birth rate, crude (per 1,000 people)"
17.37324282,18.24,19.15,1.99E+01,2.13E+01,2.31E+01,2.49E+01,2.52E+01,2.50E+01,2.51E+01,2.69E+01,2.79E+01,2.70E+01,3.04E+01,3.06E+01,3.12E+01,3.08E+01,3.15E+01,3.48E+01,3.58E+01,3.54E+01,3.74E+01,4.13E+01,4.46E+01,4.86E+01,4.67E+01,4.76E+01,5.01E+01,5.04E+01,5.15E+01,5.57E+01,5.66E+01,5.85E+01,6.23E+01,6.38E+01,6.84E+01,7.40E+01,7.64E+01,7.87E+01,8.12E+01,8.50E+01,8.71E+01,9.10E+01,9.05E+01,9.73E+01,1.00E+02,1.03E+02,1.08E+02,1.15E+02,1.17E+02,1.21E+02,1.27E+02,,CHN,China,AG.PRD.CROP.XD,Crop production index (2004-2006 = 100)
2.54E+01,1.42E+01,1.00E+01,1.00E+01,1.15E+01,9.50E+00,8.83E+00,8.43E+00,8.21E+00,8.03E+00,7.60E+00,7.32E+00,7.61E+00,7.04E+00,7.34E+00,7.32E+00,7.25E+00,6.87E+00,6.25E+00,6.21E+00,6.34E+00,6.36E+00,6.60E+00,6.90E+00,6.82E+00,6.78E+00,6.86E+00,6.72E+00,6.64E+00,6.54E+00,6.67E+00,6.70E+00,6.64E+00,6.64E+00,6.49E+00,6.57E+00,6.56E+00,6.51E+00,6.50E+00,6.46E+00,6.45E+00,6.43E+00,6.41E+00,6.40E+00,6.42E+00,6.51E+00,6.81E+00,6.93E+00,7.06E+00,7.08E+00,7.11E+00,7.14E+00,,CHN,China,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)"
5.76E+00,5.89E+00,6.01E+00,6.10E+00,6.16E+00,6.16E+00,6.11E+00,6.01E+00,5.87E+00,5.69E+00,5.47E+00,5.20E+00,4.89E+00,4.54E+00,4.18E+00,3.83E+00,3.50E+00,3.21E+00,2.98E+00,2.81E+00,2.71E+00,2.67E+00,2.68E+00,2.72E+00,2.77E+00,2.81E+00,2.83E+00,2.81E+00,2.75E+00,2.64E+00,2.51E+00,2.34E+00,2.17E+00,2.01E+00,1.87E+00,1.75E+00,1.66E+00,1.59E+00,1.55E+00,1.52E+00,1.51E+00,1.51E+00,1.53E+00,1.55E+00,1.57E+00,1.59E+00,1.60E+00,1.62E+00,1.63E+00,1.64E+00,1.65E+00,1.66E+00,,CHN,China,SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)"
