1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
4517208.036,6019594.844,8021663.339,10689603.6,14244879.18,18982610.64,25296073.2,33709342.28,44920796.52,59861089.64,79770403.25,106301393.3,8.25E+07,1.04E+08,3.69E+08,5.45E+08,8.59E+08,1.20E+09,1.61E+09,4.20E+09,5.85E+09,5.82E+09,5.39E+09,5.26E+09,5.98E+09,6.21E+09,2.60E+09,3.89E+09,2.90E+09,3.69E+09,5.38E+09,4.46E+09,4.37E+09,4.12E+09,3.66E+09,4.04E+09,4.83E+09,4.35E+09,2.65E+09,3.52E+09,5.69E+09,5.07E+09,4.85E+09,6.56E+09,8.15E+09,1.46E+10,1.60E+10,1.73E+10,2.59E+10,1.31E+10,1.52E+10,1.94E+10,,EGY,"Egypt, Arab Rep.",NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
287971.6296,315141.4395,344874.6914,377413.2433,413021.7721,451989.9268,494634.6846,541302.9288,592374.2711,648264.139,709427.155,776360.8351,6.42E+05,7.84E+05,1.35E+07,1.78E+07,8.58E+06,6.65E+06,4.56E+06,4.55E+06,1.06E+07,1.17E+07,1.17E+07,8.15E+06,9.52E+06,8.42E+06,7.13E+06,6.78E+06,6.00E+06,8.83E+06,1.23E+07,1.18E+07,1.18E+07,7.93E+06,6.13E+06,6.36E+06,8.59E+06,1.12E+07,2.71E+07,1.93E+07,1.53E+07,2.43E+07,2.06E+07,2.89E+07,2.95E+07,4.69E+07,5.92E+07,6.94E+07,1.05E+09,3.96E+08,3.69E+08,6.28E+08,,EGY,"Egypt, Arab Rep.",NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
1.48E+02,1.48E+02,1.47E+02,1.46E+02,1.44E+02,1.42E+02,1.41E+02,1.39E+02,1.37E+02,1.35E+02,1.33E+02,1.30E+02,1.28E+02,1.27E+02,1.26E+02,1.25E+02,1.24E+02,1.24E+02,1.21E+02,1.19E+02,1.16E+02,1.14E+02,1.11E+02,1.05E+02,9.90E+01,9.27E+01,8.65E+01,8.03E+01,7.93E+01,7.84E+01,7.75E+01,7.65E+01,7.56E+01,7.22E+01,6.89E+01,6.55E+01,6.22E+01,5.88E+01,5.75E+01,5.63E+01,5.50E+01,5.37E+01,5.25E+01,5.17E+01,5.10E+01,5.02E+01,4.95E+01,4.87E+01,4.76E+01,4.64E+01,4.53E+01,4.41E+01,,EGY,"Egypt, Arab Rep.",SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
8.39E+01,8.46E+01,8.48E+01,8.49E+01,8.50E+01,8.51E+01,8.53E+01,8.56E+01,8.58E+01,8.59E+01,8.58E+01,8.54E+01,8.48E+01,8.42E+01,8.35E+01,8.30E+01,8.25E+01,8.22E+01,8.19E+01,8.16E+01,8.12E+01,8.09E+01,8.05E+01,8.01E+01,7.99E+01,7.97E+01,7.97E+01,7.98E+01,7.99E+01,7.98E+01,7.95E+01,7.90E+01,7.83E+01,7.74E+01,7.63E+01,7.52E+01,7.41E+01,7.29E+01,7.17E+01,7.03E+01,6.88E+01,6.72E+01,6.55E+01,6.38E+01,6.24E+01,6.12E+01,6.03E+01,5.97E+01,5.93E+01,5.90E+01,5.87E+01,5.86E+01,5.85E+01,EGY,"Egypt, Arab Rep.",SP.POP.DPND,Age dependency ratio (% of working-age population)
7.12E+00,7.24E+00,7.33E+00,7.41E+00,7.48E+00,7.55E+00,7.62E+00,7.69E+00,7.75E+00,7.81E+00,7.86E+00,7.91E+00,7.95E+00,7.99E+00,8.03E+00,8.06E+00,8.09E+00,8.12E+00,8.15E+00,8.18E+00,8.20E+00,8.23E+00,8.25E+00,8.27E+00,8.30E+00,8.33E+00,8.37E+00,8.41E+00,8.46E+00,8.51E+00,8.58E+00,8.66E+00,8.74E+00,8.82E+00,8.89E+00,8.95E+00,8.99E+00,9.01E+00,9.02E+00,9.02E+00,9.00E+00,8.97E+00,8.94E+00,8.89E+00,8.85E+00,8.80E+00,8.75E+00,8.70E+00,8.67E+00,8.67E+00,8.72E+00,8.81E+00,8.95E+00,EGY,"Egypt, Arab Rep.",SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
7.68E+01,7.73E+01,7.75E+01,7.75E+01,7.75E+01,7.75E+01,7.77E+01,7.79E+01,7.81E+01,7.81E+01,7.79E+01,7.75E+01,7.69E+01,7.62E+01,7.55E+01,7.49E+01,7.45E+01,7.41E+01,7.37E+01,7.34E+01,7.30E+01,7.26E+01,7.22E+01,7.18E+01,7.16E+01,7.14E+01,7.13E+01,7.14E+01,7.14E+01,7.13E+01,7.10E+01,7.04E+01,6.95E+01,6.85E+01,6.75E+01,6.63E+01,6.51E+01,6.39E+01,6.27E+01,6.13E+01,5.98E+01,5.82E+01,5.65E+01,5.49E+01,5.35E+01,5.24E+01,5.16E+01,5.10E+01,5.06E+01,5.03E+01,5.00E+01,4.98E+01,4.95E+01,EGY,"Egypt, Arab Rep.",SP.POP.DPND.YG,"Age dependency ratio, young (% of working-age population)"
4.76E+01,4.70E+01,4.64E+01,4.58E+01,4.51E+01,4.45E+01,4.38E+01,4.31E+01,4.23E+01,4.16E+01,4.09E+01,4.03E+01,3.97E+01,3.93E+01,3.89E+01,3.87E+01,3.85E+01,3.83E+01,3.81E+01,3.79E+01,3.76E+01,3.74E+01,3.70E+01,3.67E+01,3.62E+01,3.57E+01,3.50E+01,3.42E+01,3.33E+01,3.22E+01,3.11E+01,3.00E+01,2.89E+01,2.80E+01,2.72E+01,2.66E+01,2.61E+01,2.57E+01,2.53E+01,2.50E+01,2.48E+01,2.46E+01,2.44E+01,2.44E+01,2.44E+01,2.44E+01,2.44E+01,2.44E+01,2.44E+01,2.43E+01,2.41E+01,2.38E+01,,EGY,"Egypt, Arab Rep.",SP.DYN.CBRT.IN,"Birth rate, crude (per 1,000 people)"
17.33462626,21.59,26.89,2.77E+01,2.83E+01,2.87E+01,2.88E+01,2.78E+01,3.02E+01,3.25E+01,3.21E+01,3.30E+01,3.38E+01,3.38E+01,3.41E+01,3.51E+01,3.62E+01,3.52E+01,3.69E+01,3.94E+01,4.03E+01,4.00E+01,4.18E+01,4.23E+01,4.22E+01,4.56E+01,4.95E+01,5.17E+01,5.01E+01,5.18E+01,5.62E+01,5.66E+01,6.17E+01,6.41E+01,6.31E+01,6.89E+01,7.57E+01,7.70E+01,7.62E+01,8.26E+01,8.66E+01,8.51E+01,8.93E+01,9.08E+01,9.60E+01,9.86E+01,1.05E+02,1.08E+02,1.12E+02,1.14E+02,1.04E+02,1.09E+02,,EGY,"Egypt, Arab Rep.",AG.PRD.CROP.XD,Crop production index (2004-2006 = 100)
1.95E+01,1.91E+01,1.86E+01,1.82E+01,1.78E+01,1.74E+01,1.70E+01,1.67E+01,1.64E+01,1.61E+01,1.58E+01,1.55E+01,1.52E+01,1.48E+01,1.44E+01,1.40E+01,1.36E+01,1.31E+01,1.27E+01,1.23E+01,1.20E+01,1.16E+01,1.12E+01,1.08E+01,1.04E+01,1.00E+01,9.66E+00,9.31E+00,8.98E+00,8.70E+00,8.45E+00,8.22E+00,8.01E+00,7.81E+00,7.62E+00,7.44E+00,7.28E+00,7.14E+00,7.04E+00,6.96E+00,6.91E+00,6.88E+00,6.86E+00,6.85E+00,6.84E+00,6.83E+00,6.81E+00,6.78E+00,6.74E+00,6.70E+00,6.65E+00,6.59E+00,,EGY,"Egypt, Arab Rep.",SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)"
6.63E+00,6.61E+00,6.57E+00,6.53E+00,6.47E+00,6.41E+00,6.33E+00,6.24E+00,6.14E+00,6.04E+00,5.94E+00,5.85E+00,5.76E+00,5.69E+00,5.63E+00,5.59E+00,5.55E+00,5.51E+00,5.47E+00,5.42E+00,5.37E+00,5.31E+00,5.25E+00,5.19E+00,5.12E+00,5.05E+00,4.95E+00,4.83E+00,4.68E+00,4.52E+00,4.35E+00,4.18E+00,4.02E+00,3.88E+00,3.76E+00,3.66E+00,3.58E+00,3.51E+00,3.44E+00,3.37E+00,3.31E+00,3.24E+00,3.18E+00,3.13E+00,3.09E+00,3.05E+00,3.02E+00,2.99E+00,2.95E+00,2.92E+00,2.88E+00,2.85E+00,,EGY,"Egypt, Arab Rep.",SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)"
