1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,HKG,"Hong Kong SAR, China",NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
189358.7725,192243.5932,195172.3632,198145.7521,201164.4396,204229.1159,207340.4816,210499.2479,213706.137,216961.8821,220267.2274,223622.9285,2.06E+05,1.64E+05,2.39E+05,3.76E+05,1.26E+05,1.08E+05,8.26E+04,8.91E+04,1.14E+05,1.14E+05,1.54E+05,1.27E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,HKG,"Hong Kong SAR, China",NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
3.76E+01,3.85E+01,3.93E+01,3.69E+01,3.44E+01,3.19E+01,2.95E+01,2.70E+01,2.52E+01,2.34E+01,2.16E+01,1.98E+01,1.80E+01,1.74E+01,1.68E+01,1.62E+01,1.56E+01,1.50E+01,1.40E+01,1.30E+01,1.20E+01,1.10E+01,1.00E+01,9.20E+00,8.40E+00,7.60E+00,6.80E+00,6.00E+00,6.20E+00,6.40E+00,6.60E+00,6.80E+00,7.00E+00,6.60E+00,6.20E+00,5.80E+00,5.40E+00,5.00E+00,4.75E+00,4.50E+00,4.25E+00,4.00E+00,3.75E+00,3.61E+00,3.48E+00,3.34E+00,3.20E+00,3.07E+00,3.11E+00,3.16E+00,3.20E+00,3.24E+00,,HKG,"Hong Kong SAR, China",SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
7.76E+01,7.83E+01,7.79E+01,7.69E+01,7.58E+01,7.48E+01,7.39E+01,7.31E+01,7.22E+01,7.10E+01,6.95E+01,6.76E+01,6.56E+01,6.33E+01,6.08E+01,5.80E+01,5.50E+01,5.19E+01,4.92E+01,4.70E+01,4.55E+01,4.47E+01,4.44E+01,4.44E+01,4.45E+01,4.45E+01,4.44E+01,4.42E+01,4.39E+01,4.36E+01,4.32E+01,4.28E+01,4.23E+01,4.18E+01,4.14E+01,4.09E+01,4.06E+01,4.04E+01,4.02E+01,3.98E+01,3.94E+01,3.88E+01,3.81E+01,3.73E+01,3.65E+01,3.58E+01,3.51E+01,3.44E+01,3.39E+01,3.35E+01,3.34E+01,3.36E+01,3.40E+01,HKG,"Hong Kong SAR, China",SP.POP.DPND,Age dependency ratio (% of working-age population)
5.01E+00,5.14E+00,5.22E+00,5.29E+00,5.38E+00,5.50E+00,5.65E+00,5.84E+00,6.07E+00,6.34E+00,6.65E+00,7.00E+00,7.38E+00,7.74E+00,8.03E+00,8.22E+00,8.29E+00,8.28E+00,8.26E+00,8.34E+00,8.55E+00,8.91E+00,9.40E+00,9.96E+00,1.05E+01,1.10E+01,1.14E+01,1.17E+01,1.20E+01,1.22E+01,1.25E+01,1.27E+01,1.29E+01,1.31E+01,1.33E+01,1.36E+01,1.39E+01,1.43E+01,1.46E+01,1.50E+01,1.53E+01,1.56E+01,1.58E+01,1.61E+01,1.63E+01,1.65E+01,1.66E+01,1.67E+01,1.67E+01,1.69E+01,1.72E+01,1.76E+01,1.82E+01,HKG,"Hong Kong SAR, China",SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
7.26E+01,7.32E+01,7.27E+01,7.16E+01,7.04E+01,6.93E+01,6.83E+01,6.73E+01,6.62E+01,6.47E+01,6.28E+01,6.06E+01,5.82E+01,5.55E+01,5.27E+01,4.98E+01,4.67E+01,4.37E+01,4.09E+01,3.87E+01,3.70E+01,3.58E+01,3.50E+01,3.44E+01,3.40E+01,3.36E+01,3.30E+01,3.25E+01,3.20E+01,3.14E+01,3.08E+01,3.01E+01,2.95E+01,2.88E+01,2.81E+01,2.74E+01,2.67E+01,2.61E+01,2.55E+01,2.49E+01,2.41E+01,2.32E+01,2.23E+01,2.12E+01,2.02E+01,1.93E+01,1.85E+01,1.77E+01,1.71E+01,1.66E+01,1.62E+01,1.59E+01,1.58E+01,HKG,"Hong Kong SAR, China",SP.POP.DPND.YG,"Age dependency ratio, young (% of working-age population)"
3.59E+01,3.50E+01,3.40E+01,3.35E+01,3.07E+01,2.81E+01,2.53E+01,2.37E+01,2.17E+01,2.13E+01,2.00E+01,1.97E+01,1.95E+01,1.94E+01,1.91E+01,1.79E+01,1.74E+01,1.75E+01,1.73E+01,1.68E+01,1.70E+01,1.68E+01,1.64E+01,1.56E+01,1.44E+01,1.40E+01,1.30E+01,1.26E+01,1.34E+01,1.23E+01,1.20E+01,1.20E+01,1.23E+01,1.20E+01,1.19E+01,1.12E+01,9.90E+00,9.10E+00,8.10E+00,7.80E+00,8.10E+00,7.20E+00,7.10E+00,6.90E+00,7.20E+00,8.40E+00,9.60E+00,1.02E+01,1.13E+01,1.18E+01,1.26E+01,1.35E+01,,HKG,"Hong Kong SAR, China",SP.DYN.CBRT.IN,"Birth rate, crude (per 1,000 people)"
317.1012085,291.35,267.69,2.29E+02,1.90E+02,2.21E+02,3.52E+02,4.04E+02,3.51E+02,3.78E+02,3.99E+02,4.18E+02,3.91E+02,3.81E+02,3.82E+02,3.63E+02,3.76E+02,3.91E+02,3.52E+02,3.75E+02,3.90E+02,3.76E+02,3.54E+02,3.48E+02,3.28E+02,2.98E+02,3.13E+02,3.05E+02,3.07E+02,3.03E+02,2.46E+02,2.39E+02,2.05E+02,1.93E+02,2.02E+02,1.94E+02,1.71E+02,1.66E+02,1.52E+02,1.38E+02,1.20E+02,1.03E+02,1.00E+02,1.00E+02,9.97E+01,9.68E+01,1.03E+02,1.02E+02,1.01E+02,1.02E+02,1.03E+02,1.03E+02,,HKG,"Hong Kong SAR, China",AG.PRD.CROP.XD,Crop production index (2004-2006 = 100)
5.92E+00,6.10E+00,6.30E+00,5.90E+00,5.30E+00,5.00E+00,5.30E+00,5.40E+00,5.10E+00,5.00E+00,5.10E+00,5.00E+00,5.20E+00,5.00E+00,5.00E+00,4.80E+00,5.00E+00,5.10E+00,5.10E+00,5.20E+00,5.00E+00,4.80E+00,4.80E+00,5.00E+00,4.70E+00,4.60E+00,4.70E+00,4.80E+00,4.90E+00,5.10E+00,5.20E+00,5.00E+00,5.30E+00,5.20E+00,5.00E+00,5.10E+00,5.00E+00,4.90E+00,5.00E+00,5.00E+00,5.10E+00,5.00E+00,5.00E+00,5.40E+00,5.40E+00,5.70E+00,5.50E+00,5.70E+00,6.00E+00,5.90E+00,6.00E+00,6.00E+00,,HKG,"Hong Kong SAR, China",SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)"
5.16E+00,5.21E+00,5.18E+00,5.05E+00,4.83E+00,4.55E+00,4.25E+00,3.96E+00,3.72E+00,3.55E+00,3.42E+00,3.46E+00,3.32E+00,3.18E+00,2.97E+00,2.67E+00,2.48E+00,2.38E+00,2.27E+00,2.12E+00,2.05E+00,1.93E+00,1.86E+00,1.72E+00,1.56E+00,1.49E+00,1.37E+00,1.31E+00,1.40E+00,1.30E+00,1.27E+00,1.28E+00,1.35E+00,1.34E+00,1.36E+00,1.30E+00,1.19E+00,1.13E+00,1.02E+00,9.82E-01,1.04E+00,9.32E-01,9.39E-01,9.01E-01,9.27E-01,9.66E-01,9.84E-01,1.03E+00,1.06E+00,1.06E+00,1.13E+00,1.20E+00,,HKG,"Hong Kong SAR, China",SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)"
