1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
21.18660462,28.53223508,38.42467698,51.74693803,69.68817454,93.84983644,126.3886141,170.2089464,229.2222731,308.6961738,415.7245561,559.8608638,753.9708257,5.14E+02,2.68E+03,3.89E+03,5.45E+03,4.95E+03,4.64E+03,2.72E+03,3.99E+03,9.27E+03,9.67E+03,7.40E+03,6.37E+03,6.88E+10,3.80E+10,4.49E+10,3.50E+10,4.09E+10,6.23E+10,5.01E+10,4.11E+10,3.82E+10,3.22E+10,3.36E+10,4.52E+10,3.99E+10,2.52E+10,2.65E+10,6.75E+10,6.18E+10,5.34E+10,8.46E+10,1.15E+11,1.79E+11,1.98E+11,2.12E+11,3.12E+11,1.43E+11,1.83E+11,2.37E+11,,RUS,Russian Federation,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.15E+08,4.18E+08,6.89E+08,9.10E+08,6.49E+08,5.75E+08,2.14E+08,2.57E+08,9.28E+08,4.28E+08,7.69E+08,1.48E+09,2.64E+09,4.87E+09,9.64E+09,1.26E+10,1.49E+10,9.35E+09,1.59E+10,1.99E+10,,RUS,Russian Federation,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
2.79E+01,2.81E+01,2.84E+01,2.80E+01,2.77E+01,2.73E+01,2.69E+01,2.65E+01,2.76E+01,2.88E+01,2.99E+01,3.10E+01,3.21E+01,3.36E+01,3.51E+01,3.66E+01,3.81E+01,3.96E+01,4.08E+01,4.19E+01,4.30E+01,4.41E+01,4.53E+01,4.61E+01,4.68E+01,4.76E+01,4.84E+01,4.92E+01,4.97E+01,5.02E+01,5.08E+01,5.13E+01,5.18E+01,4.85E+01,4.51E+01,4.18E+01,3.84E+01,3.51E+01,3.36E+01,3.21E+01,3.06E+01,2.91E+01,2.76E+01,2.79E+01,2.83E+01,2.86E+01,2.90E+01,2.93E+01,2.86E+01,2.79E+01,2.72E+01,2.64E+01,,RUS,Russian Federation,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
5.76E+01,5.84E+01,5.85E+01,5.82E+01,5.75E+01,5.67E+01,5.58E+01,5.47E+01,5.36E+01,5.24E+01,5.13E+01,5.02E+01,4.92E+01,4.84E+01,4.77E+01,4.71E+01,4.68E+01,4.66E+01,4.66E+01,4.67E+01,4.68E+01,4.70E+01,4.72E+01,4.74E+01,4.77E+01,4.80E+01,4.83E+01,4.87E+01,4.90E+01,4.93E+01,4.97E+01,5.00E+01,5.04E+01,5.06E+01,5.06E+01,5.02E+01,4.93E+01,4.81E+01,4.67E+01,4.53E+01,4.41E+01,4.32E+01,4.25E+01,4.19E+01,4.13E+01,4.08E+01,4.02E+01,3.97E+01,3.92E+01,3.89E+01,3.89E+01,3.92E+01,3.97E+01,RUS,Russian Federation,SP.POP.DPND,Age dependency ratio (% of working-age population)
9.58E+00,9.79E+00,9.96E+00,1.01E+01,1.03E+01,1.04E+01,1.06E+01,1.09E+01,1.11E+01,1.14E+01,1.17E+01,1.20E+01,1.22E+01,1.25E+01,1.29E+01,1.32E+01,1.36E+01,1.41E+01,1.45E+01,1.48E+01,1.50E+01,1.50E+01,1.49E+01,1.47E+01,1.46E+01,1.45E+01,1.45E+01,1.45E+01,1.47E+01,1.49E+01,1.53E+01,1.58E+01,1.65E+01,1.72E+01,1.78E+01,1.81E+01,1.83E+01,1.82E+01,1.80E+01,1.79E+01,1.79E+01,1.81E+01,1.85E+01,1.89E+01,1.93E+01,1.94E+01,1.94E+01,1.91E+01,1.88E+01,1.84E+01,1.82E+01,1.81E+01,1.81E+01,RUS,Russian Federation,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
4.80E+01,4.86E+01,4.86E+01,4.81E+01,4.73E+01,4.63E+01,4.52E+01,4.39E+01,4.24E+01,4.10E+01,3.96E+01,3.82E+01,3.70E+01,3.58E+01,3.48E+01,3.39E+01,3.31E+01,3.25E+01,3.21E+01,3.19E+01,3.18E+01,3.19E+01,3.22E+01,3.27E+01,3.31E+01,3.35E+01,3.38E+01,3.41E+01,3.43E+01,3.44E+01,3.44E+01,3.42E+01,3.39E+01,3.35E+01,3.29E+01,3.21E+01,3.11E+01,2.99E+01,2.87E+01,2.74E+01,2.62E+01,2.51E+01,2.40E+01,2.29E+01,2.21E+01,2.14E+01,2.09E+01,2.06E+01,2.05E+01,2.05E+01,2.07E+01,2.11E+01,2.16E+01,RUS,Russian Federation,SP.POP.DPND.YG,"Age dependency ratio, young (% of working-age population)"
2.37E+01,2.27E+01,2.15E+01,2.02E+01,1.89E+01,1.77E+01,1.66E+01,1.57E+01,1.51E+01,1.48E+01,1.48E+01,1.49E+01,1.51E+01,1.53E+01,1.55E+01,1.57E+01,1.58E+01,1.59E+01,1.61E+01,1.58E+01,1.59E+01,1.60E+01,1.66E+01,1.75E+01,1.69E+01,1.66E+01,1.72E+01,1.72E+01,1.60E+01,1.46E+01,1.34E+01,1.21E+01,1.07E+01,9.40E+00,9.50E+00,9.30E+00,8.90E+00,8.60E+00,8.80E+00,8.30E+00,8.70E+00,9.10E+00,9.80E+00,1.02E+01,1.04E+01,1.02E+01,1.04E+01,1.13E+01,1.21E+01,1.24E+01,1.25E+01,1.26E+01,,RUS,Russian Federation,SP.DYN.CBRT.IN,"Birth rate, crude (per 1,000 people)"
112.8499005,106.4430834,100.4,94.7,7.86E+01,7.83E+01,7.93E+01,8.89E+01,6.00E+01,6.85E+01,7.92E+01,9.01E+01,9.33E+01,8.72E+01,9.62E+01,1.01E+02,1.03E+02,1.02E+02,9.94E+01,9.87E+01,9.80E+01,9.73E+01,9.66E+01,9.59E+01,9.53E+01,9.46E+01,9.39E+01,9.33E+01,9.26E+01,9.20E+01,9.13E+01,9.07E+01,9.01E+01,8.94E+01,8.88E+01,7.83E+01,7.93E+01,8.89E+01,6.00E+01,6.85E+01,7.92E+01,9.01E+01,9.33E+01,8.72E+01,9.62E+01,1.01E+02,1.03E+02,1.03E+02,1.13E+02,1.08E+02,7.51E+01,1.19E+02,,RUS,Russian Federation,AG.PRD.CROP.XD,Crop production index (2004-2006 = 100)
8.29E+00,8.17E+00,8.09E+00,8.06E+00,8.07E+00,8.12E+00,8.21E+00,8.33E+00,8.48E+00,8.65E+00,8.83E+00,9.03E+00,9.24E+00,9.45E+00,9.66E+00,9.88E+00,1.01E+01,1.03E+01,1.05E+01,1.08E+01,1.10E+01,1.09E+01,1.07E+01,1.11E+01,1.16E+01,1.13E+01,1.04E+01,1.05E+01,1.07E+01,1.07E+01,1.12E+01,1.14E+01,1.22E+01,1.45E+01,1.57E+01,1.50E+01,1.42E+01,1.38E+01,1.35E+01,1.46E+01,1.54E+01,1.56E+01,1.54E+01,1.64E+01,1.60E+01,1.61E+01,1.52E+01,1.46E+01,1.46E+01,1.42E+01,1.42E+01,1.35E+01,,RUS,Russian Federation,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)"
2.52E+00,2.45E+00,2.36E+00,2.27E+00,2.18E+00,2.13E+00,2.10E+00,2.04E+00,1.99E+00,1.97E+00,1.99E+00,2.03E+00,2.04E+00,2.01E+00,2.00E+00,1.98E+00,1.97E+00,1.95E+00,1.92E+00,1.90E+00,1.89E+00,1.91E+00,2.04E+00,2.11E+00,2.06E+00,2.05E+00,2.15E+00,2.22E+00,2.12E+00,2.01E+00,1.89E+00,1.73E+00,1.55E+00,1.39E+00,1.40E+00,1.34E+00,1.28E+00,1.23E+00,1.24E+00,1.17E+00,1.21E+00,1.25E+00,1.30E+00,1.31E+00,1.33E+00,1.29E+00,1.30E+00,1.41E+00,1.49E+00,1.54E+00,1.54E+00,1.54E+00,,RUS,Russian Federation,SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)"
