1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
17.70083412,61.9381114,216.7315742,758.3791982,2653.692755,9285.704639,32492.19808,113695.5112,397839.1748,1392104.291,4871200.423,17045126.37,59643682.83,1.41E+07,3.25E+08,5.98E+08,6.88E+08,8.01E+08,8.86E+08,8.01E+08,1.35E+09,2.57E+09,2.71E+09,1.79E+09,1.90E+09,2.09E+09,1.48E+09,6.04E+08,8.95E+08,1.25E+09,1.83E+09,1.77E+09,1.67E+09,1.25E+09,1.19E+09,1.57E+09,1.67E+09,9.87E+08,6.24E+08,4.01E+08,6.18E+08,2.05E+09,1.22E+09,1.14E+09,5.20E+09,4.34E+09,4.44E+09,6.89E+09,1.59E+10,7.29E+09,1.16E+10,1.45E+10,,ZAF,South Africa,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
317930222.1,288389665.4,261593876.1,237287823.4,215240173,195241084.9,177100216.4,160644910.8,145718553.5,132179082,119897633.4,108757318.4,98652108.17,1.83E+08,5.28E+08,2.55E+08,2.35E+08,2.78E+08,2.12E+08,1.52E+09,5.34E+09,3.18E+09,2.15E+09,2.84E+09,4.22E+08,1.52E+09,1.61E+09,2.18E+09,1.97E+09,1.57E+09,1.36E+09,1.04E+09,7.30E+08,7.78E+08,1.03E+09,7.28E+08,8.05E+08,4.80E+08,3.77E+08,2.82E+08,4.24E+08,4.02E+08,7.60E+08,1.17E+09,1.55E+09,2.34E+09,3.99E+09,4.79E+09,7.23E+09,6.22E+09,9.56E+09,1.15E+10,,ZAF,South Africa,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
6.51E+01,6.49E+01,6.47E+01,6.38E+01,6.30E+01,6.21E+01,6.13E+01,6.04E+01,6.36E+01,6.67E+01,6.99E+01,7.30E+01,7.61E+01,7.81E+01,8.01E+01,8.21E+01,8.41E+01,8.61E+01,8.76E+01,8.91E+01,9.06E+01,9.21E+01,9.36E+01,9.39E+01,9.43E+01,9.46E+01,9.50E+01,9.54E+01,9.44E+01,9.35E+01,9.26E+01,9.17E+01,9.08E+01,8.88E+01,8.67E+01,8.47E+01,8.26E+01,8.06E+01,7.86E+01,7.66E+01,7.47E+01,7.27E+01,7.07E+01,6.84E+01,6.61E+01,6.38E+01,6.15E+01,5.92E+01,5.75E+01,5.58E+01,5.42E+01,5.25E+01,,ZAF,South Africa,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
8.12E+01,8.20E+01,8.27E+01,8.34E+01,8.40E+01,8.43E+01,8.44E+01,8.43E+01,8.41E+01,8.38E+01,8.35E+01,8.33E+01,8.30E+01,8.27E+01,8.24E+01,8.22E+01,8.19E+01,8.17E+01,8.14E+01,8.11E+01,8.07E+01,8.01E+01,7.95E+01,7.88E+01,7.80E+01,7.73E+01,7.66E+01,7.58E+01,7.50E+01,7.40E+01,7.28E+01,7.14E+01,6.99E+01,6.83E+01,6.67E+01,6.50E+01,6.33E+01,6.16E+01,5.99E+01,5.85E+01,5.73E+01,5.63E+01,5.56E+01,5.50E+01,5.46E+01,5.43E+01,5.41E+01,5.39E+01,5.38E+01,5.37E+01,5.37E+01,5.37E+01,5.38E+01,ZAF,South Africa,SP.POP.DPND,Age dependency ratio (% of working-age population)
7.00E+00,7.08E+00,7.16E+00,7.22E+00,7.24E+00,7.18E+00,7.06E+00,6.89E+00,6.68E+00,6.49E+00,6.32E+00,6.20E+00,6.10E+00,6.02E+00,5.95E+00,5.88E+00,5.82E+00,5.75E+00,5.69E+00,5.64E+00,5.60E+00,5.57E+00,5.55E+00,5.54E+00,5.53E+00,5.52E+00,5.51E+00,5.51E+00,5.50E+00,5.51E+00,5.52E+00,5.54E+00,5.58E+00,5.62E+00,5.62E+00,5.60E+00,5.53E+00,5.43E+00,5.35E+00,5.33E+00,5.40E+00,5.57E+00,5.82E+00,6.12E+00,6.43E+00,6.74E+00,7.03E+00,7.31E+00,7.58E+00,7.82E+00,8.03E+00,8.21E+00,8.37E+00,ZAF,South Africa,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
7.42E+01,7.49E+01,7.56E+01,7.62E+01,7.67E+01,7.71E+01,7.73E+01,7.74E+01,7.74E+01,7.73E+01,7.72E+01,7.71E+01,7.69E+01,7.67E+01,7.65E+01,7.63E+01,7.61E+01,7.59E+01,7.57E+01,7.55E+01,7.51E+01,7.45E+01,7.39E+01,7.32E+01,7.25E+01,7.18E+01,7.10E+01,7.03E+01,6.95E+01,6.85E+01,6.73E+01,6.59E+01,6.43E+01,6.27E+01,6.11E+01,5.94E+01,5.78E+01,5.62E+01,5.46E+01,5.31E+01,5.19E+01,5.07E+01,4.98E+01,4.89E+01,4.82E+01,4.76E+01,4.70E+01,4.66E+01,4.62E+01,4.59E+01,4.57E+01,4.55E+01,4.54E+01,ZAF,South Africa,SP.POP.DPND.YG,"Age dependency ratio, young (% of working-age population)"
4.17E+01,4.14E+01,4.10E+01,4.06E+01,4.01E+01,3.96E+01,3.91E+01,3.86E+01,3.83E+01,3.80E+01,3.79E+01,3.78E+01,3.76E+01,3.74E+01,3.72E+01,3.68E+01,3.65E+01,3.61E+01,3.57E+01,3.53E+01,3.49E+01,3.45E+01,3.41E+01,3.37E+01,3.32E+01,3.27E+01,3.21E+01,3.14E+01,3.07E+01,3.00E+01,2.93E+01,2.85E+01,2.78E+01,2.71E+01,2.65E+01,2.59E+01,2.54E+01,2.50E+01,2.46E+01,2.43E+01,2.41E+01,2.38E+01,2.36E+01,2.34E+01,2.31E+01,2.28E+01,2.25E+01,2.23E+01,2.20E+01,2.18E+01,2.15E+01,2.13E+01,,ZAF,South Africa,SP.DYN.CBRT.IN,"Birth rate, crude (per 1,000 people)"
38.94214976,39.63,40.33,4.40E+01,4.11E+01,4.17E+01,4.55E+01,6.38E+01,5.04E+01,5.28E+01,5.16E+01,6.36E+01,6.76E+01,5.21E+01,7.37E+01,6.84E+01,6.67E+01,7.15E+01,7.62E+01,7.18E+01,7.84E+01,9.30E+01,7.70E+01,5.94E+01,6.87E+01,7.57E+01,7.68E+01,8.28E+01,8.59E+01,9.37E+01,8.38E+01,8.52E+01,6.28E+01,8.00E+01,9.07E+01,7.31E+01,9.54E+01,9.51E+01,8.83E+01,9.53E+01,1.03E+02,9.40E+01,1.03E+02,9.90E+01,1.01E+02,1.06E+02,9.38E+01,9.31E+01,1.13E+02,1.05E+02,1.03E+02,1.04E+02,,ZAF,South Africa,AG.PRD.CROP.XD,Crop production index (2004-2006 = 100)
1.70E+01,1.67E+01,1.64E+01,1.61E+01,1.58E+01,1.55E+01,1.52E+01,1.48E+01,1.45E+01,1.42E+01,1.39E+01,1.36E+01,1.33E+01,1.30E+01,1.27E+01,1.24E+01,1.21E+01,1.18E+01,1.14E+01,1.11E+01,1.07E+01,1.04E+01,1.00E+01,9.71E+00,9.39E+00,9.10E+00,8.82E+00,8.56E+00,8.32E+00,8.11E+00,7.96E+00,7.86E+00,7.84E+00,7.91E+00,8.08E+00,8.38E+00,8.82E+00,9.40E+00,1.01E+01,1.09E+01,1.17E+01,1.25E+01,1.32E+01,1.38E+01,1.43E+01,1.47E+01,1.48E+01,1.47E+01,1.46E+01,1.43E+01,1.39E+01,1.35E+01,,ZAF,South Africa,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)"
6.17E+00,6.14E+00,6.10E+00,6.05E+00,5.98E+00,5.91E+00,5.84E+00,5.77E+00,5.70E+00,5.64E+00,5.59E+00,5.54E+00,5.48E+00,5.42E+00,5.34E+00,5.25E+00,5.16E+00,5.06E+00,4.97E+00,4.88E+00,4.79E+00,4.70E+00,4.60E+00,4.50E+00,4.40E+00,4.29E+00,4.18E+00,4.05E+00,3.92E+00,3.79E+00,3.66E+00,3.53E+00,3.41E+00,3.30E+00,3.20E+00,3.11E+00,3.04E+00,2.98E+00,2.94E+00,2.90E+00,2.87E+00,2.83E+00,2.80E+00,2.76E+00,2.72E+00,2.68E+00,2.63E+00,2.58E+00,2.54E+00,2.50E+00,2.47E+00,2.44E+00,,ZAF,South Africa,SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)"
