1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Country Code,Country Name,Indicator Code,Indicator Name
1973298.739,2450287.081,3042573.667,3778028.538,4691258.519,5825235.641,7233319.19,8981766.53,11152850.84,13848732.48,17196266.13,21352969.99,26514437.72,4.18E+07,1.70E+08,1.62E+08,1.62E+08,1.81E+08,2.04E+08,4.68E+08,4.75E+08,5.03E+08,4.56E+08,3.69E+08,3.46E+08,3.11E+08,1.89E+08,1.80E+08,1.40E+08,2.31E+08,3.70E+08,3.52E+08,3.19E+08,2.30E+08,2.04E+08,2.14E+08,2.67E+08,2.45E+08,1.71E+08,2.21E+08,3.93E+08,3.57E+08,2.93E+08,3.49E+08,6.39E+08,8.76E+08,9.88E+08,1.25E+09,2.37E+09,1.17E+09,1.66E+09,2.18E+09,,TUR,Turkey,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
482130770.5,354813646.5,261117380.2,192163652.5,141418657.4,104073982.8,76590982.33,56365466.36,41480938.11,30526993.52,22465676.43,16533125.58,12167193.91,3.49E+07,3.96E+07,2.25E+07,3.24E+07,3.08E+07,2.55E+07,3.03E+07,3.53E+07,3.61E+07,3.63E+07,2.98E+07,2.51E+07,3.10E+07,2.28E+07,2.68E+07,9.46E+07,1.41E+08,9.83E+07,5.28E+07,5.68E+07,3.79E+07,4.00E+07,5.11E+07,4.31E+07,4.48E+07,5.26E+07,4.22E+07,5.54E+07,4.40E+07,3.90E+07,5.23E+07,9.99E+07,2.15E+08,5.04E+08,6.59E+08,8.12E+08,6.61E+08,1.10E+09,1.61E+09,,TUR,Turkey,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
1.33E+02,1.31E+02,1.30E+02,1.28E+02,1.27E+02,1.25E+02,1.23E+02,1.22E+02,1.20E+02,1.18E+02,1.17E+02,1.15E+02,1.13E+02,1.10E+02,1.07E+02,1.04E+02,1.01E+02,9.85E+01,9.61E+01,9.36E+01,9.12E+01,8.87E+01,8.63E+01,8.32E+01,8.02E+01,7.72E+01,7.41E+01,7.11E+01,6.90E+01,6.70E+01,6.49E+01,6.29E+01,6.08E+01,5.92E+01,5.75E+01,5.58E+01,5.41E+01,5.24E+01,5.09E+01,4.94E+01,4.78E+01,4.63E+01,4.48E+01,4.37E+01,4.26E+01,4.15E+01,4.04E+01,3.93E+01,3.76E+01,3.60E+01,3.43E+01,3.26E+01,,TUR,Turkey,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
8.44E+01,8.56E+01,8.69E+01,8.80E+01,8.88E+01,8.91E+01,8.88E+01,8.81E+01,8.72E+01,8.62E+01,8.54E+01,8.47E+01,8.42E+01,8.37E+01,8.33E+01,8.30E+01,8.27E+01,8.25E+01,8.22E+01,8.17E+01,8.10E+01,8.01E+01,7.90E+01,7.78E+01,7.65E+01,7.52E+01,7.40E+01,7.27E+01,7.15E+01,7.02E+01,6.89E+01,6.76E+01,6.62E+01,6.49E+01,6.36E+01,6.25E+01,6.14E+01,6.04E+01,5.95E+01,5.87E+01,5.78E+01,5.70E+01,5.62E+01,5.54E+01,5.47E+01,5.40E+01,5.33E+01,5.27E+01,5.21E+01,5.15E+01,5.09E+01,5.04E+01,4.98E+01,TUR,Turkey,SP.POP.DPND,Age dependency ratio (% of working-age population)
5.81E+00,5.98E+00,6.23E+00,6.49E+00,6.73E+00,6.92E+00,7.04E+00,7.10E+00,7.14E+00,7.20E+00,7.30E+00,7.45E+00,7.63E+00,7.82E+00,8.01E+00,8.17E+00,8.31E+00,8.44E+00,8.53E+00,8.56E+00,8.51E+00,8.39E+00,8.21E+00,8.01E+00,7.83E+00,7.70E+00,7.62E+00,7.58E+00,7.58E+00,7.62E+00,7.68E+00,7.76E+00,7.86E+00,7.98E+00,8.14E+00,8.33E+00,8.54E+00,8.79E+00,9.03E+00,9.26E+00,9.47E+00,9.63E+00,9.77E+00,9.89E+00,9.99E+00,1.01E+01,1.02E+01,1.03E+01,1.04E+01,1.05E+01,1.06E+01,1.08E+01,1.09E+01,TUR,Turkey,SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)"
7.86E+01,7.96E+01,8.06E+01,8.15E+01,8.21E+01,8.22E+01,8.18E+01,8.10E+01,8.00E+01,7.90E+01,7.81E+01,7.72E+01,7.65E+01,7.59E+01,7.53E+01,7.48E+01,7.44E+01,7.40E+01,7.36E+01,7.32E+01,7.25E+01,7.17E+01,7.08E+01,6.98E+01,6.87E+01,6.75E+01,6.64E+01,6.52E+01,6.39E+01,6.26E+01,6.12E+01,5.98E+01,5.84E+01,5.69E+01,5.55E+01,5.41E+01,5.29E+01,5.17E+01,5.05E+01,4.94E+01,4.84E+01,4.74E+01,4.64E+01,4.55E+01,4.47E+01,4.39E+01,4.31E+01,4.24E+01,4.17E+01,4.10E+01,4.03E+01,3.96E+01,3.90E+01,TUR,Turkey,SP.POP.DPND.YG,"Age dependency ratio, young (% of working-age population)"
4.62E+01,4.54E+01,4.46E+01,4.37E+01,4.30E+01,4.23E+01,4.17E+01,4.12E+01,4.08E+01,4.05E+01,4.03E+01,4.00E+01,3.97E+01,3.94E+01,3.89E+01,3.84E+01,3.78E+01,3.72E+01,3.65E+01,3.59E+01,3.52E+01,3.45E+01,3.36E+01,3.27E+01,3.17E+01,3.07E+01,2.97E+01,2.86E+01,2.77E+01,2.68E+01,2.60E+01,2.54E+01,2.48E+01,2.43E+01,2.39E+01,2.35E+01,2.31E+01,2.27E+01,2.23E+01,2.19E+01,2.15E+01,2.10E+01,2.06E+01,2.02E+01,1.98E+01,1.94E+01,1.90E+01,1.87E+01,1.84E+01,1.81E+01,1.77E+01,1.74E+01,,TUR,Turkey,SP.DYN.CBRT.IN,"Birth rate, crude (per 1,000 people)"
30.59121272,31.69505619,32.83873039,34.02367257,3.53E+01,3.44E+01,3.80E+01,3.89E+01,4.12E+01,3.98E+01,4.31E+01,4.57E+01,4.76E+01,4.22E+01,4.73E+01,5.02E+01,5.53E+01,5.43E+01,5.76E+01,5.81E+01,6.04E+01,5.95E+01,6.40E+01,6.27E+01,6.47E+01,6.57E+01,7.07E+01,7.10E+01,7.73E+01,7.15E+01,7.87E+01,7.85E+01,7.96E+01,7.95E+01,7.94E+01,8.13E+01,8.79E+01,8.38E+01,9.53E+01,8.94E+01,9.56E+01,8.80E+01,9.63E+01,9.43E+01,9.51E+01,1.02E+02,1.03E+02,9.56E+01,1.01E+02,1.04E+02,1.05E+02,1.10E+02,,TUR,Turkey,AG.PRD.CROP.XD,Crop production index (2004-2006 = 100)
2.05E+01,1.98E+01,1.92E+01,1.85E+01,1.79E+01,1.73E+01,1.68E+01,1.63E+01,1.58E+01,1.54E+01,1.50E+01,1.46E+01,1.43E+01,1.39E+01,1.35E+01,1.32E+01,1.28E+01,1.24E+01,1.20E+01,1.16E+01,1.13E+01,1.09E+01,1.05E+01,1.02E+01,9.84E+00,9.52E+00,9.21E+00,8.93E+00,8.67E+00,8.43E+00,8.21E+00,8.01E+00,7.81E+00,7.62E+00,7.43E+00,7.24E+00,7.06E+00,6.88E+00,6.71E+00,6.54E+00,6.40E+00,6.27E+00,6.15E+00,6.06E+00,5.98E+00,5.92E+00,5.88E+00,5.84E+00,5.81E+00,5.78E+00,5.75E+00,5.73E+00,,TUR,Turkey,SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)"
6.30E+00,6.24E+00,6.18E+00,6.10E+00,6.03E+00,5.95E+00,5.87E+00,5.80E+00,5.72E+00,5.64E+00,5.56E+00,5.48E+00,5.38E+00,5.26E+00,5.14E+00,5.01E+00,4.87E+00,4.74E+00,4.61E+00,4.48E+00,4.36E+00,4.24E+00,4.11E+00,3.98E+00,3.84E+00,3.70E+00,3.56E+00,3.43E+00,3.30E+00,3.18E+00,3.08E+00,2.99E+00,2.91E+00,2.84E+00,2.77E+00,2.72E+00,2.66E+00,2.61E+00,2.56E+00,2.51E+00,2.45E+00,2.40E+00,2.36E+00,2.31E+00,2.27E+00,2.23E+00,2.20E+00,2.17E+00,2.15E+00,2.12E+00,2.10E+00,2.08E+00,,TUR,Turkey,SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)"
